"target_matrix","decision","change","reason","validator"
".agents/codex/matrices/MATRIX_INDEX.csv","UPDATE_NOW","add retrospective matrix rows","new retrospective matrices must be discoverable","local_validate_agent_layer.ps1"
".agents/codex/matrices/OPERATIONAL_CHAIN_GOVERNANCE_MATRIX.csv","UPDATE_NOW","add retrospective learning chain","local no-live learning lane has explicit chain","local_validate_operational_chain.ps1"
".agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv","UPDATE_NOW","add retrospective learning stage","capability preflight applies to learning extraction","local_validate_capability_use_hardening.ps1"
".agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv","DEFER","do not mutate default agent rows in this PR","requires broader agent profile review to avoid hidden default behavior changes","local_validate_agent_layer.ps1"
".agents/codex/matrices/SUBAGENT_CAPABILITY_ASSIGNMENT_MATRIX.csv","DEFER","do not mutate subagent defaults in this PR","new virtual agents are candidates until profile canonization","local_validate_parallel_order_governance.ps1"
".agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv","UPDATE_NOW","add four canonized local skills","new SKILL.md files require metadata rows","local_validate_skill_metadata.ps1"
".agents/codex/recipes/SUBRECIPE_INDEX.csv","UPDATE_NOW","add subrecipes for four new recipes","new recipes need subrecipe discoverability","local_validate_agent_layer.ps1"
".agents/codex/recipes/RECIPE_INDEX.csv","UPDATE_NOW","add four new recipe docs","new recipe docs require index rows","local_validate_agent_layer.ps1"
".agents/codex/tools/TOOL_INDEX.csv","UPDATE_NOW","add local retrospective validator","validator script must be discoverable","local_validate_agent_layer.ps1"
".agents/codex/matrices/LOCAL_SKILL_CATALOG.csv","UPDATE_NOW","add four repo-local skill catalog rows","new d_drive_repo_local skills must resolve in catalog","local_validate_skill_metadata.ps1"
".agents/codex/matrices/STOP_CONDITION_GLOSSARY.csv","UPDATE_NOW","add retrospective and exactness stop conditions","new skill and capability rows must reference known stop conditions","local_validate_capability_use_hardening.ps1"
".agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv","UPDATE_NOW","add governance row for retrospective learning validator","new tool index row must have owner allowed and blocked surfaces","local_validate_agent_layer.ps1"
