"agent_id","learning_acquired","skill_to_add","recipe_to_add","authorized_tool","blocked_tool","new_stop_condition","new_validator","autonomy_allowed","escalate_to_human_when","evidence_required","global_propagation"
"rey.control_plane_orchestrator","Route retrospective as a first-class local learning lane","agent-retrospective-learning","recipe.retrospective-to-skill-propagation","tool.local_validate_skill_recipe_agent_learning","live_runtime","retrospective_source_missing","local_validate_skill_recipe_agent_learning.ps1","local_only","scope crosses live or production","retrospective_readback","yes"
"rey.frontier_guardian","0 exact candidates blocks inferred write","no-inference-runtime-write-guard","recipe.backreference-target-mapping-before-write","tool.boundary_check","fuzzy_target_write","candidate_count_not_one","local_validate_skill_recipe_agent_learning.ps1","local_review","target identity absent","candidate_matrix","yes"
"court.sdu_gate","One-flow/one-item is the max safe runtime smoke without widening","no-inference-runtime-write-guard","recipe.one-flow-one-item-runtime-test","tool.stop_condition_check","flow_activation_without_order","more_than_one_item_or_active_flow","local_validate_skill_recipe_agent_learning.ps1","gate_review","runtime wants wider automation","runtime_postcheck","yes"
"court.seshat_evidence","Readbacks must distinguish mapping evidence from final target updates","agent-retrospective-learning","recipe.retrospective-to-skill-propagation","tool.local_validate_skill_recipe_agent_learning","secret_dump","mapping_claims_final_update","local_validate_skill_recipe_agent_learning.ps1","local_write","evidence incomplete","readback|rollback","yes"
"court.openai_dispatcher","OpenAI advisory metadata cannot become canon without validation","agent-retrospective-learning","recipe.openai-structured-output-validation","tool.synthetic_eval_manifest","openai_api_without_order","ai_output_canonized_without_validation","local_validate_skill_recipe_agent_learning.ps1","local_design_only","API or cost required","sanitized_schema_report","yes"
"codex.workspace_guardian","Allowlist gaps should be captured as reviewable deltas","agent-retrospective-learning","recipe.retrospective-to-skill-propagation","tool.local_validate_agent_layer","git_add_dot","ignored_evidence_unclassified","local_validate_skill_recipe_agent_learning.ps1","local_only","allowlist change needed","delta_plan","yes"
"dataverse.provisioning.engineer","Metadata-only DEV apply needs exact env and rollback","dataverse-metadata-only-provisioning","recipe.metadata-only-dev-apply","pac","prod_test_default","wrong_environment_or_secret","dataverse_manifest_validator","requires_order","apply requested","postcheck|drift","yes_after_review"
"powerautomate.workqueue.operator","Pilot payloads must be bounded and synthetic","NO_APLICA_CANDIDATE","recipe.workqueue-pilot-binding","dataverse_web_api","activate_flow_without_order","duplicate_idempotency_key","workqueue_payload_contract_candidate","requires_order","flow activation requested","pilot_postcheck","yes_after_review"
"github.pr.operator","Grouped commits reduce review risk","cabina-commit-work","recipe.github_pr_lifecycle_governed","git|gh","git_add_dot|force_push","head_changed_or_red_checks","change_aware","repo_scoped_by_order","merge requested","pr_checks","yes"
"openai.metadata.classifier","Responses output remains advisory only","NO_APLICA_CANDIDATE","recipe.openai-structured-output-validation","openai_responses_api_when_ordered","raw_body_print","sensitive_payload_or_key_missing","openai_metadata_validator_candidate","requires_order","real data requested","sanitized_output","yes_after_review"
"retrospective.learning.engine","Turn completed work into capability deltas","agent-retrospective-learning","recipe.retrospective-to-skill-propagation","tool.local_validate_skill_recipe_agent_learning","live_execution","missing_source_or_secret","local_validate_skill_recipe_agent_learning.ps1","local_only","canon update alters authority","candidate_matrices","yes"
"runtime.activation.operator","Controlled activation must restore safe state","no-inference-runtime-write-guard","recipe.one-flow-one-item-runtime-test","dataverse_web_api_when_ordered","broad_processing","active_flow_after_run","runtime_one_flow_one_item_candidate","requires_order","more than one item needed","safe_state_postcheck","yes_after_review"
"backreference.mapping.operator","Create mapping evidence before target write when target unresolved","dataverse-workqueue-backreference-mapping","recipe.mapping-record-before-target-write","dataverse_web_api_when_ordered","target_guess","missing_keys_or_candidate_count_not_one","backreference_exactness","requires_order","target update requested","mapping_postcheck","yes"
