task_id,title,base_sha,branch,lane_id,lead_agent,owner_agent,reviewer_agent,read_scope,write_scope,lock_key,dependency,max_parallel,allowed_actions,blocked_actions,rollback,postcheck,evidence,validator,status,stop_condition
vsi.agent.task.001,Formalizar traduccion solo de vista humana sin crear matriz nueva,b352b73,codex/local-tooling-continuity-handoff,human_view_i18n_contract,rey.control_plane_orchestrator,codex.workspace_guardian,court.seshat_evidence,"local-agent-bridge/public/index.html|local-agent-bridge/src/dashboardData.mjs|local-agent-bridge/tests/mock_bridge_flow.mjs|.agents/codex/matrices/VSCODE_INSIDERS_AGILE_AGENT_CANVAS_GOVERNANCE_20260606.csv","local-agent-bridge/public/index.html|local-agent-bridge/tests/mock_bridge_flow.mjs|.agents/codex/matrices/VSCODE_INSIDERS_AGILE_AGENT_CANVAS_GOVERNANCE_20260606.csv",lock.vsi.human_view_i18n,none,1,"add optional display_label_es/display_description_es to existing matrix when needed|render labels only in UI|preserve ids/status/API values|run npm test","create separate translation matrix|rename contract ids|change API status values|change agent-readable ids|live write|secret handling","git restore explicit task files","API still returns ACTIVE_LOCAL_WORKBENCH and Cabina Universal Agent Control; browser shows Spanish labels from UI or existing matrix display columns","Spanish human-view dashboard plus npm test output; no machine ids or API status values changed","npm test --prefix local-agent-bridge|git diff --check",EXECUTED_LOCAL_VALIDATED,human_translation_affects_agent_contract
vsi.agent.task.002,Mostrar cola de tareas agente en tablero local,b352b73,codex/local-tooling-continuity-handoff,agent_task_queue_dashboard,rey.control_plane_orchestrator,codex.workspace_guardian,court.seshat_evidence,".agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv|local-agent-bridge/src/dashboardData.mjs|local-agent-bridge/public/index.html","local-agent-bridge/src/dashboardData.mjs|local-agent-bridge/public/index.html|local-agent-bridge/tests/mock_bridge_flow.mjs",lock.vsi.agent_task_queue_dashboard,vsi.agent.task.001,1,"read task queue|render queued tasks|show owner reviewer status stop_condition|run local tests","execute queued tasks|dispatch live agents|alter gates|secret handling","git restore explicit task files","/api/dashboard exposes agent_task_queue; UI shows tasks as prepared not executed","agent_task_queue exposed in dashboard JSON and rendered in UI; npm test output","npm test --prefix local-agent-bridge|git diff --check",EXECUTED_LOCAL_VALIDATED,queued_task_rendered_as_executed
vsi.agent.task.003,Preparar userCataloguePath local gobernado para Agile Agent Canvas,b352b73,codex/local-tooling-continuity-handoff,agile_canvas_user_catalogue_local,court.openai_dispatcher,codex.workspace_guardian,rey.frontier_guardian,".agents/codex/matrices/VSCODE_INSIDERS_AGILE_AGENT_CANVAS_GOVERNANCE_20260606.csv|.agents/skills|.vscode/settings.json",".agents/codex/orders/ORDER_VSI_AGILE_AGENT_CANVAS_USER_CATALOGUE_20260606.md|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.aac_user_catalogue,vsi.agent.task.002,1,"prepare order packet|select local catalogue path|declare rollback postcheck validator","clone external skill repos|write global user settings|store secrets|live provider call","delete prepared order packet","order packet has target owner rollback postcheck and no external clone executed","order packet path plus validator output",".agents/codex/tools/local_validate_order_packets.ps1|git diff --check",QUEUED_READY,user_catalogue_target_or_rollback_missing
vsi.agent.task.004,Preparar carril de edicion/programacion por Agile Agent Canvas,b352b73,codex/local-tooling-continuity-handoff,agile_canvas_programming_lane,court.thot_schema,codex.workspace_guardian,court.seshat_evidence,".agileagentcanvas-context|.agents/codex/matrices/VSCODE_INSIDERS_AGILE_AGENT_CANVAS_GOVERNANCE_20260606.csv|local-agent-bridge"," .agents/codex/orders/ORDER_VSI_AGILE_AGENT_CANVAS_PROGRAMMING_LANE_20260606.md|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.aac_programming_lane,vsi.agent.task.003,1,"prepare programming lane packet|define file allowlist|define agent outputs|define validators","let agent edit outside allowlist|auto-sync unreviewed artifacts|Git metadata mutation|live provider call","delete prepared order packet","packet lists exact writable files validators rollback and stop condition","order packet plus local validator output",".agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_parallel_order_governance.ps1",QUEUED_READY,programming_lane_missing_file_allowlist
vsi.agent.task.005,Preparar fallback humano para abrir tablero por file URL,b352b73,codex/local-tooling-continuity-handoff,file_url_human_view_fallback,codex.workspace_guardian,codex.workspace_guardian,court.seshat_evidence,"local-agent-bridge/public/index.html|local-agent-bridge/src/server.mjs","local-agent-bridge/public/index.html|local-agent-bridge/tests/mock_bridge_flow.mjs",lock.vsi.file_url_fallback,vsi.agent.task.002,1,"detect file URL|show Spanish instruction or static fallback|preserve API mode under server|run npm test","break http dashboard|execute live calls|change route contracts","git restore explicit task files","file URL gives Spanish human message; http URL still fetches API","file URL screenshot or HTML check; npm test output","npm test --prefix local-agent-bridge|git diff --check",QUEUED_READY,file_url_fallback_breaks_http_dashboard
vsi.agent.task.006,Preparar paquetes gate live para Jira OpenAI Microsoft sin ejecutar,b352b73,codex/local-tooling-continuity-handoff,live_gate_packet_preparation,rey.frontier_guardian,court.sdu_gate,court.seshat_evidence,".agents/codex/matrices/VSCODE_INSIDERS_AGILE_AGENT_CANVAS_GOVERNANCE_20260606.csv|.agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv",".agents/codex/orders/ORDER_VSI_JIRA_READ_20260606.md|.agents/codex/orders/ORDER_VSI_OPENAI_LIVE_20260606.md|.agents/codex/orders/ORDER_VSI_MICROSOFT_LIVE_20260606.md",lock.vsi.live_gate_packets,vsi.agent.task.003,1,"prepare order packets only|declare target placeholders as pending|declare owner rollback postcheck","call Jira|call OpenAI API|call Microsoft Graph|store token|production write","delete prepared order packets","each packet remains PENDING_TARGET_ONLY or PENDING_SECRET_ONLY and no live call executed","order packets plus validator output",".agents/codex/tools/local_validate_order_packets.ps1|git diff --check",QUEUED_READY,live_gate_packet_missing_required_fields
vsi.agent.task.007,Formalizar skill y recetas para retomar superficie viva VSI,9900850,codex/local-tooling-continuity-handoff,vsi_live_surface_task_runner,rey.control_plane_orchestrator,codex.workspace_guardian,court.seshat_evidence,".agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv|.agents/codex/recipes/RECIPE_INDEX.csv|.agents/codex/skills/SKILL_USAGE_MATRIX.csv|.agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv|.agents/codex/matrices/LOCAL_SKILL_CATALOG.csv|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv|.agents/codex/agents.json",".agents/skills/vsi-superficie-viva-task-runner/SKILL.md|.agents/codex/recipes/recipe.vsi_prepared_agent_task_execution.md|.agents/codex/recipes/recipe.vsi_live_surface_gate_packet.md|.agents/codex/recipes/RECIPE_INDEX.csv|.agents/codex/skills/SKILL_USAGE_MATRIX.csv|.agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv|.agents/codex/matrices/LOCAL_SKILL_CATALOG.csv|.agents/codex/matrices/AGENT_DEFAULT_SKILL_ASSIGNMENT_MATRIX.csv|.agents/codex/agents.json|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.task_runner_capability,none,1,"create repo-local skill|create two recipes|update existing indexes|assign only required agents|run validators|preserve existing task contracts","create new matrix|execute live providers|store secrets|production write|rename task ids|change API status values","git restore explicit task files","skill metadata agent layer capability and parallel governance validators PASS; task queue row records the work","validator outputs plus git diff --check","git diff --check|.agents/codex/tools/local_validate_skill_metadata.ps1|.agents/codex/tools/local_validate_agent_layer.ps1|.agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_parallel_order_governance.ps1",EXECUTED_LOCAL_VALIDATED,skill_metadata_missing_or_ambiguous
vsi.agent.task.008,Arreglar conector shell gobernado del bridge local,6a07ecb,codex/local-tooling-continuity-handoff,local_shell_connector_governance,rey.control_plane_orchestrator,codex.workspace_guardian,court.sdu_gate,"local-agent-bridge/README.md|local-agent-bridge/contracts/local-agent-bridge.contract.json|local-agent-bridge/matrices/routes_matrix.csv|local-agent-bridge/src/server.mjs|local-agent-bridge/tests/mock_bridge_flow.mjs|scripts/validators/local_agent_bridge_validator.py","local-agent-bridge/README.md|local-agent-bridge/contracts/local-agent-bridge.contract.json|local-agent-bridge/matrices/routes_matrix.csv|local-agent-bridge/src/server.mjs|local-agent-bridge/src/shellConnector.mjs|local-agent-bridge/tests/mock_bridge_flow.mjs|scripts/validators/local_agent_bridge_validator.py|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.local_shell_connector,none,1,"add shell status connector|block shell command execution through bridge|update route contract|run npm test and local bridge validator","execute arbitrary command|expose shell execution endpoint|store secrets|production write|permission change|destructive action","git restore explicit task files","/api/shell/status reports status_only; /v1/shell/command returns blocked; tests and validators PASS","npm test output plus local bridge validator plus git diff --check","npm test --prefix local-agent-bridge|python scripts/validators/local_agent_bridge_validator.py|git diff --check",EXECUTED_LOCAL_VALIDATED,LOCAL_SHELL_COMMAND_EXECUTION_NOT_EXPOSED
vsi.agent.task.009,Responder comentario PR dashboard no auth en host no loopback,2658c8d,codex/local-tooling-continuity-handoff,local_bridge_non_loopback_read_guard,rey.control_plane_orchestrator,codex.workspace_guardian,court.sdu_gate,"PR #107 review comment 3366628005|local-agent-bridge/src/server.mjs|local-agent-bridge/src/policy.mjs|local-agent-bridge/contracts/local-agent-bridge.contract.json|local-agent-bridge/matrices/routes_matrix.csv|local-agent-bridge/tests/mock_bridge_flow.mjs|scripts/validators/local_agent_bridge_validator.py","local-agent-bridge/src/server.mjs|local-agent-bridge/src/policy.mjs|local-agent-bridge/contracts/local-agent-bridge.contract.json|local-agent-bridge/matrices/routes_matrix.csv|local-agent-bridge/README.md|local-agent-bridge/tests/mock_bridge_flow.mjs|scripts/validators/local_agent_bridge_validator.py|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.local_bridge_non_loopback_read_guard,none,1,"block dashboard and shell status data on non-loopback bind host|preserve unauthenticated loopback dashboard|run tests validators and HTTP smoke|reply to review comment","expose dashboard data on 0.0.0.0|require auth for normal loopback human dashboard|execute live calls|store secrets|production write","git restore explicit task files","SDU_BRIDGE_BIND_HOST=0.0.0.0 returns 403 for /api/dashboard and /api/shell/status; loopback remains OK; PR comment answered","HTTP smoke plus npm test plus local bridge validator plus GitHub comment reply","npm test --prefix local-agent-bridge|python scripts/validators/local_agent_bridge_validator.py|git diff --check|HTTP smoke",EXECUTED_LOCAL_VALIDATED,LOCAL_DASHBOARD_NON_LOOPBACK_READ_BLOCKED
vsi.agent.task.010,Ignorar estado local de herramientas opencode y bookmarks,ff147bb,codex/ignore-local-tool-state,local_tool_state_ignore,rey.control_plane_orchestrator,codex.workspace_guardian,court.seshat_evidence,".gitignore|.opencode|.bookmarks/local",".gitignore|.agents/codex/matrices/VSCODE_INSIDERS_AGENT_TASK_QUEUE_20260606.csv",lock.vsi.local_tool_state_ignore,none,1,"ignore local tool state|preserve repo source files|run git diff check and governance validators","commit .opencode contents|commit .bookmarks/local contents|delete local state|touch nested repos|live write|secret handling","git restore explicit task files","git status shows only intended staged files; local tool state remains untracked ignored","git diff --check plus validator output","git diff --check|.agents/codex/tools/local_validate_agent_layer.ps1|.agents/codex/tools/local_validate_parallel_order_governance.ps1",EXECUTED_LOCAL_VALIDATED,local_tool_state_should_not_be_versioned
