"surface_kind","object_name","can_register_now","can_use_as_relation_source","relation_shape","known_columns","missing_metadata","state","evidence_refs","notes"
"document_library","Documentos","no","yes","evidence_repository_only","","list metadata not exposed; only drive/library surface confirmed","DOCUMENT_LIBRARY_CONFIRMED","sharepoint:/sites/soporte|mcp:list_site_drives|mcp:fetch:MODELO MAESTRO DE AGENTES","usable for documents and evidence, not for structured agent records"
"document_library","Proyectos y Tareas","no","yes","evidence_repository_only","","list metadata not exposed; only drive/library surface confirmed","DOCUMENT_LIBRARY_CONFIRMED","sharepoint:/sites/soporte|mcp:list_site_drives","usable for documents and evidence, not for structured agent records"
"document_library","Expedientes","no","yes","evidence_repository_only","","list metadata not exposed; only drive/library surface confirmed","DOCUMENT_LIBRARY_CONFIRMED","sharepoint:/sites/soporte|mcp:list_site_drives","usable for documents and evidence, not for structured agent records"
"sharepoint_list","Agentes","yes","yes","root_lookup","Título; Código del agente; Descripción corta; Instrucciones maestras; Tipo de agente; Ámbito de actuación; Usuarios destinatarios; Madurez del agente; Estado del agente; Responsable funcional; Responsable técnico; Fecha última revisión; Notas operativas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","root table of the model"
"sharepoint_list","Versiones del agente","yes","yes","lookup_to_Agentes","Título; Agente; Número de versión; Fecha de publicación; Instrucciones vX.Y; Cambios clave; Estado de versión; Revisado por; Aprobado por","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","versioning table linked to Agentes"
"sharepoint_list","Temas","yes","yes","lookup_to_Agentes","Título; Agente; Descripción del tema; Objetivo; Entradas requeridas; Salidas esperadas; Estado del tema","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES","functional modules of each agent"
"sharepoint_list","Fuentes de conocimiento","yes","yes","catalog_source_lookup","Título; Tipo de origen; URL principal; Descripción; Dominio/tema; Estado de la fuente; Fecha última actualización; Responsable de contenido","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","catalog of pages, lists, libraries and documents"
"sharepoint_list","Herramientas","yes","yes","lookup_to_Agentes","Título; Agente; Tipo de herramienta; Descripción funcional; Entradas; Salidas; Riesgos / límites; Estado","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","operational connectors/capabilities"
"sharepoint_list","Tema - Conocimiento","yes","yes","n_n_between_Temas_and_Fuentes","Título; Tema; Fuente de conocimiento; Rol de la fuente","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","N:N bridge"
"sharepoint_list","Tema - Herramienta","yes","yes","n_n_between_Temas_and_Herramientas","Título; Tema; Herramienta; Modo de uso","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","N:N bridge"
"sharepoint_list","Catálogo de registros","yes","yes","lookup_to_Agentes_and_Herramientas","Título; Descripción; Tipo de registro; Agente; Herramienta; Dominio; Complejidad; Contexto de uso; Esquema de salida esperado; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","prompt/input/output registry"
"sharepoint_list","RACI del agente","yes","yes","lookup_to_Agentes","Título; Agente; Rol RACI; Persona; Área; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","governance roles"
"sharepoint_list","KPIs del agente","yes","yes","lookup_to_Agentes","Título; Agente; Descripción del KPI; Fórmula / Fuente de dato; Umbral objetivo; Frecuencia de medición; Responsable del KPI; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","metric registry"
"sharepoint_list","Política de permisos","yes","yes","lookup_to_Agentes","Título; Agente; Nivel de sensibilidad; Reglas clave; Limitaciones; Notas de cumplimiento","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","permission and sensitivity registry"
"sharepoint_list","Riesgos del agente","yes","yes","lookup_to_Agentes","Título; Agente; Tipo de riesgo; Descripción; Severidad; Probabilidad; Mitigación; Responsable; Estado; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","risk register"
"sharepoint_list","Bitácora editorial","yes","yes","lookup_to_Agentes","Título; Agente; Tipo de cambio; Descripción del cambio; Fecha del cambio; Registrado por; Notas","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","editorial traceability log"
"sharepoint_list","Pruebas del agente","yes","yes","lookup_to_Agentes_and_Temas","Título; Agente; Tema; Prompt de prueba; Entrada de prueba; Salida esperada; Salida obtenida; Resultado; Fecha; Probado por","internal name; list id; field internal names; required fields; current live list existence not verified by list metadata read","MODEL_DOC_TEMPLATE_AVAILABLE","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES; site doc: Tabla lista para copiar en Excel","test evidence registry"
"sharepoint_list","Capacidades del agente","yes","yes","lookup_to_Agentes_and_multiple_Temas","existence confirmed; exact columns not extracted from site content","internal name; list id; field internal names; required fields; exact columns not extracted from site content; current live list existence not verified by list metadata read","MODEL_DOC_PARTIAL_ONLY","site doc: MODELO MAESTRO DE AGENTES; site doc: MANUAL PARA USUARIOS FINALES","reusable capability catalog; exact column set still needs list metadata or the source sheet"
