"entity","resolved","value","confidence"
"SharePoint site","true","https://escribaniabitsch.sharepoint.com/sites/soporte | Innovacion y Desarrollo | escribaniabitsch.sharepoint.com,de3a5abc-5bfa-4c3a-8fd0-c87661ee1772,923619dc-79e0-47ea-b18c-453d20575087","high"
"SharePoint List display name","false","UNRESOLVED: no connector achieved SharePoint List metadata read.","none"
"SharePoint List internal name","false","UNRESOLVED: no list display name or list root folder resolved.","none"
"SharePoint List ID GUID","false","UNRESOLVED: no Get-PnPList, Graph lists, or m365 spo list result available.","none"
"SharePoint field internal names","false","UNRESOLVED: fields cannot be read without exact list metadata.","none"
"SharePoint required fields","false","UNRESOLVED: required fields cannot be read without exact list metadata.","none"
"Evidence library exact library name","partial","Documentos, Proyectos y Tareas, and Expedientes were detected as document libraries; no exact evidence library target was authorized for this flow.","medium"
"Evidence library relative path","false","UNRESOLVED: no exact evidence path authorized; do not infer from visible folders.","none"
"Power Automate flow exists","false","Flow named agente-alta-agentes was not found by Get-AdminFlow in accessible environments checked.","high"
"Power Automate trigger type","false","UNRESOLVED: flow was not found, so trigger type cannot be confirmed.","none"
"Power Automate environment","false","UNRESOLVED: flow was not found in accessible environments; target production environment not explicitly authorized.","none"
"Write payload","false","NOT_CONSTRUCTED: target list, fields, evidence path, and flow are unresolved; constructing a live payload would require inference.","none"
