field,required_for,required_before,reason,stop_condition
tenant,dataverse_metadata_gate,any_live_or_dev_apply,prevents tenant ambiguity,target_identity_ambiguous
environment_url,dataverse_metadata_gate,any_dev_apply,exact DEV environment is mandatory,target_identity_ambiguous
environment_type,dataverse_metadata_gate,any_dev_apply,PROD TEST Default are blocked,wrong_environment_or_default
connected_user,dataverse_metadata_gate,any_dev_apply,identity must be known,target_identity_ambiguous
connected_role,dataverse_metadata_gate,any_dev_apply,role must authorize intended read or write,target_identity_ambiguous
solution,dataverse_metadata_gate,solution_or_metadata_change,solution scope must be explicit,target_identity_ambiguous
publisher,dataverse_metadata_gate,solution_or_metadata_change,publisher must be explicit,target_identity_ambiguous
table_or_queue,workqueue_backreference_gate,any_mapping_or_reuse,target table or queue must be exact,mapping_key_missing
record_scope,workqueue_backreference_gate,any_mapping_or_reuse,record set must be bounded,target_identity_ambiguous
candidate_count,workqueue_backreference_gate,any_target_update,must equal exactly 1,candidate_count_not_one
canonical_id,workqueue_backreference_gate,any_target_update,deterministic lookup key required,mapping_key_missing
correlation_id,workqueue_backreference_gate,any_target_update,deterministic evidence link required,mapping_key_missing
idempotency_key,workqueue_backreference_gate,any_target_update,prevents duplicate writes,mapping_key_missing
batch_id,workqueue_backreference_gate,any_target_update,rollback and evidence grouping required,mapping_key_missing
target_repository,multi_cabina_distribution_gate,any_repo_write,destination must be exact,no_cross_cabina_write_without_target_matrix
target_local_path,multi_cabina_distribution_gate,any_repo_write,local path must be verified,no_cross_cabina_write_without_target_matrix
base_branch,multi_cabina_distribution_gate,checkout_or_patch,base must be explicit,no_cross_cabina_write_without_target_matrix
work_branch,multi_cabina_distribution_gate,checkout_or_patch,work branch must be explicit,no_cross_cabina_write_without_target_matrix
files_to_create_or_update,multi_cabina_distribution_gate,any_repo_write,file scope must be bounded,no_cross_cabina_write_without_target_matrix
owner_agent,multi_cabina_distribution_gate,any_write,accountability required,no_cross_cabina_write_without_target_matrix
reviewer_agent,multi_cabina_distribution_gate,any_write,review path required,no_cross_cabina_write_without_target_matrix
rollback,all_gates,any_write,reversal must be declared,rollback_missing
postcheck,all_gates,any_write,result verification required,postcheck_missing
validator,all_gates,any_write,local verification required,no_cross_cabina_write_without_target_matrix
evidence_file,all_gates,any_write,evidence must be persisted,no_cross_cabina_write_without_target_matrix
