"tool","status","evidence"
"SharePoint MCP get_site","PASS_SITE_READ","Resolved host escribaniabitsch.sharepoint.com path /sites/soporte as display name Innovacion y Desarrollo with site id escribaniabitsch.sharepoint.com,de3a5abc-5bfa-4c3a-8fd0-c87661ee1772,923619dc-79e0-47ea-b18c-453d20575087."
"SharePoint MCP list_site_drives","PASS_LIBRARY_READ","Detected document libraries/drives: Documentos, Proyectos y Tareas, Expedientes."
"SharePoint MCP list_folder_items","PASS_LIBRARY_FOLDER_READ","Browsed default document library root and observed folders/files. This is document-library file evidence, not SharePoint List metadata."
"SharePoint MCP SharePoint Lists metadata","NO_DISPONIBLE","Available MCP SharePoint functions resolved site/drives/folders/files only; no confirmed list metadata/list item read connector was available."
"m365 login status","TIMEOUT","Direct m365 status attempt timed out in hard reset; no current authenticated status could be confirmed from m365."
"m365 spo site list","TIMEOUT","Direct m365 spo site list attempt timed out; no m365 site-list evidence usable for target resolution."
"m365 spo list list","TIMEOUT","Direct m365 spo list list --webUrl https://escribaniabitsch.sharepoint.com/sites/soporte timed out; no list read achieved."
"m365 Graph request /sites","TIMEOUT","m365 request with lowercase get to Graph /sites timed out after correcting method casing."
"m365 Graph request /lists","TIMEOUT","m365 request with lowercase get to Graph /sites/{site-id}/lists timed out; no Graph list read achieved through m365."
"PnP.PowerShell module","PASS_INSTALLED","PnP.PowerShell 3.1.0 found locally."
"PnP Get-PnPConnection","NO_ACTIVE_SESSION","Get-PnPConnection reported not signed in before reset."
"PnP Connect-PnPOnline OSLogin","FAIL_CONNECT","Connect-PnPOnline -OSLogin attempted with existing auth cache; failed loading msalruntime DLL dependency, so Get-PnPList could not run."
"Graph PowerShell context","NO_CONTEXT","Microsoft.Graph.Authentication imported, but Get-MgContext returned NO_CONTEXT."
"Graph fallback /sites and /lists","NO_AUTH_CONTEXT","No Graph auth context available and m365 Graph requests timed out; Graph cannot confirm lists now."
"pac auth who","PASS_READ","pac is authenticated as efigueroa@registronotarial8tdf.com.ar with active environment HUBDesarrollo."
"pac org list","PASS_READ","pac listed environments including ESCRIBANIA BITSCH default, HUBDesarrollo, Kit Copilot Studio, Microsoft 365, RUC-KYC-Prod, SGIN_CANON_DEV_20260418."
"pac flow list","NO_DISPONIBLE","Installed pac 2.5.1 does not expose a valid flow command; parse failed on flow."
"PowerApps Get-AdminFlow","PASS_READ_NO_TARGET","Read flows in accessible environments, but no flow named agente-alta-agentes was found."
