"agent_id","level_id","purpose","surface","skill_refs","recipe_refs","tool_refs","plugin_refs","workpaper_path","validator","default_mode","stop_condition"
"rey.control_plane_orchestrator","00_ROUTER","Recibir ordenes, clasificar superficie y derivar a canon, registro, corte o torre de universo.","D:\AGENTS.md|D:\MANIFEST.yaml|D:\00_CONTROL_PLANE_INGRESS\ROUTING.json|D:\01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|D:\.agents\codex\routing.json","rey-modo-gobernador-capacidades|superpowers:dispatching-parallel-agents|superpowers:verification-before-completion|parallel-order-governance","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","D:\.agents\codex\workpapers\rey.control_plane_orchestrator","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Determinar si una accion es local, versionado, live, regulada, productiva o bloqueada.","D:\02_AUTHORITY_CANON|gates policies orders","rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","D:\.agents\codex\workpapers\rey.frontier_guardian","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","Mantener inventario de universos, torres, repos, activos, owners y relaciones.","D:\01_GOVERNANCE_REGISTRY|repo local remote metadata","rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.csv_registry_check|tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","D:\.agents\codex\workpapers\rey.governance_registrar","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.authority_canonist","01_AUTORIDAD_Y_GATES","Cuidar el canon activo, decisiones rectoras, gates y ordenes gobernadas.","D:\02_AUTHORITY_CANON|gates policies orders","rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.canon_index_check|tool.stop_condition_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","D:\.agents\codex\workpapers\rey.authority_canonist","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","Mapear clones, repos vecinos, ramas, remotos y relacion con universos sin modificar Git.","D:\01_GOVERNANCE_REGISTRY|repo local remote metadata","github:github|github:yeet|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.git_status_readonly|tool.gh_remote_readonly|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub","D:\.agents\codex\workpapers\rey.repo_cartographer","tool.repo_alignment_runtime|tool.local_validate_agent_layer","github_read_write_governed","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.openai_dispatcher","03_CORTE_EJECUTORA","Preparar prompts, recetas, evals y activaciones locales para agentes OpenAI, Seshat y SDU.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","openai-developers:agents-sdk|tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.openai_prompt_pack_json_short|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.synthetic_eval_manifest|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers","D:\.agents\codex\workpapers\court.openai_dispatcher","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"universe.escribania_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Escribania, incluyendo TGE, cumplimiento, evidencia y SharePoint aprobado cuando exista orden.","D:\10_UNIVERSOS\ESCRIBANIA|TGE tenant surfaces governed","sharepoint:sharepoint-site-discovery|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","D:\.agents\codex\workpapers\universe.escribania_tower","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"universe.modo_on_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Modo ON y ubicar CDF, Jara y activos proveedores bajo control trazable.","D:\10_UNIVERSOS\MODO_ON|CDF Jara provider surfaces governed","tcu-normalizador-sistema-modo-on|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.provider_boundary_check|tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","D:\.agents\codex\workpapers\universe.modo_on_tower","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.seshat_evidence","03_CORTE_EJECUTORA","Registrar evidencia, readbacks, actas y trazabilidad de decisiones sin sustituir autoridad humana.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","rey-modo-evidencia-riesgo-handoff|governed-readback-closeout|github:yeet|superpowers:verification-before-completion|parallel-order-governance","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.readback_builder|tool.local_validate_agent_layer|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub|SharePoint","D:\.agents\codex\workpapers\court.seshat_evidence","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
"court.sdu_gate","01_AUTORIDAD_Y_GATES","Aplicar criterio SDU sobre gates, stop conditions, escalamiento y coherencia de ordenes.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.sharepoint_complete_read_order|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.stop_condition_check|tool.boundary_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint","D:\.agents\codex\workpapers\court.sdu_gate","tool.repo_alignment_runtime|tool.local_validate_agent_layer","local_only_until_order","runtime_alignment_failed|default_skill_missing|workpaper_missing_for_agent"
