"branch_name","source_head","unique_commits","changed_files","reconstructed_intent","tipo","scope","descripcion","referencia","canonical_branch","action","governance_state","sdu_cn_review","observations"
"codex/version-agents-sdk-live-findings-20260605","7ed596a","b53718f|2026-06-05|chore(agents): version live sdk findings || c3d1d40|2026-06-05|chore(agents): add live sdk decision matrix || beefeb1|2026-06-05|chore(agents): add live sdk raci matrix || f8e1582|2026-06-05|chore(agents): add review evaluation decision workflow || 216605b|2026-06-05|fix(agents): clarify live evidence versioning readback || e3603de|2026-06-05|chore(agents): add sdu search selection plan || 7ed596a|2026-06-05|chore(agents): add live sdk operability framework",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.md | .agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.md | .agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.md | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FINDINGS_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_RACI_MATRIX_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_REVIEW_EVALUATION_DECISION_WORKFLOW_20260605.csv | .agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_agents_sdk_live_agent_global_operability_readback.md | .gitignore","commit messages and files describe Agents SDK live operability findings, matrices, RACI and framework","gov","agents-sdk","live-operability-findings","ISSUE-RECON-001","codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/cabina-operating-system-consolidation-20260605","57b14bb","382b0bd|2026-06-05|docs: consolidate cabina operating system canon || 123fe04|2026-06-05|docs: define cabina health and evolution model || 57b14bb|2026-06-05|fix(cos): align manifest state and readback next lanes",".agents/codex/matrices/CABINA_OPERATING_SYSTEM_RECONCILIATION_20260605.csv | .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_cabina_operating_system_consolidation_readback.md | .gitignore | 02_AUTHORITY_CANON/CURRENT_STATE.md | AGENTS.md | MANIFEST.yaml | README.md | governance/canon/CABINA_OPERATING_SYSTEM_CONSTITUTION.md","commit messages and files consolidate cabina operating system canon","gov","cabina","operating-system-consolidation","ISSUE-RECON-002","codex/gov/cabina/operating-system-consolidation__ISSUE-RECON-002","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/cabina-full-automation-by-planes-20260605","cffa0ca","2fd2020|2026-06-05|feat(cos): add automation plane matrix || cffa0ca|2026-06-05|fix(ci): include governance canon in cabina validation paths",".agents/codex/matrices/CABINA_FULL_AUTOMATION_PLANE_MATRIX_20260605.csv | .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv | .agents/codex/matrices/EVIDENCE_AND_VALIDATION_MATRIX.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_cabina_full_automation_by_planes_readback.md | .agents/codex/tools/TOOL_INDEX.csv | .agents/codex/tools/local_validate_cabina_full_automation_planes.ps1 | .github/workflows/cabina-validation.yml | .gitignore | governance/canon/CABINA_FULL_AUTOMATION_BY_PLANES.md","commit messages and files add automation plane matrix and validator","feature","cabina","full-automation-planes","ISSUE-RECON-003","codex/feature/cabina/full-automation-planes__ISSUE-RECON-003","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/power-platform-teams-governance-alm-20260603","e1bf768","e1bf768|2026-06-04|Govern cabina agent dispatch and skill adapters",".agents/codex/maps/CODEX_CLOUD_GOVERNED_LANE.md | .agents/codex/maps/RUNTIME_PARALLEL_ACTIVATION.md | .agents/codex/matrices/CODEX_CLOUD_GOVERNED_LANE_MATRIX.csv | .agents/codex/matrices/D_SKILL_AVAILABILITY_AND_ISSUE_PR_FRICTION_MATRIX.csv | .agents/codex/matrices/LOCAL_SKILL_CATALOG.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/POWERSHELL_RUNTIME_FRICTION_MATRIX.csv | .agents/codex/matrices/SKILL_INTEGRATION_DECISION_MATRIX_20260603.csv | .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-03_sdu_cn_human_operational_mandate_readback.md | .agents/codex/readbacks/2026-06-04_work_dispatch_agents_sdk_activation_readback.md | .agents/codex/recipes/RECIPE_INDEX.csv | .agents/codex/recipes/recipe.codex_cloud_governed_lane.md | .agents/codex/recipes/recipe.d_skill_availability_issue_pr_friction_review.md | .agents/codex/recipes/recipe.powershell_runtime_friction_guard.md | .agents/codex/skills/SKILL_METADATA_QUALITY_MATRIX.csv | .agents/codex/skills/SKILL_USAGE_MATRIX.csv | .agents/codex/tools/TOOL_INDEX.csv | .agents/codex/tools/local_validate_d_skill_availability_and_issue_pr_friction.ps1 | .agents/codex/tools/local_validate_powershell_runtime_friction.ps1 | .agents/skills/cabina-document-plugin-adapter/SKILL.md | .agents/skills/cabina-github-plugin-adapter/SKILL.md | .agents/skills/cabina-sharepoint-plugin-adapter/SKILL.md | .agents/skills/cabina-superpowers-methodology-adapter/SKILL.md | .agents/skills/cabina-teams-plugin-adapter/SKILL.md | .agents/skills/rey-modo-evidencia-riesgo-handoff/SKILL.md | .agents/skills/rey-modo-gobernador-capacidades/SKILL.md | .agents/skills/sdu-ejecutor-gates/SKILL.md | .agents/skills/skill-judge/SKILL.md | .agents/skills/tcu-desarrollo-con-subagentes/SKILL.md | .agents/skills/tcu-harness-evals-agentes/SKILL.md | .agents/skills/tcu-normalizador-sistema-modo-on/SKILL.md | .agents/skills/tcu-planificador-con-archivos/SKILL.md | .agents/skills/tcu-redactor-planes-operativos/SKILL.md | .gitignore | 02_AUTHORITY_CANON/CURRENT_STATE.md | 02_AUTHORITY_CANON/GOVERNED_ORDERS_INDEX.csv | 02_AUTHORITY_CANON/POLICIES/SDU_CN_HUMAN_OPERATIONAL_MANDATE_POLICY_20260603.md | AGENTS.md | readbacks/postmerge/READBACK_EXEC_APPLY_OPENAI_SDK_MICROSOFT_PRODUCTION_REVIEW_20260604.md","commit and files govern cabina dispatch, skill adapters, recipes and readbacks","gov","cabina","agent-dispatch-skill-adapters","ISSUE-RECON-004","codex/gov/cabina/agent-dispatch-skill-adapters__ISSUE-RECON-004","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/agent-global-dirty-reconciliation-20260605","e4c3b5e","e4c3b5e|2026-06-05|feat(agents): reconcile global operability lane",".agents/codex/matrices/AGENTS_GLOBAL_OPERABILITY_INVENTORY_20260605.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/ORDER_CLASS_CAPABILITY_MATRIX.csv | .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/routing.json | AGENTS.md","commit and matrices reconcile global agent operability lane","gov","agents","global-operability-reconciliation","ISSUE-RECON-005","codex/gov/agents/global-operability-reconciliation__ISSUE-RECON-005","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/agent-global-operability-gate-queue-20260605","4e7a3c6","4e7a3c6|2026-06-05|chore(agents): prepare operability gate queue",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_GATE_QUEUE_20260605.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_agent_global_operability_gate_queue_readback.md | .agents/codex/tools/local_validate_agent_global_operability_package.ps1 | .gitignore","commit prepares gated queue, validator and coverage","hardening","agents","global-operability-gate-queue","ISSUE-RECON-006","codex/hardening/agents/global-operability-gate-queue__ISSUE-RECON-006","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/agent-global-operability-gated-backlog-20260605","7554818","7554818|2026-06-05|chore(agents): route operability gated backlog",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_GATED_BACKLOG_20260605.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_agent_global_operability_gated_backlog_readback.md | .gitignore","commit routes gated backlog and coverage evidence","gov","agents","global-operability-gated-backlog","ISSUE-RECON-007","codex/gov/agents/global-operability-gated-backlog__ISSUE-RECON-007","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/agent-global-operability-next-lane-execution-20260605","b495ad4","b495ad4|2026-06-05|feat(agents): execute global operability next lane",".agents/codex/matrices/ORDER_PREPARATION_ASSIGNMENT_MATRIX.csv | .agents/codex/matrices/PARALLEL_OPERATION_CRITERIA_MATRIX.csv | .agents/codex/readbacks/2026-06-05_agent_global_operability_next_lane_execution_readback.md | .gitignore","commit executes global operability next lane","feature","agents","global-operability-next-lane","ISSUE-RECON-008","codex/feature/agents/global-operability-next-lane__ISSUE-RECON-008","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/agent-global-operability-semaphore-matrix-20260605","8df5d2a","efca5f5|2026-06-05|chore(agents): add operability semaphore matrix || 8df5d2a|2026-06-05|fix(agents): add operability coverage kernels",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SEMAPHORE_MATRIX_20260605.csv | .agents/codex/matrices/CHANGE_AWARE_IMPACT_GRAPH.csv | .agents/codex/matrices/CHANGE_AWARE_TEST_MANIFEST.csv | .agents/codex/matrices/MATRIX_INDEX.csv | .agents/codex/matrices/TOOL_GOVERNANCE_MATRIX.csv | .agents/codex/matrices/VALIDATION_COVERAGE_MATRIX.csv | .agents/codex/readbacks/2026-06-05_agent_global_operability_semaphore_matrix_readback.md | .agents/codex/tools/TOOL_INDEX.csv | .agents/codex/tools/local_validate_agent_global_operability_package.ps1 | .agents/codex/tools/local_validate_agent_global_operability_semaphore.ps1 | .gitignore | MANIFEST.yaml","commits add semaphore matrix, validators and coverage kernels","hardening","agents","global-operability-semaphore","ISSUE-RECON-009","codex/hardening/agents/global-operability-semaphore__ISSUE-RECON-009","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
"codex/post-pr-101-next-lane-selection-20260605","c7e1854","c7e1854|2026-06-05|chore(agents): record post pr101 next lane selection",".agents/codex/readbacks/2026-06-05_post_pr101_next_lane_selection_readback.md | .gitignore","commit records post PR101 next lane selection readback","gov","cabina","post-pr101-next-lane-selection","ISSUE-RECON-010","codex/gov/cabina/post-pr101-next-lane-selection__ISSUE-RECON-010","MIGRAR_A_CANONICA","PR_TRAZABLE","seshat_naming_ok_after_mapping;thot_unique_commits_present;maat_reference_provisional_assigned","original_branch_NO_CONFORME;canonical_mapping_from_name_commits_files"
