"connection","origen","destino","tipo","estado","observacion"
"conn.github.canon.root","GitHub origin/universo-rey/cabina-universal-d","Cabina Universal root repo","control","OK","origin/main alineado con main local HEAD 9651568; PRs abiertos root detectados por gh: 0"
"conn.canon.textual.pr132_vs_head138","AGENTS.md|MANIFEST.yaml|CURRENT_STATE.md","HEAD local 9651568 posterior a PR #138","control","INCONSISTENTE","canon textual referencia PR #132 y no #138; requiere reconciliacion textual posterior si se autoriza write"
"conn.cabina.registry.related_repos","01_GOVERNANCE_REGISTRY/REPOSITORIES.csv","13 repos relacionados perfilados","dato","OK","todos los target_path registrados existen localmente; perfil emitido en RELATED_REPOSITORY_PROFILE"
"conn.cabina.organizacion.governance","cabina-universal-d","universo-rey/organizacion","control","OK","repo organizacion gobierna registro/cartografia; local en branch codex/service-design-documental con dirty state propio"
"conn.cabina.tge","cabina-universal-d","SeshatSgin/torre-gemela-escribania","control","OK","TGE como torre ESCRIBANIA; branch local codex/tge-issue-71... con workpaper draft ajeno"
"conn.cabina.sdu.bootstrap","cabina-universal-d","SeshatSgin/seshat-bootstrap-sdu-cn","control","OK","SDU-CN como canon suprarrepo; branch local codex/sdu-cn-actas... con draft audit propio"
"conn.cabina.cdf","cabina-universal-d","SeshatSgin/cdf-soluciones","ejecucion","OK","CDF como equipo operativo MODO_ON; main limpio"
"conn.cabina.tcu_runtime","cabina-universal-d","SeshatSgin/tcu-agentic-runtime-control","ejecucion","OK","runtime rector TCU; main limpio"
"conn.cabina.tge_runtime","cabina-universal-d","SeshatSgin/tge-agentic-runtime-control-escribania","ejecucion","OK","runtime contextual Escribania; main limpio"
"conn.cabina.microsoft_lab","cabina-universal-d","universo-rey/microsoft-agents-governed-lab","ejecucion","OK","laboratorio Microsoft Agents gobernado; main limpio; no Microsoft live write sin gate"
"conn.standard.agent.chain","rey.control_plane_orchestrator","court.openai_dispatcher>sdu-triage-agent>court.sdu_gate>court.seshat_evidence","control","OK","STANDARD_AGENT_CHAIN_ACTIVE validado por matriz STANDARD_AGENT_CHAIN_20260603"
"conn.sdu.cn.canonical_agents","SDU-CN canonical agents","repos ESCRIBANIA|MODO_ON|CORTE","control","OK","seshat-normativa/thot/anubis/maat/horus/narrador son identidades canonicas suprarrepo, no tools"
"conn.vsi.aac.mother_board","VSI / Agile Agent Canvas","Cabina governance agents","control","OK","tablero madre; separado de Control de Agentes de Cabina y cola web externa gateada"
"conn.aac.native.team","AAC native agents","VSI board stories EPIC-6/S-6.x","ejecucion","OK","21 agentes nativos disponibles; no son autoridad Cabina y no son invocables directo desde Codex"
"conn.aac.cabina.governance_agents","Cabina governance agents for VSI","AAC native team","control","OK","7 agentes gobernantes activos separan AAC_NATIVE_AGENTS de CABINA_GOVERNANCE_AGENTS"
"conn.aac.demo.quarantine","AAC demo/sample assets","VSI/AAC board","dato","OK","demo quarantine matrix evita drift con tablero madre"
"conn.website.queue.boundary","cola del sitio web","tablero VSI/AAC","ejecucion","OK","superficie externa gateada, no equivalente al tablero madre ni al control de agentes"
"conn.agent_control_board.boundary","Control de Agentes de Cabina","VSI / Agile Agent Canvas","control","OK","tablero auxiliar/control, no tablero madre"
"conn.github.actions.validation","GitHub Actions cabina-validation","Change-Aware Full-Coverage Orchestrator","control","OK","gate productivo de validacion repo-scoped sin secretos/live"
"conn.local.validators","local validators","matrices/readbacks/workpapers","control","OK","operational_chain, agent_layer, workpapers y capability hardening son validadores rectores"
"conn.openai.responses.sdk","OpenAI API/Responses/Agents SDK","sdu-triage-agent runtime","ejecucion","OK","enabled governed; live/costo/secretos requieren gate fresco segun AGENTS_SDK matrices"
"conn.codex.cloud","Codex Cloud governed lane","repos seleccionados","ejecucion","OK","read-only smoke/CI mock autorizado; apply y live quedan gateados"
"conn.microsoft.live","Microsoft 365/SharePoint/Teams/Planner/Graph","Cabina live surface gates","ejecucion","OK","enabled governed gated not executed; falta target/owner/rollback/postcheck para writes"
"conn.powerplatform.dataverse","Power Platform/Dataverse","ejecucion institucional","ejecucion","INCONSISTENTE","carril existe, pero primer write queda PENDING_TARGET_ONLY: entorno exacto/listas/internal names/rollback/postcheck pendientes"
"conn.sharepoint.memory","SharePoint /sites/soporte","memoria viva y documentos agente","dato","OK","lectura de fuentes live registrada; write de items no ejecutado por gate incompleto"
"conn.workpapers.local.evidence",".agents/codex/workpapers","evidencia operativa","dato","INCONSISTENTE","workpapers recientes quedan untracked; decidir versionar minimo o exportar a memoria viva"
"conn.remote.branch.closeout","branch reconciliation workpapers","GitHub remote branches","control","OK","closeout previo elimino 11 ramas y dejo rollback matrix; no requiere reabrir salvo decision"
"conn.d_legacy.boundary","D:\ legacy references","C:\Users\enzo1\Documents\GitHub\cabina-universal-d","control","OK","D queda legacy/read-only/gobernada; C es root operativo"
"conn.local.related_dirty","repos relacionados con worktrees locales","cabina root","dato","INCONSISTENTE","TGE, Seshat bootstrap y organizacion tienen cambios/drafts propios; no deben stagearse desde cabina root"
"conn.tools.available_declared","TOOL_GOVERNANCE_MATRIX","tools disponibles/declaradas","control","OK","64 tools declaradas; distinguir tool declarada de callable ahora"
"conn.skills.recipes","skills repo-locales/globales","recetas y validadores","control","OK","skills usadas: repo-agent-tool-governance, parallel-order-governance, governed-readback-closeout"
