"list_name","row_span","active_front","status","mapped_file","mapping_kind","notes"
"VSI","all","outdated","desestimado_por_el_momento","","excluded","Carril VSI desestimado por desactualizacion; no usar como señal activa en este pase"
"WB_Decisiones","1-7","MW/SDU","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GOVERNANCE_PACKAGE.md","closest_readback","Decisiones MW/SDU actuales; la evidencia exacta vive en el paquete de gobernanza y su tree readback"
"WB_Decisiones","8-9","MW cabina","active","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","Cabina operativa visible y confirmacion de configuracion del sitio"
"WB_Decisiones","10-12","SDU gate","active","readbacks/sharepoint/ACTA_TGE_SDU_CN_AGENT_ACTIVATION_20260531.md","acta","Gate SDU, protocolo de mando y cierre soberano SDU"
"SYS_EstadoOperativo","1-7","MW","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIB_GOBIERNO_SISTEMAS_TREE.md","closest_readback","Estado operativo MW actual; el tree del paquete identifica los bundles activos"
"SYS_EstadoOperativo","8-12","site/base","active","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","Cabina visible, evidencias y elementos base del sitio"
"WB_AprendizajesOperativos","1-5","SDU operativo","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIST_DATAVERSE_BRIDGE.md","closest_readback","Reglas operativas del frente SDU; el bridge deja el rol exacto de la lista"
"WB_AprendizajesOperativos","6","SDU cierre","active","readbacks/sharepoint/ACTA_TGE_SDU_CN_COPILOT_SESHAT_NORMATIVA_EN_US_DRAFT_TEXT_ENRICHMENT_20260531.md","acta","Cierre soberano y requerimiento de login interactivo visible"
"WB_CapacidadesOperativas","none current MW/SDU rows","n/a","deferred","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","summary","No current MW/SDU rows matched in this pass; no active row-to-file map to maintain here"
"WB_Riesgos","1-2","MW Power Platform","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_WB_RIESGOS_CONTROLADO.md","acta","Items 13 y 14 quedaron en Controlado; readback exacto disponible"
"WB_Riesgos","3-15","MW live risks","active","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","closest_readback","Riesgos MW/SDU actuales sin acta 1:1 en este subárbol; usar working paper como referencia viva actual"
"WB_Riesgos","16","SDU drift","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GAP_MAP.md","closest_readback","Drift entre canon y nombres vivos; gap map y list live confirmation son el mejor ancla"
