"dataverse_entity","sharepoint_target_library","sharepoint_role","evidence_source","bridge_status","notes"
"sdu_environment","LIB_DiccionarioCanonico","canonical environment registry","dataverse/schema/sdu_environment.yml","bridge_ready","use for environment names, types, ids and apply policy"
"sdu_matrix","LIB_GobiernoSistemas","operational matrix landing","dataverse/schema/sdu_matrix.yml","bridge_ready","primary landing for governed matrices and crosswalks"
"sdu_readback","LIB_EvidenciaTecnica","readback archive","dataverse/schema/sdu_readback.yml","bridge_ready","store closeout and validation readbacks here"
"sdu_evidence","LIB_EvidenciaTecnica","technical evidence","dataverse/schema/sdu_evidence.yml","bridge_ready","store proof objects, hashes and publish evidence"
"sdu_recipe","LIB_Runbooks","procedure library","dataverse/schema/sdu_recipe.yml","bridge_ready","use for step-by-step operating recipes"
"sdu_skill","LIB_AgentPrompts","prompt and skill reuse","dataverse/schema/sdu_skill.yml","bridge_ready","keep reusable prompts and operator instructions"
"sdu_tool","LIB_GobiernoSistemas","tool governance","dataverse/schema/sdu_tool.yml","bridge_ready","document tool contracts and governance in the core bundle"
"sdu_agent","LIB_GobiernoSistemas","agent registry","dataverse/schema/sdu_agent.yml","bridge_ready","anchor agent inventory and runtime actions"
"sdu_capability","LIB_DiccionarioCanonico","canonical capability catalog","dataverse/schema/sdu_capability.yml","bridge_ready","keep canonical capability names and definitions"
"sdu_capability_mapping","LIB_PuenteDocumental_SGIN","crosswalk bridge","dataverse/schema/sdu_capability_mapping.yml","bridge_ready","use as the connective layer between canon and site"
"sdu_validation_gate","LIB_GobiernoSistemas","governed gate registry","dataverse/schema/sdu_validation_gate.yml","bridge_ready","store gate state and validation rules"
"sdu_apply_log","EvidenciasCarga","apply evidence ledger","dataverse/schema/sdu_apply_log.yml","bridge_ready","store apply outcomes and operational proof"
"sdu_matrix_version","LIB_ExportacionesControladas","controlled exports and versions","dataverse/schema/sdu_matrix_version.yml","bridge_ready","keep versioned exports and deltas controlled"
