level_id,parent_id,path,type,purpose,status
L0_ROOT,NONE,D:/,root,Cabina Universal del Rey,LOCAL_DRAFT_REVIEW
L1_INGRESS,L0_ROOT,D:/00_CONTROL_PLANE_INGRESS,plane,Entrada clasificacion y derivacion,ACTIVE_LOCAL
L1_REGISTRY,L0_ROOT,D:/01_GOVERNANCE_REGISTRY,plane,Registro de universos torres repos owners y fronteras,ACTIVE_LOCAL
L1_CANON,L0_ROOT,D:/02_AUTHORITY_CANON,plane,Canon decisiones gates y ordenes gobernadas,ACTIVE_LOCAL
L1_COURT,L0_ROOT,D:/03_CORTE_EJECUTORA_DEL_REY,plane,Corte Ejecutora OpenAI Seshat SDU,ACTIVE_LOCAL
L1_UNIVERSES,L0_ROOT,D:/10_UNIVERSOS,plane,Universos soberanos con torres propias,ACTIVE_LOCAL
L1_TECHREF,L0_ROOT,D:/80_REFERENCIAS_TECNICAS,plane,Referencias tecnicas no rectoras,ACTIVE_LOCAL
L1_ARCHIVE,L0_ROOT,D:/90_ARCHIVO_DEL_REINO,plane,Archivo historico y superado,ACTIVE_LOCAL
L2_ROOT_REPOS,L1_REGISTRY,D:/01_GOVERNANCE_REGISTRY/10_REPOS,domain,Repos raiz de gobierno universo-rey,ACTIVE_LOCAL
L3_ROOT_REPOS_ACTIVE,L2_ROOT_REPOS,D:/01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE,lifecycle,Repos raiz activos,ACTIVE_LOCAL
L4_ORGANIZACION,L3_ROOT_REPOS_ACTIVE,D:/01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE/organizacion,asset,Repo universo-rey organizacion destino planificado,PLANNED_NO_MOVE
L2_COURT_REPOS,L1_COURT,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS,domain,Repos de Corte Ejecutora,ACTIVE_LOCAL
L3_COURT_REPOS_ACTIVE,L2_COURT_REPOS,D:/03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE,lifecycle,Repos Corte activos,ACTIVE_LOCAL
L2_ESCRIBANIA,L1_UNIVERSES,D:/10_UNIVERSOS/ESCRIBANIA,universe,Universo Escribania,ACTIVE_LOCAL
L2_MODO_ON,L1_UNIVERSES,D:/10_UNIVERSOS/MODO_ON,universe,Universo Modo ON,ACTIVE_LOCAL
L3_ESCRIBANIA_REPOS_ACTIVE,L2_ESCRIBANIA,D:/10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE,lifecycle,Repos Escribania activos,ACTIVE_LOCAL
L3_MODO_ON_REPOS_ACTIVE,L2_MODO_ON,D:/10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE,lifecycle,Repos Modo ON activos,ACTIVE_LOCAL
