"recipe_id","decision","reason","artifact","index_update","next_gate"
"recipe.metadata-only-dev-apply","DEFER","Live apply recipe needs separate runtime owner review","NO_APLICA","candidate only","runtime owner review"
"recipe.connection-registry-raw-to-canonical-to-seed","DEFER","Needs connection owner reconciliation","NO_APLICA","candidate only","connection owner review"
"recipe.workqueue-pilot-binding","DEFER","Power Automate operator boundary not fully canonized","NO_APLICA","candidate only","operator review"
"recipe.openai-structured-output-validation","DEFER","OpenAI live/cost gate specialization needs review","NO_APLICA","candidate only","frontier review"
"recipe.github-pr-lifecycle-governed","COVERED_BY_EXISTING","Existing recipe already canonized",".agents/codex/recipes/recipe.github_pr_lifecycle_governed.md","none","none"
"recipe.postmerge-live-state-freeze","DEFER","Candidate only to avoid duplicate closeout recipe","NO_APLICA","candidate only","closeout review"
"recipe.dev-flow-disabled-provisioning","DEFER","Flow creation is live-gated and needs separate operator recipe","NO_APLICA","candidate only","runtime review"
"recipe.one-flow-one-item-runtime-test","CANONIZE_NOW","Captures the bounded runtime activation pattern as reviewable no-live recipe text",".agents/codex/recipes/recipe.one-flow-one-item-runtime-test.md","RECIPE_INDEX|SUBRECIPE_INDEX","review PR"
"recipe.credential-gate-governed","DEFER","Secret/key handling needs security policy review","NO_APLICA","candidate only","security review"
"recipe.retrospective-to-skill-propagation","CANONIZE_NOW","This branch uses it as a no-live learning workflow",".agents/codex/recipes/recipe.retrospective-to-skill-propagation.md","RECIPE_INDEX|SUBRECIPE_INDEX","review PR"
"recipe.backreference-target-mapping-before-write","CANONIZE_NOW","Core PR #68 exactness rule",".agents/codex/recipes/recipe.backreference-target-mapping-before-write.md","RECIPE_INDEX|SUBRECIPE_INDEX","review PR"
"recipe.mapping-record-before-target-write","CANONIZE_NOW","Core PR #68 mapping-before-target rule",".agents/codex/recipes/recipe.mapping-record-before-target-write.md","RECIPE_INDEX|SUBRECIPE_INDEX","review PR"
