"branch_canonica","archivo","grupo_semantico","estrategia","justificacion","riesgo","follow_up"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=mapa_operativo","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=mapa_operativo","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/maps/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.md","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=mapa_operativo","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_DECISION_MATRIX_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FINDINGS_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_FRAMEWORK_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_ORG_CHART_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_RACI_MATRIX_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_REVIEW_EVALUATION_DECISION_WORKFLOW_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/AGENTS_SDK_LIVE_AGENT_GLOBAL_OPERABILITY_SDU_SEARCH_SELECTION_PLAN_20260605.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
"codex/gov/agents-sdk/live-operability-findings__ISSUE-RECON-001",".agents/codex/matrices/MATRIX_INDEX.csv","GRUPO_B_MATRICES_ESTRUCTURALES","CONSERVAR_MAIN","main conserva el canon vigente PR132 o contenido equivalente; el aporte de rama no supera el estado rector actual para rol=matriz_operativa_o_indice","bajo","sin_accion"
