blueprint_agent,plane,cabina_family,schema_table,queue,gate,stop_condition,decision,risk,notes
order-intake,operation,rey.control_plane_orchestrator,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,order_packet_missing_required_fields,MAP_TO_EXISTING_AGENT,low,normalizes raw operator order into governed order packet
intent-classifier,operation,court.thot_schema,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,intent_classification_missing,MAP_TO_EXISTING_AGENT,low,classifies intent domain and task type before routing
risk-arbiter,operation,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,secret_or_live_surface_detected,MAP_TO_EXISTING_AGENT,high,risk privilege and sensitive data decision remains gated
context-router,operation,rey.control_plane_orchestrator,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,context_route_ambiguous,MAP_TO_EXISTING_AGENT,medium,routes between codex repo cloud tenant and power platform contexts
authority-resolver,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,authority_source_missing,MAP_TO_EXISTING_AGENT,high,resolves authority before read execute or proposal
task-graph-builder,operation,court.thot_schema,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,task_graph_missing_dependencies,MAP_TO_EXISTING_AGENT,medium,builds atomic task graph and dependencies
capability-selector,operation,court.thot_schema,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,capability_use_preflight_missing,MAP_TO_EXISTING_AGENT,medium,selects existing skills tools recipes and agents
workspace-router,operation,codex.workspace_guardian,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,workspace_target_ambiguous,MAP_TO_EXISTING_AGENT,medium,assigns permitted workspace and blocks path ambiguity
parallel-agent-dispatcher,operation,rey.control_plane_orchestrator,mon_sdu_agent_connection_mapping,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,parallel_lane_without_validator,MAP_TO_EXISTING_AGENT,medium,dispatches concurrent tasks only under lane governance
dependency-checker,operation,codex.workspace_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,dependency_or_permission_missing,MAP_TO_EXISTING_AGENT,medium,checks prereqs paths modules and permissions
local-executor,operation,codex.workspace_guardian,mon_sdu_apply_log,SDU.Agent.Dispatch.Queue,GATE_DATAVERSE_METADATA_ONLY,runtime_or_live_execution_without_gate,MAP_TO_EXISTING_AGENT,high,execution capability stays gated and local-only unless target order exists
validator,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,validator_missing_or_failed,MAP_TO_EXISTING_AGENT,medium,validates outputs and stop conditions
evidence-writer,operation,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_BLUEPRINT_RECONCILIATION,evidence_path_missing,MAP_TO_EXISTING_AGENT,medium,writes sanitized traceable evidence after validation
closure-judge,operation,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,closure_without_evidence,MAP_TO_EXISTING_AGENT,medium,decides done blocked review or escalated
trace-collector,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_BLUEPRINT_RECONCILIATION,trace_index_missing,MAP_TO_EXISTING_AGENT,medium,indexes sanitized events
readback-miner,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_BLUEPRINT_RECONCILIATION,readback_source_missing,MAP_TO_EXISTING_AGENT,medium,extracts decisions and signals from readbacks
pattern-detector,memory,court.thot_schema,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_BLUEPRINT_RECONCILIATION,pattern_registry_missing,MAP_TO_EXISTING_AGENT,medium,detects repetition ambiguity and failures
failure-classifier,memory,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,failure_taxonomy_missing,MAP_TO_EXISTING_AGENT,medium,classifies failures by cause surface and severity
decision-memory-writer,memory,court.seshat_evidence,mon_sdu_evidence,SDU.Evidence.Publish.Queue,GATE_BLUEPRINT_RECONCILIATION,secret_detected,MAP_TO_EXISTING_AGENT,high,stores sanitized decisions only no secrets
gap-detector,memory,court.thot_schema,mon_sdu_evidence,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,gap_backlog_missing,MAP_TO_EXISTING_AGENT,medium,detects missing skills validators configs and profiles
improvement-hypothesis-builder,improvement,court.thot_schema,mon_sdu_evidence,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,improvement_without_evidence,MAP_TO_EXISTING_AGENT,medium,formulates evidence-backed improvements
repair-loop-planner,improvement,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,rollback_missing,MAP_TO_EXISTING_AGENT,high,plans minimal reversible change and blocks config risk without gate
fixture-builder,improvement,court.thot_schema,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,fixture_scope_missing,MAP_TO_EXISTING_AGENT,medium,creates documentary fixture or sandbox plan
synthetic-eval-runner,improvement,court.thot_schema,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,synthetic_eval_plan_missing,MAP_TO_EXISTING_AGENT,medium,runs synthetic evaluation only when local and safe
validator-orchestrator,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,validator_orchestration_missing,MAP_TO_EXISTING_AGENT,medium,coordinates validators and compares delta
regression-checker,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,regression_report_missing,MAP_TO_EXISTING_AGENT,high,detects regressions before promotion
promotion-advisor,improvement,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,promotion_gate_missing,MAP_TO_EXISTING_AGENT,high,recommends promote discard adjust or escalate
capability-expansion-planner,expansion,rey.governance_registrar,sdu_agent,SDU.Agent.Dispatch.Queue,GATE_BLUEPRINT_RECONCILIATION,capability_expansion_without_gate,MAP_TO_EXISTING_AGENT,high,plans controlled expansion without activation
agent-factory-planner,expansion,court.thot_schema,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,seventh_agent_created,NEW_DECLARATIVE_AGENT_CANDIDATE,high,designs candidate agents only after no-duplication review
skill-gap-proposer,expansion,court.thot_schema,sdu_agent,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,skill_without_catalog_or_assignment,MAP_TO_EXISTING_AGENT,medium,proposes skill gaps without installing or activating
registry-normalizer,expansion,rey.governance_registrar,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,registry_pointer_missing,MAP_TO_EXISTING_AGENT,medium,normalizes registries as pointers not data copies
promotion-gate-resolver,expansion,court.sdu_gate,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,promotion_gate_missing,MAP_TO_EXISTING_AGENT,high,verifies gates before capability activation
versioning-advisor,expansion,codex.workspace_guardian,mon_sdu_evidence,NO_QUEUE_METADATA_ONLY,GATE_BLUEPRINT_RECONCILIATION,versioning_plan_missing,MAP_TO_EXISTING_AGENT,medium,defines semver changelog and rollback plan
rollback-planner,expansion,rey.frontier_guardian,mon_sdu_validation_gate,NO_QUEUE_GATE_ONLY,GATE_BLUEPRINT_RECONCILIATION,rollback_missing,MAP_TO_EXISTING_AGENT,high,designs safe reversal for promoted package
