subskill_id,parent_skill,assigned_agents,use_when,required_recipe,required_tool,validator,stop_condition
subskill.actions-permission-check,cabina-github-actions-templates,codex.workspace_guardian|rey.frontier_guardian,when workflow permissions or GitHub automation surface changes,recipe.governed_order_preparation,tool.local_validate_github_automation_preflight,D:/.agents/codex/tools/local_validate_github_automation_preflight.ps1,merge_or_force_push_or_actions_write_permission_without_order
subskill.actions-readonly-template,cabina-github-actions-templates,codex.workspace_guardian|court.thot_schema,when adding or revising read-only validation workflows or templates,recipe.repo_universe_alignment_runtime,tool.local_validate_github_automation_preflight,D:/.agents/codex/tools/local_validate_github_automation_preflight.ps1,github_order_missing_checks
subskill.agent-md-slimming,cabina-agent-md-refactor,codex.workspace_guardian|rey.authority_canonist,when AGENTS.md or UI prompt needs shorter wording,recipe.workspace_reference_audit,tool.local_validate_agent_layer,D:/.agents/codex/tools/local_validate_agent_layer.ps1,operational_chain_missing
subskill.alias-normalization,cabina-naming-analyzer,court.thot_schema|rey.governance_registrar,when aliases exist for the same agent repo skill recipe or tool,recipe.matrix_recipe_skill_sync,tool.local_validate_agent_layer,D:/.agents/codex/tools/local_validate_agent_layer.ps1,source_reference_treated_as_canon
subskill.canon-drift-check,cabina-agent-md-refactor,rey.authority_canonist|court.sdu_gate,when a prompt or instruction might contradict D:/AGENTS.md,recipe.gate_decision_packet,tool.canon_index_check,D:/.agents/codex/tools/local_validate_agent_layer.ps1,operational_chain_missing
subskill.canonical-id-check,cabina-naming-analyzer,court.thot_schema,when a new id is introduced in matrix recipe tool skill or stop condition,recipe.schema_tool_contract,tool.local_validate_agent_layer,D:/.agents/codex/tools/local_validate_agent_layer.ps1,skill_without_catalog_or_assignment
subskill.explicit-staging,cabina-commit-work,rey.repo_cartographer,when selecting files for commit in D:/ or registered repos,recipe.governed_readback_closeout,tool.github_versioning_flow,D:/.agents/codex/tools/local_validate_operational_chain.ps1,github_order_missing_checks
subskill.next-lane-handoff,cabina-session-handoff,court.seshat_evidence|rey.control_plane_orchestrator,when next agents or repo lanes must continue after a stop or merge,recipe.governed_readback_closeout,tool.readback_builder,D:/.agents/codex/tools/local_validate_agent_layer.ps1,retrospective_without_evidence
subskill.pr-draft-closeout,cabina-commit-work,court.seshat_evidence|rey.repo_cartographer,when a pushed branch needs PR evidence and no merge,recipe.governed_readback_closeout,tool.github_versioning_flow,D:/.agents/codex/tools/local_validate_operational_chain.ps1,github_order_missing_checks
subskill.session-state-readback,cabina-session-handoff,court.seshat_evidence,when a session or PR needs compact resumption evidence,recipe.evidence_acta_closeout,tool.readback_builder,D:/.agents/codex/tools/local_validate_agent_layer.ps1,retrospective_without_evidence
subskill.parallel-intake,parallel-order-governance,rey.control_plane_orchestrator|rey.frontier_guardian,when a request can be split across agents or subagents,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,D:/.agents/codex/tools/local_validate_parallel_order_governance.ps1,parallel_lane_without_validator
subskill.disjoint-scope,parallel-order-governance,rey.frontier_guardian|court.thot_schema,when two lanes may touch files matrices orders or PR metadata,recipe.parallel_agent_operation,tool.parallel_dispatch_policy_check,D:/.agents/codex/tools/local_validate_parallel_order_governance.ps1,lane_scope_overlap
subskill.order-preflight,parallel-order-governance,rey.authority_canonist|court.sdu_gate|rey.frontier_guardian,when live API production permission cost or regulated data is requested,recipe.governed_order_preparation,tool.governed_order_packet_builder,D:/.agents/codex/tools/local_validate_order_packets.ps1,order_packet_missing_required_fields
subskill.openai-local-design,parallel-order-governance,court.openai_dispatcher|tech.reference_librarian,when OpenAI is useful for prompts schemas evals or local agent design,recipe.openai_local_agent_design,tool.synthetic_eval_manifest,D:/.agents/codex/tools/local_validate_parallel_order_governance.ps1,openai_api_live_requested_without_order
subskill.retrospective-loop,parallel-order-governance,court.seshat_evidence|codex.workspace_guardian,after a PR merge or failed validator changes the operating model,recipe.governed_readback_closeout,tool.readback_builder,D:/.agents/codex/tools/local_validate_parallel_order_governance.ps1,retrospective_without_evidence
