artifact_type,artifact_id,source_path,propagation_policy,target_agent,classification,requires_context_adaptation,requires_human_gate,required_validators,blocked_actions,notes
skill,agent-retrospective-learning,.agents/skills/agent-retrospective-learning/SKILL.md,propagate_as_repo_local_skill,court.seshat_evidence,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,live_execution|secret_materialization|auto_merge,Use for closed-frontier learning with local evidence only.
skill,dataverse-metadata-only-provisioning,.agents/skills/dataverse-metadata-only-provisioning/SKILL.md,propagate_when_repo_has_dataverse_metadata_lane,rey.frontier_guardian,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan|dataverse_manifest_validator,dataverse_live|prod|test|default|secrets,Only for DEV metadata-only governance repos.
skill,dataverse-workqueue-backreference-mapping,.agents/skills/dataverse-workqueue-backreference-mapping/SKILL.md,propagate_when_repo_has_workqueue_backreference_lane,court.sdu_gate,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan|backreference_validator,dataverse_live|powerautomate_live|target_write_without_exact_candidate,Requires exact keys and candidate count one before final write.
skill,no-inference-runtime-write-guard,.agents/skills/no-inference-runtime-write-guard/SKILL.md,propagate_as_safety_guard,rey.frontier_guardian,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,blind_write|historical_assumption|partial_match_write,General guard against inferred writes.
recipe,recipe.one-flow-one-item-runtime-test,.agents/codex/recipes/recipe.one-flow-one-item-runtime-test.md,propagate_when_controlled_dev_runtime_exists,court.sdu_gate,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,flow_activation|multiple_item_processing|prod|test|default,Use only with exact DEV flow and exact item.
recipe,recipe.retrospective-to-skill-propagation,.agents/codex/recipes/recipe.retrospective-to-skill-propagation.md,propagate_as_retrospective_process,rey.control_plane_orchestrator,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,auto_propagation|auto_merge|live_execution,Use for repo-specific retrospective PRs.
recipe,recipe.backreference-target-mapping-before-write,.agents/codex/recipes/recipe.backreference-target-mapping-before-write.md,propagate_when_target_mapping_required,rey.frontier_guardian,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan|backreference_validator,target_write_without_exact_candidate|dataverse_live,Blocks final write if target is uncertain.
recipe,recipe.mapping-record-before-target-write,.agents/codex/recipes/recipe.mapping-record-before-target-write.md,propagate_when_mapping_record_required,court.seshat_evidence,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,mapping_without_keys|target_write_before_mapping_record,Creates evidence before final target write.
agent_assignment,rey.control_plane_orchestrator,.agents/codex/matrices/OPERATIONAL_CHAIN_GOVERNANCE_MATRIX.csv,update_assignment_by_repo_context,rey.control_plane_orchestrator,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,auto_propagation|live_execution,Receives orchestration and fan-in learning.
agent_assignment,rey.frontier_guardian,.agents/codex/matrices/CAPABILITY_USE_HARDENING_MATRIX.csv,update_assignment_by_repo_context,rey.frontier_guardian,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,blind_write|prod|test|default|secrets,Receives write guard and exact target policy.
agent_assignment,court.sdu_gate,.agents/codex/matrices/AGENT_LEARNING_PROPAGATION_MATRIX.csv,update_assignment_by_repo_context,court.sdu_gate,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,coverage_reduction|unchecked_runtime,Receives one-flow-one-item and target exactness gates.
agent_assignment,court.seshat_evidence,.agents/codex/matrices/AGENT_LEARNING_PROPAGATION_MATRIX.csv,update_assignment_by_repo_context,court.seshat_evidence,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,unverified_completion|secret_materialization,Receives evidence and retrospective closeout contract.
agent_assignment,court.thot_schema,.agents/codex/matrices/AGENT_LEARNING_PROPAGATION_MATRIX.csv,update_assignment_by_repo_context,court.thot_schema,propagate_later,yes,yes,git_diff_check|repo_local_validator|secret_scan,schema_overwrite_without_source,Receives schema and validator candidate translation.
