"priority","layer","object_name","function","use_now","why","next_action"
"P0","operational_core","LIB_GobiernoSistemas","governance and execution root","yes","already contains control, execution, gates, manifests, orders, and readbacks","use as the main operating base"
"P0","operational_core","TGE_Control_20260514","control and reconciliation pack","yes","captures the live-vs-model gap and the staging decision","use as the control reference for operational readiness"
"P0","operational_core","TGE_SDU_CN_MICROSOFT_EXECUTION_20260531","execution pack","yes","contains activation context, evidence, manifests, orders, and readbacks","use as the execution template"
"P1","canon","LIB_DiccionarioCanonico","canonical dictionary","yes","supports shared naming and definitions","read exact terms when needed"
"P1","canon","LIB_Runbooks","procedures and runbooks","yes","supports repeatable operations","read runbooks for step-by-step operation"
"P1","canon","LIB_Plantillas","templates","yes","supports reusable forms and documents","reuse templates before creating new structure"
"P1","canon","LIB_AgentPrompts","prompt library","yes","supports reusable operational prompts","reuse prompts for repeatable requests"
"P2","evidence","LIB_EvidenciaTecnica","technical evidence","yes","captures supporting evidence","store technical proof here"
"P2","evidence","EvidenciasCarga","load evidence","yes","captures load-related evidence","store load artifacts here"
"P2","evidence","LIB_ExportacionesControladas","controlled exports","yes","supports controlled exports from operation","use for export packages only"
"P2","evidence","LIB_ReplicaOperativa","operational replica","yes","supports mirrored or replica workflows","keep in sync with the operating base"
"P3","support","LIB_Formacion","training and onboarding","yes","supports onboarding and learning","use for training materials"
"P3","support","LIB_DesignSystem","design system support","yes","supports visual/system design assets","use only when design assets are needed"
"P3","support","LIB_VozInstitucional","institutional voice","yes","supports tone and institutional messaging","use for communication assets"
"P3","support","LIB_PuenteDocumental_SGIN","document bridge","yes","supports crosswalks to SGIN documentation","use for bridge/reference material"
"P3","support","LIB_PilotoPermisosControlados","permission pilot","yes","supports controlled access patterns","use for permission-related documentation"
"P3","support","LIB_KnowledgeBase","knowledge base","yes","supports general knowledge capture","use as reference knowledge repository"

