repo,motivo_revision,riesgo,estado_actual,requiere_lectura_agents,requiere_lectura_validators,requiere_lectura_workflows,requiere_pr_abierto,proximo_gate,prioridad,stop_conditions
universo-rey/cabina-universal-d,baseline post merge y patron replicable,medio,CABINA_UNIVERSAL_D_POST_MERGE_BASELINE_READY,yes,yes,yes,no,GATE_CABINA_UNIVERSAL_D_POST_MERGE_BASELINE_AND_REPO_REVIEW_QUEUE,P0,secret_detected|admin_bypass_requested|external_live_required|branch_deletion_without_explicit_authorization
SeshatSgin/torre-gemela-escribania,alinear TGE con hardening activo y contratos repo-native,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_TGE_ACTIVE_HARDENING_REVIEW,P0,secret_detected|scope_mixed|checks_not_green|live_without_gate
SeshatSgin/seshat-bootstrap-sdu-cn,verificar canon SDU-CN y validators del bootstrap,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_SESHAT_BOOTSTRAP_ACTIVE_HARDENING_REVIEW,P0,secret_detected|canonical_agent_missing|checks_not_green|live_without_gate
SeshatSgin/cdf-soluciones,revisar contrato CDF y frontera Dataverse Power Platform sin live,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_CDF_ACTIVE_HARDENING_REVIEW,P0,secret_detected|tenant_ambiguous|checks_not_green|live_without_gate
SeshatSgin/tge-agentic-runtime-control-escribania,revisar runtime agentico TGE y Agents SDK local preflight,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_TGE_AGENTIC_RUNTIME_ACTIVE_HARDENING_REVIEW,P0,secret_detected|sdk_live_without_gate|checks_not_green|production_requested
SeshatSgin/tcu-agentic-runtime-control,revisar runtime agentico general contra canon activo,medio,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_TCU_AGENTIC_RUNTIME_ACTIVE_HARDENING_REVIEW,P1,secret_detected|sdk_live_without_gate|checks_not_green|scope_mixed
universo-rey/organizacion,revisar organizacion como referencia multirepo sin absorber repos,medio,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_ORGANIZACION_ACTIVE_HARDENING_REVIEW,P1,secret_detected|nested_repo_write|checks_not_green|scope_mixed
SeshatSgin/sgin-cumplimiento,revisar cumplimiento documental y frontera datos regulados,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_SGIN_CUMPLIMIENTO_ACTIVE_HARDENING_REVIEW,P1,secret_detected|regulated_data_broad|checks_not_green|live_without_gate
SeshatSgin/jara-consultores,revisar frente MODO_ON proveedor y contratos operativos,medio,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_JARA_ACTIVE_HARDENING_REVIEW,P2,secret_detected|scope_mixed|checks_not_green|live_without_gate
universo-rey/microsoft-agents-governed-lab,revisar laboratorio Microsoft gobernado sin escritura tenant,alto,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_MICROSOFT_AGENTS_LAB_ACTIVE_HARDENING_REVIEW,P2,secret_detected|tenant_write_requested|checks_not_green|live_without_gate
SeshatSgin/modo-on-foundation,revisar foundation MODO_ON y consistencia canon,medio,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_MODO_ON_FOUNDATION_ACTIVE_HARDENING_REVIEW,P2,secret_detected|canonical_drift|checks_not_green|scope_mixed
SeshatSgin/sdu-canon,revisar canon SDU como referencia documental sin live,medio,REVIEW_QUEUE_PENDING,yes,yes,yes,yes,GATE_SDU_CANON_ACTIVE_HARDENING_REVIEW,P2,secret_detected|canonical_drift|checks_not_green|scope_mixed
