"lane_id","repo_or_surface","lead_agent","support_agent","scope","allowed_actions","blocked_actions","evidence","validator","gate_required","stop_condition","status"
"daily.cabina_control_plane","universo-rey/cabina-universal-d","rey.control_plane_orchestrator","rey.frontier_guardian","orden rectora, matriz, readback y gates","repo-scoped docs; local validators; branch codex/*; PR si se autoriza","merge main; force push; production; live write; secrets",".agents/codex/orders/ORDER_RECTOR_CABINA_CODEX_DAILY_FRAMEWORK_20260605.md","local_validate_order_packets.ps1|local_validate_operational_chain.ps1|local_validate_capability_use_hardening.ps1","none for local docs","validator_fail|secret_detected|scope_expansion_needed","EXECUTE_LOCAL_NOW"
"daily.cdf","SeshatSgin/cdf-soluciones","universe.modo_on_tower","court.seshat_evidence","revisar canon y documentos objetivo del dia","read-only repo scan; issue/PR read; draft package","live tenant write; production; secrets; cross-tenant write","readback per repo target","repo-native validators if present","GATE_TENANT_IDENTITY for MODO_ON live","repo_unavailable|regulated_data_boundary_unclear","PENDING_REPO_READ"
"daily.tge","SeshatSgin/torre-gemela-escribania","universe.escribania_tower","rey.authority_canonist","revisar canon TGE y SGSD-TC references","read-only repo scan; canon comparison; draft decisions","protocol content; escrituras; CED; SharePoint write","readback per repo target","repo-native validators if present","GATE_DATA_REGULATED for regulated docs","regulated_content_detected|canon_conflict","PENDING_REPO_READ"
"daily.seshat_bootstrap","SeshatSgin/seshat-bootstrap-sdu-cn","court.sdu_gate","court.seshat_evidence","actas y canon SDU bootstrap","read-only repo scan; acta draft; validator review","live Teams/Entra writes; production; secrets","acta draft plus validator evidence","ci/validate_repo.ps1 if present","none for repo-only draft","validator_fail|live_write_requested","PENDING_REPO_READ"
"daily.tge_agentic","SeshatSgin/tge-agentic-runtime-control-escribania","court.openai_dispatcher","rey.frontier_guardian","runtime agentic gobernado TGE","read-only repo scan; agents/sdk alignment draft","OpenAI live cost; external tools; tenant write; secrets","runtime readback and gate packet","repo-native validators if present","GATE_OPENAI_LIVE|GATE_AGENTS_SDK_LIVE for runtime live","cost_or_secret_boundary_missing","PENDING_REPO_READ"
"daily.organizacion","universo-rey/organizacion","rey.authority_canonist","court.thot_schema","documento de diseno de servicio","read-only repo scan; service design draft package","production; regulated data; live write","draft service design readback","repo-native validators if present","none for repo-only draft","owner_or_scope_missing","PENDING_REPO_READ"
"daily.local_sgsd_libraries","C:/Users/enzo1/ESCRIBANIA BITSCH/*LIB_SGSD*","court.seshat_evidence","rey.frontier_guardian","bibliotecas locales SGSD read-only saneadas","read names; README/MD/CSV/JSON small allowed docs; summarize","certificados; protocolo; escrituras; CED; broad evidence; secrets","local library readback","git diff --check; secret pattern screen","GATE_DATA_REGULATED|GATE_SECRET_USE for deeper read","secret_detected|regulated_target_missing","EXECUTE_LOCAL_READ_NOW"
"daily.dataverse_workqueue","Dataverse metadata and Work Queue design","court.thot_schema","court.sdu_gate","modelar estado, relaciones y cola sin apply","schemas; manifests; dry-run; matrix; no live apply","Dataverse apply; Default/prod env; connector writes; secrets","metadata decision packet","schema/dry-run validators if present","GATE_DATAVERSE_APPLY for writes","target_or_rollback_or_postcheck_missing","PREPARE_ONLY"
"daily.power_automate","Power Automate gated execution","rey.frontier_guardian","court.sdu_gate","ejecucion automatizada solo con gate","flow design; compatibility review; runbook; dry-run docs","flow run; connector mutation; tenant write; cost; production","gate packet and postcheck plan","workflow/power platform validators if present","GATE_POWER_PLATFORM_APPLY|GATE_MICROSOFT_LIVE_WRITE","target_or_owner_missing","PREPARE_ONLY"
"daily.sgsd_drift_reconciliation","SGSD local postchecks/evidence","court.seshat_evidence","rey.frontier_guardian","reconciliar drift local 62/63 conexiones, 4/5 tareas Planner, Copilot ready-not-live","local matrix/readback; no live verification unless gated","SharePoint write; Planner mutation; Power Automate run; pac create; broad evidence read","SGSD local postchecks/evidence readback","git diff --check; capability hardening; future drift matrix validator if added","GATE_MICROSOFT_LIVE_WRITE|GATE_POWER_PLATFORM_APPLY for live reconciliation","live_write_requested_without_gate|regulated_target_missing","PREPARE_LOCAL_RECONCILIATION"
