skill_id,skill_name,handle,capability_id,source_path,source_type,status,allowed_action,blocked_action,input_contract,output_contract,validation_method,required_gate,risk_level,evidence,notes
SKILL.REY_CAPABILITY_GOVERNANCE,Rey Modo Gobierno Capacidades,rey-modo-gobierno-capacidades,CODEX.SKILLS.LOCAL,C:/Users/enzo1/.agents/skills/rey-modo-gobierno-capacidades/SKILL.md,physical_skill,DOCUMENTAL_ONLY,metadata classification and capability governance,runtime tenant production or sensitive data,local documentary sources plus candidate resource handle,dictamen with verified facts risks and next step,path exists and SKILL.md read,GATE_HANDLE_REGISTRY,medium,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,used as documentary guidance only
SKILL.REY_FRONTIER_CONTINUITY,Rey Modo Frontier Continuity,rey-modo-frontier-continuity-planner,READBACK.CONTINUITY,C:/Users/enzo1/.agents/skills/rey-modo-frontier-continuity-planner/SKILL.md,physical_skill,DOCUMENTAL_ONLY,next gate definition and continuity handoff,open runtime fronts or external surfaces,gate state plus documentary boundary,one non ambiguous next gate,path exists and SKILL.md read,GATE_NEXT_FRONTIER,medium,SKILLS.md;01J decision,used to keep 01L separate
SKILL.REY_EVIDENCE_RISK_HANDOFF,Rey Modo Evidence Risk Handoff,rey-modo-evidence-risk-handoff,READBACK.OPERATIVO,C:/Users/enzo1/.agents/skills/rey-modo-evidence-risk-handoff/SKILL.md,physical_skill,DOCUMENTAL_ONLY,evidence risk and readback metadata,expose secrets or real data,sources read and artifact list,traceable readback and risks,path exists and SKILL.md read,GATE_READBACK,medium,SKILLS.md;01J readback,metadata only
SKILL.REY_VERIFICATION_BEFORE_CLOSURE,Rey Modo Verification Before Closure,rey-modo-verificacion-previa-cierre,VALIDATION.FRESH_EVIDENCE,C:/Users/enzo1/.agents/skills/rey-modo-verificacion-previa-cierre/SKILL.md,physical_skill,DOCUMENTAL_ONLY,final local artifact verification,claim closure without fresh evidence,required artifact checklist,validation report and status,path exists and SKILL.md read,GATE_FINAL_VALIDATION,medium,SKILLS.md;validation criteria,applied before declaring 01K closed
SKILL.SDU_GATE_EXECUTOR,SDU Gate Executor,sdu-gate-executor,SDU.GATE_EXECUTOR,C:/Users/enzo1/.codex/skills/sdu-gate-executor/SKILL.md,physical_skill,GATEADO_RUNTIME,documentary reference to gate pattern,execute live SDU SharePoint PowerPlatform or tenant gate,SDU gate request with explicit runtime approval,gate execution only after future approval,path exists and metadata inspected,GATE_RUNTIME_APPROVAL_REQUIRED,high,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,not executed
SKILL.SDU_SHAREPOINT_AUDIT,SDU Live SharePoint Audit,sdu-live-sharepoint-audit,M365.SHAREPOINT_DOCUMENTAL,C:/Users/enzo1/.codex/skills/sdu-live-sharepoint-audit/SKILL.md,physical_skill,GATEADO_EXTERNAL_SURFACE,documentary reference to live audit boundary,SharePoint live read write tenant access,explicit live read scope and approval,confirmed probable inferred audit only after gate,path exists and metadata inspected,GATE_LIVE_M365_APPROVAL,critical,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,not executed
SKILL.OPENAI_DOCS,OpenAI Docs,openai-docs,OPENAI.BASELINE_DOCS,C:/Users/enzo1/.codex/skills/.system/openai-docs/SKILL.md,physical_skill,DETECTADO_NO_EXPANDIDO,local metadata and official docs baseline reference,external browsing or docs MCP without gate in this local operation,OpenAI docs question and approved external lookup,cited official docs answer when separately authorized,path exists and metadata inspected,GATE_OFFICIAL_DOC_REFRESH,medium,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,no external lookup in 01K
SKILL.CHATGPT_APPS_LOCAL,ChatGPT Apps,chatgpt-apps,PLUGIN.CHATGPT_APPS,C:/Users/enzo1/.codex/skills/chatgpt-apps/SKILL.md,physical_skill,GATEADO_RUNTIME,documentary app capability mapping,scaffold app MCP server widget or runtime,app design request plus explicit scope,docs aligned scaffold only after gate,path exists and metadata inspected,GATE_APP_SCOPE,high,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,not executed
SKILL.MCP_BUILDER,MCP Builder,mcp-builder,TOOL.MCP_REMOTE,C:/Users/enzo1/.codex/skills/mcp-builder/SKILL.md,physical_skill,GATEADO_RUNTIME,documentary MCP design mapping,create or run MCP server or remote connector,MCP design scope and trust boundary,design document after gate only,path exists and metadata inspected,GATE_MCP_DESIGN,high,SKILLS.md;matrices/SKILL_EQUIVALENCE_MATRIX.csv,not executed
SKILL.OPENAI_AGENTS_SDK,OpenAI Agents SDK,agents-sdk,OPENAI.AGENTS_SDK,C:/Users/enzo1/.codex/plugins/cache/openai-curated/openai-developers/dc902811/skills/agents-sdk/SKILL.md,plugin_cache_skill,GATEADO_RUNTIME,registry handle only,instantiate agents tools traces or API runtime,explicit agent runtime approval,agent runtime design after gate,path referenced in matrix,GATE_AGENT_RUNTIME,critical,matrices/SKILL_EQUIVALENCE_MATRIX.csv,plugin cache is not authorization
SKILL.SHAREPOINT_CONNECTOR,SharePoint Connector Skill,sharepoint,PLUGIN.SHAREPOINT,C:/Users/enzo1/.codex/plugins/cache/openai-curated/sharepoint/dc902811/skills/sharepoint/SKILL.md,plugin_cache_skill,GATEADO_EXTERNAL_SURFACE,registry equivalence only,SharePoint tenant read write or connector activation,explicit live M365 gate,live audit or write only after approval,path referenced in matrix,GATE_LIVE_M365_APPROVAL,critical,matrices/SKILL_EQUIVALENCE_MATRIX.csv,not activated
SKILL.TEAMS_PLANNER,Teams Planner Task Management,teams-planner-task-management,PLUGIN.TEAMS_PLANNER,C:/Users/enzo1/.codex/plugins/cache/openai-curated/teams/dc902811/skills/teams-planner-task-management/SKILL.md,plugin_cache_skill,GATEADO_EXTERNAL_SURFACE,registry equivalence only,Teams or Planner tenant task read write,explicit live M365 gate,planner workflow only after approval,path referenced in matrix,GATE_LIVE_M365_APPROVAL,critical,matrices/SKILL_EQUIVALENCE_MATRIX.csv,not activated
SKILL.GOOGLE_DRIVE,Google Drive,google-drive,PLUGIN.GOOGLE_DRIVE,C:/Users/enzo1/.codex/plugins/cache/openai-curated/google-drive/dc902811/skills/google-drive/SKILL.md,plugin_cache_skill,GATEADO_EXTERNAL_SURFACE,registry equivalence only,Drive connector auth read write or indexing,explicit Drive approval,Drive workflow only after approval,path referenced in matrix,GATE_DRIVE_APPROVAL,high,matrices/SKILL_EQUIVALENCE_MATRIX.csv,local Drive path is separate from connector
