"recipe_id","purpose","preconditions","steps","gates","tools","validators","evidence","rollback","postcheck","stop_condition","reusable_by_user","reusable_by_agents","compatible_skills","compatible_agents","propagation_scope"
"recipe.metadata-only-dev-apply","Apply DEV metadata-only package","DEV env exact and manifest valid","freeze|validate|apply_metadata|postcheck|version","no_prod_test_default|no_secret","pac|dataverse_scripts","dataverse_manifest|change_aware","postcheck|drift","revert_or_invalidate_batch","drift_zero","wrong_env_or_secret","yes","yes","skill.dataverse-metadata-only-provisioning","rey.frontier_guardian|court.seshat_evidence","cabina"
"recipe.connection-registry-raw-to-canonical-to-seed","Convert raw connection inventory to canonical seed","raw inventory sanitized","dedup|false_positive_review|seed|validate","no_secret_materialization","local_csv","connection_dedup_validator","dedup_report","remove_seed_batch","seed_row_count","secret_or_duplicate","yes","yes","skill.connection-registry-dedup","court.thot_schema","cabina"
"recipe.workqueue-pilot-binding","Bind table mappings to pilot Work Queue items","queue mapping and payload schema exist","freeze|create_pilot|postcheck|rollback_plan","max_items|metadata_only","pac|dataverse_web_api","workqueue_payload_contract","pilot_result","cancel_pilot_batch","count_within_limit","duplicate_idempotency","yes","yes","skill.powerautomate-workqueue-binding","powerautomate.workqueue.operator","cabina"
"recipe.openai-structured-output-validation","Use OpenAI only for sanitized advisory structure","explicit API order and sanitized payload","preflight|call|validate_schema|mark_advisory","no_raw_paths|no_body_saved","openai_responses_api","openai_metadata_validator","sanitized_csv","discard_output","schema_pass","key_missing_or_sensitive_payload","yes","yes","skill.openai-metadata-only-classification","court.openai_dispatcher","cabina"
"recipe.github-pr-lifecycle-governed","Branch commit push PR checks merge when approved","repo scope and HEAD gate exist","branch|stage_explicit|commit|push|pr|checks|merge_if_ordered","match_head|green_checks","git|gh","change_aware|governance_suite","pr_url|checks","revert_pr","main_aligned","head_changed_or_red_checks","yes","yes","cabina-commit-work","github.pr.operator|rey.repo_cartographer","global"
"recipe.postmerge-live-state-freeze","Freeze live state after merge without new mutation","merge commit known","read_evidence|write_postcheck|sync_main","no_live_new","git|gh","governance_suite","postcheck","revert_evidence_pr","main_aligned","live_requested","yes","yes","governed-readback-closeout","court.seshat_evidence","cabina"
"recipe.dev-flow-disabled-provisioning","Create DEV flows disabled","DEV exact and rollback exists","create_disabled|postcheck_disabled|version","statecode_zero","dataverse_web_api","flow_disabled_postcheck","flow_matrix","delete_exact_flow","active_count_zero","active_trigger","yes","yes","skill.powerautomate-workqueue-binding","powerautomate.workqueue.operator","cabina"
"recipe.one-flow-one-item-runtime-test","Run one exact DEV flow and one exact item","flow id and item id exact","freeze|enable_one|process_one|disable|postcheck","one_flow_one_item","dataverse_web_api","runtime_one_flow_one_item","execution_log","restore_disabled","active_count_zero","more_than_one_item","yes","yes","skill.dev-runtime-controlled-activation","runtime.activation.operator","cabina"
"recipe.credential-gate-governed","Use credential without printing or persisting","explicit key approval","presence_check|smoke_no_body|secret_scan","no_env_read_dump","local_env|api_tool","secret_scan","redacted_status","rotate_or_remove","secret_not_printed","secret_materialized","yes","yes","skill.secret-safe-api-key-handling","rey.frontier_guardian","global"
"recipe.retrospective-to-skill-propagation","Turn closed frontier into reusable learning","readbacks and validators exist","source_read|candidate_matrix|canon_decision|index|validate|pr","no_live","local_files|git|gh","skill_recipe_agent_learning","retrospective_readback","revert_pr","checks_green","missing_source_or_secret","yes","yes","skill.agent-retrospective-learning","retrospective.learning.engine|court.seshat_evidence","global_after_review"
"recipe.backreference-target-mapping-before-write","Search exact target before back-reference update","processed item deterministic","extract_keys|search_exact|count_candidates|decide","candidate_count_must_equal_1","dataverse_web_api_or_evidence","backreference_exactness","candidate_matrix","no_write","candidate_count_recorded","candidate_count_not_one","yes","yes","skill.dataverse-workqueue-backreference-mapping|skill.no-inference-runtime-write-guard","backreference.mapping.operator","global"
"recipe.mapping-record-before-target-write","Create mapping record when target final is unresolved","exact item keys and mapping table exist","validate_keys|create_mapping|postcheck_unique|block_target_update","metadata_only|no_target_write","dataverse_web_api_when_ordered","backreference_runtime_closure","mapping_record|postcheck","invalidate_mapping_record","idempotency_unique","missing_keys_or_target_guess","yes","yes","skill.dataverse-workqueue-backreference-mapping","backreference.mapping.operator","cabina"
