repo_full_name,local_reference_path,candidate_surface,classification,reason,allowed_next_action,blocked_actions,required_gate,required_validators,owner_agent,reviewer_agent
universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,cabina_root,reference_only,Source repo already contains PR69 canon and this propagation plan,Keep as source of truth for this package,auto_propagation|live_execution|secret_materialization,PR review before merge,git_diff_check|local_validate_skill_recipe_agent_learning|governance_validation_suite|change_aware_full_coverage,rey.control_plane_orchestrator,court.sdu_gate
universo-rey/organizacion,01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE/organizacion,governance_registry,propagate_later,Good candidate for governance catalog alignment but has its own repo and PR lifecycle,Prepare repo-native PR after human approval,auto_merge|repo_absorption|live_execution|secrets,owner/reviewer/branch/file_scope approval,git_diff_check|repo_local_validator|secret_scan,rey.governance_registrar,rey.frontier_guardian
SeshatSgin/torre-gemela-escribania,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania,escribania_tower,propagate_later,Relevant for TGE governance but institutional context must be preserved,Prepare repo-native PR after TGE owner approval,auto_merge|repo_absorption|microsoft_live|production|secrets,exact file scope plus TGE validator evidence,git_diff_check|repo_local_validator|secret_scan,universe.escribania_tower,rey.frontier_guardian
SeshatSgin/tcu-control-plane,registered_external_reference,tcu_control_plane,propagate_later,Control-plane patterns may benefit but repo is outside local base matrix context,Prepare separate repo-native lane after base/context verification,auto_merge|repo_absorption|live_execution|secrets,repo access/base/owner approval,git_diff_check|repo_local_validator|secret_scan,rey.control_plane_orchestrator,court.thot_schema
universo-rey/Sgin,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/Sgin,sgin_repo,blocked_context_missing,Registered but propagation needs repo-specific canon and validator review,Prepare context audit only,auto_propagation|live_execution|production|secrets,context mapping approval,git_diff_check|repo_local_validator|secret_scan,universe.modo_on_tower,rey.frontier_guardian
SeshatSgin/sgin-cumplimiento,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento,sgin_compliance,blocked_context_missing,Compliance repo may have regulated context boundaries,Prepare metadata-only context audit,auto_propagation|broad_regulated_read|microsoft_live|production|secrets,regulated boundary approval,git_diff_check|repo_local_validator|secret_scan,universe.escribania_tower,rey.frontier_guardian
SeshatSgin/SGIN_Canonico_Puro,registered_external_reference,sgin_canon,reference_only,Canon repo should not absorb cabina mechanics without explicit canon decision,Use as reference until canon owner requests propagation,auto_propagation|canon_overwrite|live_execution|secrets,canon owner approval,git_diff_check|repo_local_validator|secret_scan,rey.authority_canonist,court.sdu_gate
universo-rey/microsoft-agents-governed-lab,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/microsoft-agents-governed-lab,microsoft_agents_lab,blocked_security_risk,Microsoft agent lab needs exact surface and tenant/write boundaries before propagation,Prepare no-live design review only,microsoft_live|graph_mutation|tenant_write|production|secrets,exact object/rollback/postcheck approval,git_diff_check|repo_local_validator|secret_scan,tech.reference_librarian,rey.frontier_guardian
SeshatSgin/cdf-soluciones,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/cdf-soluciones,modo_on_provider,propagate_later,Provider repo may use DEV metadata/runtime patterns but needs owner approval,Prepare repo-native PR after owner approval,auto_merge|dataverse_live|powerautomate_live|openai_api_live|secrets,owner/reviewer/target context approval,git_diff_check|repo_local_validator|secret_scan,universe.modo_on_tower,court.sdu_gate
SeshatSgin/jara-consultores,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/jara-consultores,modo_on_provider,blocked_context_missing,Provider context unclear for Dataverse Work Queue propagation,Prepare context audit only,auto_propagation|live_execution|production|secrets,context mapping approval,git_diff_check|repo_local_validator|secret_scan,universe.modo_on_tower,rey.frontier_guardian
SeshatSgin/tcu-agentic-runtime-control,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/tcu-agentic-runtime-control,runtime_control,propagate_later,Runtime guard skill may apply after repo-specific validation,Prepare repo-native PR after runtime owner approval,auto_merge|openai_api_live|agents_sdk_live|secrets,runtime owner approval,git_diff_check|repo_local_validator|secret_scan,court.openai_dispatcher,court.sdu_gate
SeshatSgin/tge-agentic-runtime-control-escribania,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania,runtime_control_escribania,propagate_later,Runtime guard may apply but institutional boundaries are stricter,Prepare repo-native PR after TGE runtime owner approval,auto_merge|microsoft_live|production|openai_api_live|secrets,TGE runtime owner approval,git_diff_check|repo_local_validator|secret_scan,universe.escribania_tower,court.sdu_gate
