"stop_condition","normalized_family","meaning","required_action","applies_to"
"asset_without_owner","governance_ownership","asset lacks an owner agent","assign owner or stop","repo|agent|tool|matrix|skill|recipe"
"repo_without_owner_or_universe","repo_governance","repo lacks owner or universe assignment","assign owner universe tower and validator","repo"
"agent_without_authority_or_escalation","agent_governance","agent lacks authority level or escalation path","assign level and escalation target","agent"
"tool_without_surface_boundary","tool_governance","tool lacks allowed or blocked surface","declare allowed and blocked surfaces","tool"
"write_without_order","governed_write","requested action is write/cost/live/tenant/production without order","prepare governed order with rollback postcheck evidence","all"
"secret_or_global_state_write","secret_workspace","secret access or global state write risk detected","stop, redact, require explicit order and backup","workspace|tool"
"dirty_scope_unclassified","repo_hygiene","repo has unclassified local changes","classify changed files before write/versioning","repo"
"api_or_remote_agent_requested","api_runtime","API live or remote persistent agent requested","require API gate and no-sensitive precheck","openai|agent"
"workpaper_missing_for_agent","agent_workpapers","an agent lacks folder index row or required workpaper file","create or restore workpaper artifacts before closeout","agent|workpaper"
"plugin_without_surface_boundary","plugin_governance","plugin is referenced without availability live boundary or validator","declare plugin boundary or mark NO_DISPONIBLE","plugin|tool|agent"
"microsoft_live_requested_without_governed_order","microsoft_live","live Microsoft read/write requested without full governed order","prepare order with surface identity owner rollback postcheck evidence","sharepoint|teams|outlook|graph|tenant"
"parallel_lane_without_validator","parallel_governance","parallel lane lacks owner validator evidence or stop condition","assign owner validator evidence and stop condition before dispatch","agent|subagent|parallel"
"lane_scope_overlap","parallel_governance","two or more lanes can write the same scope","split scopes or serialize work under one owner","agent|subagent|repo"
"order_packet_missing_required_fields","order_preparation","prepared order lacks required fields","complete surface owner identity rollback postcheck evidence validator and stop condition","order|live|api|production"
"openai_api_live_requested_without_order","api_runtime","OpenAI API live cost vector store or remote agent requested without full order","prepare OpenAI order packet and stop before execution","openai|agent"
"retrospective_without_evidence","evidence_closeout","retrospective lacks merged PR validator or failure evidence","attach PR merge commit validator status and next-hardening items","readback|retrospective"
"github_order_missing_checks","github_governance","GitHub order lacks branch PR checks rollback postcheck or merge boundary","complete GitHub order packet or stop","github|repo|pr"
"production_requested_without_explicit_authorization","production_gate","production action requested without separate explicit authorization","prepare production order and stop before execution","production|repo|tenant"
"skill_without_catalog_or_assignment","skill_governance","skill or subskill is referenced without catalog assignment or agent owner","assign skill owner and validator before use","skill|subskill|agent"
"recipe_without_index_or_owner","recipe_governance","recipe or subrecipe is referenced without index row owner or validator","add recipe index row or stop","recipe|subrecipe"
"source_reference_treated_as_canon","source_governance","copied source material is being treated as rector canon without local adoption decision","record source boundary and adoption decision","source|canon|matrix"
"merge_or_force_push_or_actions_write_permission_without_order","github_governance","merge force push workflow write permission or protected action requested without order","prepare GitHub order packet and stop before action","github|actions|repo"
"source_without_decision_or_gate","source_governance","source capability lacks adoption decision boundary or gate","record adoption decision gate owner and validator","source|capability"
