enrichment_id,source_layer,source_artifact,package_or_repo_signal,blueprint_agent_scope,cabina_agent_mapping,dataverse_metadata,workqueue_or_table_binding,status,risk,stop_condition,next_action
EVOL-DV-01,blueprint_agents,CODEX_AGENT_NETWORK_MATRIX.csv,operation_plane_14_agents,"order-intake|intent-classifier|risk-arbiter|context-router|authority-resolver|task-graph-builder|capability-selector|workspace-router|parallel-agent-dispatcher|dependency-checker|local-executor|validator|evidence-writer|closure-judge","rey.control_plane_orchestrator|rey.frontier_guardian|court.sdu_gate|court.thot_schema|court.seshat_evidence","maps_to_existing_cabina_agent_family; do_not_create_14_new_agents_yet","mon_sdu_agent_connection_mapping -> SDU.Agent.Dispatch.Queue",MAP_TO_EXISTING_AGENT_FAMILY,medium,agent_without_boundary,reconcile_each_blueprint_agent_to_existing_cabina_agent
EVOL-DV-02,blueprint_agents,CODEX_AGENT_NETWORK_MATRIX.csv,memory_plane_6_agents,"trace-collector|readback-miner|pattern-detector|failure-classifier|decision-memory-writer|gap-detector","court.seshat_evidence|codex.workspace_guardian","mon_sdu_evidence row_count=5000; memory must remain sanitized pointer/evidence layer","SDU.Evidence.Publish.Queue",MAP_TO_EXISTING_AGENT_FAMILY,high,secrets_in_memory,define_sanitized_memory_to_evidence_mapping
EVOL-DV-03,blueprint_agents,CODEX_AGENT_NETWORK_MATRIX.csv,improvement_plane_7_agents,"improvement-hypothesis-builder|repair-loop-planner|fixture-builder|synthetic-eval-runner|validator-orchestrator|regression-checker|promotion-advisor","court.thot_schema|court.openai_dispatcher|court.sdu_gate","mon_sdu_validation_gate row_count=0; mon_sdu_apply_log row_count=0; both are ready only when governed rows exist","SDU.Gate.Review.Queue|SDU.Dataverse.Apply.Queue",MAP_TO_EXISTING_AGENT_FAMILY,high,promotion_without_evidence,prepare_fixture_eval_gate_mapping_before_any_promotion
EVOL-DV-04,blueprint_agents,CODEX_AGENT_NETWORK_MATRIX.csv,expansion_plane_7_agents,"capability-expansion-planner|agent-factory-planner|skill-gap-proposer|registry-normalizer|promotion-gate-resolver|versioning-advisor|rollback-planner","rey.governance_registrar|rey.frontier_guardian|court.sdu_gate","registry must be pointer-only; sdu_agent schema exists as declarative metadata with no remote persistent agent creation","sdu_agent schema; mon_sdu_agent_connection_mapping",MAP_TO_EXISTING_AGENT_FAMILY,high,registry_as_copy,prepare_pointer_only_resource_registry_delta
EVOL-DV-05,runtime_delta,CODEX_AGENT_NETWORK_RUNTIME_DELTA.csv,runtime_activation_controller,runtime-activation-controller,"NO_CREATE_YET; candidate maps to court.sdu_gate + codex.workspace_guardian + rey.frontier_guardian","activation only after approved_for_activation; no runtime_ready state from blueprint gate","potential SDU.Dataverse.Apply.Queue only after gate",BLOCKED_BY_GATE,high,runtime_accidental_enable,prepare_Gate_CodeX_Runtime_Activation_Model_Review_packet
EVOL-DV-06,runtime_delta,CODEX_AGENT_NETWORK_RUNTIME_DELTA.csv,runtime_healthcheck_validator,runtime-healthcheck-validator,"maps to court.thot_schema validators + court.sdu_gate review","healthcheck evidence may register to mon_sdu_validation_gate when row model is approved","SDU.Gate.Review.Queue",MAP_TO_EXISTING_VALIDATOR_FAMILY,medium,runtime_without_healthcheck,define_healthcheck_report_schema_and_fixture
EVOL-DV-07,runtime_delta,CODEX_AGENT_NETWORK_RUNTIME_DELTA.csv,runtime_suspension_agent,runtime-suspension-agent,"maps to court.sdu_gate + rey.frontier_guardian; no autonomous suspension live","rollback/postcheck required before any activated runtime can be suspended/retired","SDU.Gate.Review.Queue",BLOCKED_BY_GATE,high,rollback_missing,prepare_suspension_record_schema_only
EVOL-DV-08,dataverse_schema,dataverse/schema/sdu_agent.yml,local_schema,sdu_agent_table,"court.thot_schema owner; court.sdu_gate reviewer","logical_name=sdu_agent; auditing=true; change_tracking=true; alternate_key=sdu_canonical_id; no_remote_persistent_agent_creation=true","metadata schema only",READY_METADATA_ONLY,medium,no_remote_persistent_agent_creation,compare_sdu_agent_schema_to_blueprint_agent_config_fields
EVOL-DV-09,dataverse_seed,dataverse/data/seed_agent_connection_mapping.csv,local_seed,11_agent_connection_rows,"repo owners include rey.control_plane_orchestrator|universe.escribania_tower|court.seshat_evidence|court.openai_dispatcher","11 repo/agent connection mappings with Power Platform Admin and Agents SDK surfaces; status=seed_now","mon_sdu_agent_connection_mapping -> SDU.Agent.Dispatch.Queue",READY_METADATA_ONLY,high,microsoft_live_requested_without_governed_order_if_live,crosswalk_repo_connections_to_blueprint_resource_registry
EVOL-DV-10,dataverse_runtime_summary,dataverse/validation/sdu_agent_runtime_actions_registry_20260608/latest_summary,7_runtime_actions,"seshat-normativa|thot-tecnico|anubis-gate|maat-cumplimiento|horus-riesgo|cre3c-reconciliar-shell|narrador-normativo","APPLY_PASS and POSTCHECKED; candidate_count_before=1 and candidate_count_after=1; source_csv exists in main and related branches but is absent from current branch worktree","mon_sdu_agent_connection_mapping",READY_WITH_BRANCH_EVIDENCE_CURRENT_BRANCH_GAP,high,current_branch_missing_seed_file,restore_or_reference_seed_from_main_or_sdu_reconciliar_branch_before_reuse
EVOL-DV-13,git_branch_evidence,git log --all -- dataverse/data/seed_sdu_agent_runtime_actions.csv,branch_history,seed_sdu_agent_runtime_actions,"court.seshat_evidence|court.thot_schema|court.sdu_gate","file added in 09e9e2c on 2026-06-08; added in 3b58208 on 2026-06-10; modified in a605f80 on 2026-06-10; present in main and branches codex/sdu-reconciliar-she-training-sync-20260610, codex/sharepoint-pnp-live-map, codex/cabina-universal-d-coordination-20260611 and others","dataverse/data/seed_sdu_agent_runtime_actions.csv",FOUND_IN_BRANCHES,medium,current_branch_diverged_from_main_seed_state,choose_authoritative_branch_or_restore_exact_file
EVOL-DV-14,git_branch_evidence,main:dataverse/data/seed_sdu_agent_runtime_actions.csv,main_branch_file,7_runtime_actions,"seshat-normativa|thot-tecnico|anubis-gate|maat-cumplimiento|horus-riesgo|cre3c-reconciliar-shell|narrador-normativo","main branch file contains 7 rows including cre3c-reconciliar-shell/Serafin RFA with status ACTIVE_DEV and stop_condition AGENT_CRE3C_RUNTIME_REGISTERED","mon_sdu_agent_connection_mapping|workqueueitems",AUTHORITATIVE_CANDIDATE,medium,authoritative_branch_not_selected,select_main_or_specific_pr_branch_as_evidence_source
EVOL-DV-15,git_branch_evidence,main:.agents/codex/readbacks/2026-06-10_cre3c_reconciliar_she_chain_closeout_readback.md,main_branch_readback,cre3c_sync,"court.seshat_evidence|rey.frontier_guardian","readback states seed, validator and script were updated; validator PASS; branch codex/sdu-reconciliar-she-training-sync-20260610 clean and published; PR 154 ready for review","readback evidence only",EVIDENCE_FOUND,medium,pr_or_branch_state_needs_selection,link_this_readback_as_traceability_source
EVOL-DV-11,dataverse_queue_snapshot,dataverse/validation/agent_dispatch_queue_snapshot_now.json,local_snapshot,SDU.Agent.Dispatch.Queue,"court.sdu_gate reviewer; court.seshat_evidence evidence","total_items=10; completed=10; pending=0; exception=0; residual=0; snapshot_utc=2026-06-09T20:46:56Z","sdu_agent_dispatch_queue",READY_OBSERVED_NO_PENDING,medium,stale_snapshot_requires_refresh_before_live_use,refresh_readonly_snapshot_before_new_worker_batch
EVOL-DV-12,dataverse_operational_state,matrices/dataverse/DATAVERSE_22_TABLES_OPERATIONAL_STATE.csv,local_matrix,agent_relevant_tables,"court.thot_schema|court.sdu_gate","mon_sdu_agent_connection_mapping row_count=11; mon_sdu_apply_log row_count=0; mon_sdu_validation_gate row_count=0; mon_sdu_evidence row_count=5000","Agent.Dispatch|Dataverse.Apply|Gate.Review|Evidence.Publish queues",READY_FOR_LOCAL_PLANNING,high,dataverse_apply_without_governed_order,derive_worker_plan_from_metadata_without_table_mutation
