capability,use_when,primary_tool,input_allowed,input_blocked,output,canon_status,gate_required,validator,notes
responses_api,reasoning rector sobre corpus saneado,Responses API,saneado estructural y sintetico,secrets personal data raw corpus production data,structured decision support,API_CANON_HIGH_AUTHORITY,explicit API gate,sdu_canon_core_validator.py,no fallback silencioso en decisiones rectoras
structured_outputs,extraccion critica y clasificacion validable,Responses API JSON Schema,schemas headers metadata sanitized rows,freeform sensitive data full documents,strict JSON compatible output,API_CANON_HIGH_AUTHORITY,API gate or local schema gate,sdu_canon_core_validator.py,use schema estricto siempre que sea salida critica
embeddings,clustering de conceptos equivalentes,Embeddings,sanitized handles states names terms,secrets personal data raw corpus,cluster summaries and similarity candidates,API_CANON_SEMANTIC_LAYER,API gate with sanitized input,sdu_canon_core_validator.py,no embeddings sobre datos sensibles
batch,procesamiento masivo saneado,Batch API,sanitized derived records with manifest,raw corpus secrets personal data unsupported model,batch outputs for quarantine and review,BATCH_CANON_PROCESSING_LANE,separate manifest approval,sdu_canon_core_validator.py,no lower model degradation
vector_store,memoria canonica saneada,Vector Store,sanitized PR artifacts with manifest,raw corpus secrets personal data expedientes UIF KYC,semantic retrieval support,VECTOR_STORE_CANON_MEMORY_LANE,separate resource manifest,sdu_canon_core_validator.py,recurso canonico contenido requiere validacion
file_search,busqueda semantica y keyword sobre store saneado,File Search,approved vector store files,unmanifested files sensitive files,retrieval snippets for review,FILE_SEARCH_CANON_RETRIEVAL_LANE,vector store gate,sdu_canon_core_validator.py,retrieval no promueve contenido automaticamente
evals,calidad sintetica de agentes y decisiones,Evals,synthetic cases and sanitized rules,real cases sensitive cases tenant data,eval cases and quality signals,EVALS_CANON_QUALITY_LANE,eval design gate,sdu_canon_core_validator.py,no activa produccion por si solo
agents_sdk,orquestacion de agentes gobernados,Agents SDK design and gated runtime,safe tool specs synthetic fixtures and gated Microsoft tools,ungated live tools; tenant write without gate; production,agent architecture and deployment registry,AGENT_FACTORY_CANON_DEPLOYMENT_LANE,separate deployment gate,sdu_canon_core_validator.py,carril desplegable por gate
local_validators,validacion deterministica del canon,Python validators,repo files and generated artifacts,secrets and live runtime,pass fail report,CANON_SUPPORT,local documentary gate,sdu_canon_core_validator.py,preferir validator cuando resuelve el caso
github_governance,versionado tecnico y PR,Github PR workflow,repo visible non sensitive artifacts,secrets production mutation,branch commit PR readback,TECHNICAL_CANON,repo gate,git diff check and TCU validators,no merge sin aprobacion humana
