"validator_id","purpose","live_required","decision","notes"
"local_validate_dataverse_seed_batch_integrity","Validate seed batch counts and required keys","no","design","Use CSV and manifest only"
"local_validate_workqueue_payload_contract","Validate queue item payload boundary and idempotency","no","design","No Dataverse calls"
"local_validate_openai_metadata_only_batch","Validate OpenAI advisory output shape and no raw body saved","no","design","No API calls"
"local_validate_runtime_one_flow_one_item","Validate one-flow/one-item evidence package","no","design","Evidence-only"
"local_validate_postmerge_evidence_closure","Validate merge preflight postcheck readback rollback closure","no","design","Could compose existing validators"
"local_validate_skill_recipe_agent_learning","Validate retrospective skill recipe agent learning package","no","implement_now","Created in this PR"
"local_validate_no_infinite_readback_chain","Detect readback-only loops without next action","no","design","Static scan"
"local_validate_backreference_columns_contract","Validate back-reference column matrix contract","no","design","No live"
"local_validate_backreference_target_mapping_exactness","Validate candidate_count equals one before target update","no","design","Evidence-only"
"local_validate_mapping_record_before_target_write","Validate mapping record exists or target exactness before write","no","design","Evidence-only"
