repo_id,repository_full_name,universe,authority_layer,current_codex_cloud_state,agents_sdk_applicability,required_environment,required_branch_policy,required_validators,required_readback,blockers,priority,propagation_status,next_gate
D_CABINA_UNIVERSAL_ROOT,universo-rey/cabina-universal-d,ROOT_CONTROL_PLANE,ROOT_CONTROL_PLANE,CODEX_CLOUD_CABINA_READY,baseline_anchor,universo-rey/cabina-universal-d,codex/* from main,change_aware_full_coverage|operational_chain|capability_use_hardening,2026-06-03_agents_sdk_baseline_gate.md,NONE,0,CABINA_READY,merge this PR after checks
TCU_AGENTIC_RUNTIME,SeshatSgin/tcu-agentic-runtime-control,COURT,COURT_TRANSVERSAL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,high_repo_native_runtime_alignment,SeshatSgin/tcu-agentic-runtime-control,codex/* from main,repo_native_synthetic_eval|secret_scan|diff_check,[POR DEFINIR],repo_native_order_required|no OpenAI API live,1,PROPAGATION_PENDING_AFTER_CABINA,open repo-native branch only after cabina PR merges
TGE_AGENTIC_RUNTIME,SeshatSgin/tge-agentic-runtime-control-escribania,ESCRIBANIA,AGENTIC_RUNTIME,ENVIRONMENT_VISIBLE_READY_NO_DIFF,high_escribania_runtime_guardrail,SeshatSgin/tge-agentic-runtime-control-escribania,codex/* from main,repo_native_synthetic_eval|secret_scan|diff_check,[POR DEFINIR],tenant_write_blocked|no Microsoft live|no OpenAI API live,2,PROPAGATION_PENDING_AFTER_TCU,prepare local/no-live runtime baseline
SESHAT_BOOTSTRAP,SeshatSgin/seshat-bootstrap-sdu-cn,COURT,SESHAT_EVIDENCE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_evidence_and_privacy_boundary,SeshatSgin/seshat-bootstrap-sdu-cn,codex/* from main,ci/validate_repo.ps1|privacy_boundary_check,[POR DEFINIR],raw regulated data blocked|Teams live blocked,3,PROPAGATION_PENDING,prepare privacy-safe repo-native packet
TORRE_GEMELA_ESCRIBANIA,SeshatSgin/torre-gemela-escribania,ESCRIBANIA,TGE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_policy_and_handoff_only,SeshatSgin/torre-gemela-escribania,codex/* from main,tge validators|secret_scan|diff_check,[POR DEFINIR],Microsoft live write requires exact object rollback postcheck,4,PROPAGATION_PENDING,prepare documentary-only gate
SGIN_CUMPLIMIENTO,SeshatSgin/sgin-cumplimiento,ESCRIBANIA,TGE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_compliance_triage_only,SeshatSgin/sgin-cumplimiento,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],Graph write dependency missing|regulated data boundary,5,PROPAGATION_PENDING,prepare no-live compliance triage packet
SGIN,universo-rey/Sgin,COURT,SESHAT_EVIDENCE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_canon_triage_only,universo-rey/Sgin,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],canon authority must not be replaced,6,PROPAGATION_PENDING,prepare repo-native policy alignment
CDF_SOLUCIONES,SeshatSgin/cdf-soluciones,MODO_ON,MODO_ON_CONTROL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,medium_provider_guardrail,SeshatSgin/cdf-soluciones,codex/* from main,cdf validators|secret_scan|diff_check,[POR DEFINIR],Microsoft live blocked|provider boundary,7,PROPAGATION_PENDING,prepare local/no-live provider triage packet
JARA_CONSULTORES,SeshatSgin/jara-consultores,MODO_ON,MODO_ON_CONTROL,ENVIRONMENT_VISIBLE_READY_NO_DIFF,low_to_medium_provider_eval,SeshatSgin/jara-consultores,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],no live tenant writes|provider surface unclear,8,PROPAGATION_PENDING,prepare eval-only packet if needed
ORGANIZACION,universo-rey/organizacion,ROOT_CONTROL_PLANE,ROOT_REGISTRY,ENVIRONMENT_VISIBLE_READY_NO_DIFF,low_governance_reference,universo-rey/organizacion,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],avoid duplicate root authority,9,PROPAGATION_PENDING,prepare registry-only crosswalk
MICROSOFT_AGENTS_GOVERNED_LAB,universo-rey/microsoft-agents-governed-lab,ESCRIBANIA,TGE,ENVIRONMENT_VISIBLE_READY_NO_DIFF,reference_only_until_live_order,universo-rey/microsoft-agents-governed-lab,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],Microsoft live and permissions blocked,10,PROPAGATION_PENDING,prepare reference boundary review
MODO_ON_FOUNDATION,SeshatSgin/modo-on-foundation,MODO_ON,MODO_ON_CONTROL,NO_VISIBLE_ENVIRONMENT,low_until_environment_visible,CODEX_CLOUD_ENVIRONMENT_UI_REQUIRED,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],CODEX_CLOUD_ENVIRONMENT_UI_REQUIRED,11,BLOCKED_ENVIRONMENT,create or confirm environment by governed UI gate
SDU_CANON,SeshatSgin/sdu-canon,COURT,SDU_CANON,NO_VISIBLE_ENVIRONMENT,policy_only_until_environment_visible,CODEX_CLOUD_ENVIRONMENT_UI_REQUIRED,codex/* from main,repo validators|secret_scan|diff_check,[POR DEFINIR],CODEX_CLOUD_ENVIRONMENT_UI_REQUIRED|do not replace canon authority,12,BLOCKED_ENVIRONMENT,prepare environment gate without touching canon content
