repo_full_name,local_path,source_classification,selection_status,selection_reason,write_scope,owner_agent,reviewer_agent,required_validators,blocked_actions,rollback
universo-rey/cabina-universal-d,C:/Users/enzo1/Documents/GitHub/cabina-universal-d,reference_only,selected_now,Canon root already contains learned skills recipes agent assignments and needs propagation evidence PR,validation/propagation|readbacks/propagation|matrices/propagation,rey.control_plane_orchestrator,court.sdu_gate,git_diff_check|local_validate_skill_recipe_agent_learning|governance_validation_suite|change_aware_full_coverage,live_execution|secret_materialization|auto_merge,revert cabina propagation PR
universo-rey/organizacion,01_GOVERNANCE_REGISTRY/10_REPOS/02_ACTIVE/organizacion,propagate_later,selected_now,Governance registry is clean aligned and has D-drive agent layer snapshot path for reference adoption,05_AGENTES/D_DRIVE_CODEX_AGENT_LAYER/propagation|04_MATRICES/D_DRIVE|08_READBACKS,rey.governance_registrar,rey.frontier_guardian,git_diff_check|tge_controlplane_validate|secret_scan,live_execution|repo_absorption|secret_materialization|auto_merge,revert organizacion propagation PR
SeshatSgin/torre-gemela-escribania,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/torre-gemela-escribania,propagate_later,selected_later,Institutional TGE context requires separate owner and validator review before propagation,none,universe.escribania_tower,rey.frontier_guardian,repo_local_validator|secret_scan,microsoft_live|production|repo_absorption,prepare separate TGE PR only after owner gate
SeshatSgin/tcu-control-plane,registered_external_reference,propagate_later,selected_later,Outside local base matrix context for this first lane,none,rey.control_plane_orchestrator,court.thot_schema,repo_local_validator|secret_scan,live_execution|repo_absorption,prepare separate TCU lane after base verification
universo-rey/Sgin,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/Sgin,blocked_context_missing,blocked_context_missing,Needs repo-specific canon and validator review,none,universe.modo_on_tower,rey.frontier_guardian,context_audit|secret_scan,live_execution|production,context audit only
SeshatSgin/sgin-cumplimiento,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/sgin-cumplimiento,blocked_context_missing,blocked_context_missing,Compliance boundary may involve regulated context,none,universe.escribania_tower,rey.frontier_guardian,regulated_boundary_review|secret_scan,broad_regulated_read|microsoft_live|production,context audit only
SeshatSgin/SGIN_Canonico_Puro,registered_external_reference,reference_only,reference_only,Canon repo must not absorb cabina mechanics without canon owner order,none,rey.authority_canonist,court.sdu_gate,canon_owner_review|secret_scan,canon_overwrite|auto_propagation,reference only
universo-rey/microsoft-agents-governed-lab,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/microsoft-agents-governed-lab,blocked_security_risk,blocked_scope_risk,Microsoft agent lab needs exact tenant/write boundaries before any propagation,none,tech.reference_librarian,rey.frontier_guardian,security_review|secret_scan,microsoft_live|graph_mutation|tenant_write|production,no-live design review only
SeshatSgin/cdf-soluciones,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/cdf-soluciones,propagate_later,selected_later,Provider repo may adopt later after owner and target context approval,none,universe.modo_on_tower,court.sdu_gate,repo_local_validator|secret_scan,dataverse_live|powerautomate_live|openai_api_live,prepare separate provider PR
SeshatSgin/jara-consultores,10_UNIVERSOS/MODO_ON/10_REPOS/02_ACTIVE/jara-consultores,blocked_context_missing,blocked_context_missing,Provider context unclear for this first lane,none,universe.modo_on_tower,rey.frontier_guardian,context_audit|secret_scan,live_execution|production,context audit only
SeshatSgin/tcu-agentic-runtime-control,03_CORTE_EJECUTORA_DEL_REY/10_REPOS/02_ACTIVE/tcu-agentic-runtime-control,propagate_later,selected_later,Runtime guard propagation needs runtime owner review,none,court.openai_dispatcher,court.sdu_gate,runtime_owner_review|secret_scan,openai_api_live|agents_sdk_live|secrets,prepare separate runtime PR
SeshatSgin/tge-agentic-runtime-control-escribania,10_UNIVERSOS/ESCRIBANIA/10_REPOS/02_ACTIVE/tge-agentic-runtime-control-escribania,propagate_later,selected_later,TGE runtime boundary is stricter and requires owner review,none,universe.escribania_tower,court.sdu_gate,tge_runtime_owner_review|secret_scan,microsoft_live|production|openai_api_live,prepare separate TGE runtime PR
