canonical_agent_id,domain,universe,repo,repo_role,allowed_actions,gated_actions,operational_agent_mapping,evidence_agent,gate_agent,runtime_agent,openai_allowed,microsoft_live_allowed,stop_condition,status
seshat-normativa,documentary_governance_evidence_metadata,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_control_plane_contract,govern_documentation|trace_evidence|validate_metadata,github_write|openai_live|microsoft_live,court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,secret_detected|repo_native_contract_missing,ACTIVE_CANONICAL
thot-tecnico,content_types_metadata_taxonomy_tools_events,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_schema_event_contract,normalize_fields|map_tools|validate_events,github_write|openai_live|microsoft_live,court.thot_schema,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
anubis-gate,gates_stop_conditions_rollback_postcheck,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_gate_contract,define_gate|block_unsafe_action|require_rollback_postcheck,github_write|openai_live|microsoft_live,rey.frontier_guardian,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,microsoft_live_without_target,ACTIVE_CANONICAL
maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_compliance_contract,check_coherence|review_raci|recommend_proportional_action,github_write|openai_live|microsoft_live,court.sdu_gate,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,chain_of_command_missing,ACTIVE_CANONICAL
horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_risk_watch_contract,detect_risk|flag_contradiction|watch_threshold,github_write|openai_live|microsoft_live,rey.frontier_guardian,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,openai_treated_as_authority_source,ACTIVE_CANONICAL
narrador-normativo,documentary_narrative_after_approved_evidence,ESCRIBANIA|MODO_ON,universo-rey/cabina-universal-d,root_documentary_closeout_contract,draft_after_evidence|prepare_readback|narrate_approved_closeout,github_write|openai_live|microsoft_live,court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,evidence_not_approved,ACTIVE_CANONICAL
seshat-normativa,documentary_governance_evidence_metadata,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_evidence_contract,govern_documentation|trace_evidence|validate_metadata,github_write|microsoft_live,universe.escribania_tower|court.seshat_evidence,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,secret_detected,ACTIVE_CANONICAL
thot-tecnico,content_types_metadata_taxonomy_tools_events,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_schema_contract,normalize_fields|map_tools|validate_events,github_write|microsoft_live,universe.escribania_tower|court.thot_schema,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,canonical_agent_treated_as_tge_adapter,ACTIVE_CANONICAL
anubis-gate,gates_stop_conditions_rollback_postcheck,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_gate_contract,define_gate|block_unsafe_action|require_rollback_postcheck,github_write|microsoft_live,universe.escribania_tower|rey.frontier_guardian,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,microsoft_live_without_target,ACTIVE_CANONICAL
maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_compliance_contract,check_coherence|review_raci|recommend_proportional_action,github_write|microsoft_live,universe.escribania_tower|court.sdu_gate,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,chain_of_command_missing,ACTIVE_CANONICAL
horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_risk_contract,detect_risk|flag_contradiction|watch_threshold,github_write|microsoft_live,universe.escribania_tower|rey.frontier_guardian,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,openai_treated_as_authority_source,ACTIVE_CANONICAL
narrador-normativo,documentary_narrative_after_approved_evidence,ESCRIBANIA,SeshatSgin/torre-gemela-escribania,tge_narrative_contract,draft_after_evidence|prepare_readback|narrate_approved_closeout,github_write|microsoft_live,universe.escribania_tower|court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,evidence_not_approved,ACTIVE_CANONICAL
seshat-normativa,documentary_governance_evidence_metadata,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_evidence_contract,govern_documentation|trace_evidence|validate_metadata,github_write|microsoft_live,court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,secret_detected,ACTIVE_CANONICAL
thot-tecnico,content_types_metadata_taxonomy_tools_events,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_schema_contract,normalize_fields|map_tools|validate_events,github_write|microsoft_live,court.thot_schema,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
anubis-gate,gates_stop_conditions_rollback_postcheck,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_gate_contract,define_gate|block_unsafe_action|require_rollback_postcheck,github_write|microsoft_live,court.sdu_gate|rey.frontier_guardian,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,microsoft_live_without_target,ACTIVE_CANONICAL
maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_compliance_contract,check_coherence|review_raci|recommend_proportional_action,github_write|microsoft_live,court.sdu_gate,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,chain_of_command_missing,ACTIVE_CANONICAL
horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_risk_contract,detect_risk|flag_contradiction|watch_threshold,github_write|microsoft_live,rey.frontier_guardian,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,openai_treated_as_authority_source,ACTIVE_CANONICAL
narrador-normativo,documentary_narrative_after_approved_evidence,ESCRIBANIA|MODO_ON,SeshatSgin/seshat-bootstrap-sdu-cn,seshat_bootstrap_narrative_contract,draft_after_evidence|prepare_readback|narrate_approved_closeout,github_write|microsoft_live,court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,evidence_not_approved,ACTIVE_CANONICAL
seshat-normativa,documentary_governance_evidence_metadata,MODO_ON,SeshatSgin/cdf-soluciones,cdf_evidence_contract,govern_documentation|trace_evidence|validate_metadata,github_write|microsoft_live,universe.modo_on_tower|court.seshat_evidence,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,secret_detected,ACTIVE_CANONICAL
thot-tecnico,content_types_metadata_taxonomy_tools_events,MODO_ON,SeshatSgin/cdf-soluciones,cdf_schema_contract,normalize_fields|map_tools|validate_events,github_write|microsoft_live,universe.modo_on_tower|court.thot_schema,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,canonical_agent_treated_as_tool,ACTIVE_CANONICAL
anubis-gate,gates_stop_conditions_rollback_postcheck,MODO_ON,SeshatSgin/cdf-soluciones,cdf_gate_contract,define_gate|block_unsafe_action|require_rollback_postcheck,github_write|microsoft_live,universe.modo_on_tower|rey.frontier_guardian,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,microsoft_live_without_target,ACTIVE_CANONICAL
maat-cumplimiento,coherence_proportionality_raci_compliance_recommendation,MODO_ON,SeshatSgin/cdf-soluciones,cdf_compliance_contract,check_coherence|review_raci|recommend_proportional_action,github_write|microsoft_live,universe.modo_on_tower|court.sdu_gate,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,chain_of_command_missing,ACTIVE_CANONICAL
horus-riesgo,risk_alerts_contradictions_nucleo_umbral_watch,MODO_ON,SeshatSgin/cdf-soluciones,cdf_risk_contract,detect_risk|flag_contradiction|watch_threshold,github_write|microsoft_live,universe.modo_on_tower|rey.frontier_guardian,court.seshat_evidence,anubis-gate|rey.frontier_guardian,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,openai_treated_as_authority_source,ACTIVE_CANONICAL
narrador-normativo,documentary_narrative_after_approved_evidence,MODO_ON,SeshatSgin/cdf-soluciones,cdf_narrative_contract,draft_after_evidence|prepare_readback|narrate_approved_closeout,github_write|microsoft_live,universe.modo_on_tower|court.seshat_evidence,court.seshat_evidence,anubis-gate|court.sdu_gate,sdu-triage-agent,ENABLED_GOVERNED_BY_TASK,ENABLED_GOVERNED_GATED_BY_TARGET,evidence_not_approved,ACTIVE_CANONICAL
