"skill_id","name","trigger_boundary","use_when","do_not_use_when","inputs","outputs","allowed_actions","blocked_actions","required_tools","required_validators","evidence_required","rollback","stop_condition","maturity","reusable_by_user","reusable_by_agents","propagation_scope"
"skill.dataverse-metadata-only-provisioning","Dataverse metadata-only provisioning","DEV metadata-only schema or seed package","Dataverse table seed or solution metadata must be prepared without secrets","PROD TEST Default or regulated payloads are in scope","manifest|seed_csv|env_id|rollback","validated_metadata_package","validate_manifest|prepare_seed|record_postcheck","prod|test|default|secrets|blind_write","pac|dataverse_scripts","validate_dataverse_manifest|change_aware","postcheck|drift_report","governed_revert_or_metadata_invalidation","wrong_environment_or_secret_or_prod_test_default","canonize_now","yes","yes","cabina_and_registered_repos"
"skill.connection-registry-dedup","Connection registry dedup","Connection inventory to canonical seed","Connection records need dedup before Dataverse seed","raw secrets or live connector writes are requested","connection_inventory|dedup_rules","canonical_registry|false_positive_matrix","dedup|hash|classify_boundary","secret_materialization|connector_write","local_csv_parser","connection_dedup_validator","dedup_report|seed_matrix","remove_seed_rows_by_batch","secret_or_duplicate_key","candidate","yes","yes","cabina"
"skill.powerautomate-workqueue-binding","Power Automate Work Queue binding","Dataverse rows need Work Queue routing","Work Queue metadata or pilot items are prepared","flow activation or production automation is requested","queue_manifest|table_mapping|pilot_payloads","queue_binding_matrix|pilot_result","prepare_queue_items|validate_payloads","activate_flow|prod|test|default|pii","pac|dataverse_web_api","workqueue_payload_contract","pilot_result|postcheck","cancel_or_delete_pilot_batch","wrong_environment_or_duplicate_id","candidate","yes","yes","cabina"
"skill.openai-metadata-only-classification","OpenAI metadata-only classification","Advisory OpenAI classification with synthetic metadata","Structured metadata enrichment is useful and key/cost gate is approved","raw paths docs PII secrets or canon decision are required","sanitized_items|schema|model_gate","advisory_csv","call_responses_api_when_ordered|validate_schema","secret|pii|batch_submission_without_gate|canonize_ai_output","openai_responses_api","openai_metadata_validator","sanitized_log|schema_result","discard_advisory_output","key_missing_or_sensitive_payload","candidate","yes","yes","cabina"
"skill.github-grouped-versioning","GitHub grouped versioning","Large local package must become reviewable PR","Multiple lanes need grouped commits and checks","merge is not authorized or file has no lane","commit_group_matrix|scope","branch|commits|pr","explicit_stage|commit_by_group|push|pr","git_add_dot|force_push|direct_main_push","git|gh","change_aware|governance_suite","pr_url|checks","revert_group_commit","unclassified_file_or_secret","covered_by_existing","yes","yes","cabina"
"skill.postmerge-evidence-canonization","Postmerge evidence canonization","Merge happened and local evidence must be versioned","Preflight postcheck readback or rollback evidence needs a PR","New live action is requested","merge_commit|precheck|postcheck","evidence_pr","write_readback|validate|pr","live_execution|secret","git|gh","governance_suite","readback|postcheck","revert_evidence_pr","missing_merge_commit","candidate","yes","yes","cabina"
"skill.dev-runtime-controlled-activation","DEV runtime controlled activation","One exact DEV runtime action is authorized","One flow and one item can prove runtime behavior","Target flow or item is ambiguous","env|flow_id|item_id|rollback","runtime_evidence","activate_exact_flow|process_exact_item|restore_safe_state","prod|test|default|broad_processing","pac|dataverse_web_api","runtime_one_flow_one_item","preflight|postcheck","restore_disabled_state","active_flow_or_more_than_one_item","canonize_now","yes","yes","cabina"
"skill.secret-safe-api-key-handling","Secret-safe API key handling","API key exists or must be created/reused","A live API smoke needs a key but no secret can be printed","Repo persistence or prompt logging is requested","local_env_pointer|key_gate","safe_key_status","check_presence_without_printing|smoke_no_body","read_env_file|print_secret|commit_key","local_env|api_tool_when_ordered","secret_scan","redacted_status","delete_or_rotate_out_of_repo","secret_materialized","candidate","yes","yes","cabina"
"skill.change-aware-governance-validation","Change-aware governance validation","CI or local gate must prioritize without reducing coverage","A PR needs fast feedback and full assurance","Mandatory coverage would be skipped","manifest|risk_policy|impact_graph","audit_artifact","plan|execute_all_required|verify_equivalence","test_selection_final_gate","local_run_change_aware_full_coverage_orchestrator","change_aware_static_validator","audit_json","fix_manifest_or_graph","coverage_equivalence_false","covered_by_existing","yes","yes","cabina"
"skill.agent-retrospective-learning","Agent retrospective learning","A completed frontier must become reusable learning","A chain of PRs produced repeatable patterns","Live execution is still underway","readbacks|matrices|prs","skills|recipes|validators|prompts","extract_patterns|propose_deltas|validate_no_live","live_execution|secret|unverified_claim","local_validate_skill_recipe_agent_learning","skill_recipe_agent_learning_validator","retrospective_readback","revert_learning_pr","missing_source_or_secret","canonize_now","yes","yes","global_after_review"
"skill.dataverse-workqueue-backreference-mapping","Dataverse Work Queue backreference mapping","Processed Work Queue item needs traceability","Target row mapping is exact or mapping record is safe","Target candidate count is not exactly 1 and target update is requested","queue_item|canonical_id|idempotency_key|target_search","mapping_record|target_update_decision","exact_search|create_metadata_mapping|block_inferred_write","fuzzy_write|target_guess|prod|test|default","pac|dataverse_web_api","backreference_runtime_closure","target_candidate_matrix|postcheck","invalidate_mapping_record","target_ambiguity_or_secret","canonize_now","yes","yes","cabina"
"skill.no-inference-runtime-write-guard","No inference runtime write guard","Runtime write target is uncertain","Any live or metadata write could be inferred from partial evidence","Exact target identity is present and validated","candidate_count|identity_fields|risk_policy","write_decision","block_ambiguous_write|record_stop_condition","fuzzy_write|nearest_row_write","local_validator","backreference_target_mapping_exactness","decision_matrix","no_write_or_mapping_invalidation","candidate_count_not_one","canonize_now","yes","yes","global"
