"artifact_id","artifact_type","agent_id","level_id","purpose","surface","universe","tower","owner_agent","authority_level","lifecycle","status","local_allowed","governed_order_required","allowed_actions","blocked_actions","skill_refs","recipe_refs","tool_refs","plugin_refs","validator_refs","evidence_required","workpaper_path","source_policy","source_refs","last_validated","stop_condition","next_review"
"purpose.rey.control_plane_orchestrator","agent_surface_capability","rey.control_plane_orchestrator","00_ROUTER","Recibir ordenes, clasificar superficie y derivar a canon, registro, corte o torre de universo.","D:\AGENTS.md|D:\MANIFEST.yaml|D:\00_CONTROL_PLANE_INGRESS\ROUTING.json|D:\01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|D:\.agents\codex\routing.json","CABINA_UNIVERSAL","ROOT","rey.control_plane_orchestrator","00_ROUTER","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","local_inventory|local_classification|draft_governed_order","remote_write|live_tenant_action|secret_handling|repo_versioning_without_order","rey-modo-gobernador-capacidades|superpowers:verification-before-completion","recipe.router_intake_classification|recipe.agent_workpaper_operation","tool.local_inventory|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","routing_decision|agent_assignment|draft_order|readback","D:\.agents\codex\workpapers\rey.control_plane_orchestrator","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\MANIFEST.yaml|D:\00_CONTROL_PLANE_INGRESS\ROUTING.json|D:\01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|D:\.agents\codex\routing.json","pending_validator_run_2026-06-01","surface_not_identified|missing_authority|live_write_requested_without_order|regulated_data_boundary_unclear","2026-06-08"
"purpose.rey.frontier_guardian","agent_surface_capability","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","Determinar si una accion es local, versionado, live, regulada, productiva o bloqueada.","D:\02_AUTHORITY_CANON|gates policies orders","CABINA_UNIVERSAL","ROOT","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","frontier_classification|risk_labeling|stop_condition_definition","approving_own_gate|tenant_permission_change|production_change","rey-modo-gobernador-capacidades|superpowers:verification-before-completion","recipe.gate_decision_packet|recipe.agent_workpaper_operation","tool.boundary_check|tool.secret_scan|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","frontier_decision|required_order_text|risk_readback","D:\.agents\codex\workpapers\rey.frontier_guardian","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\02_AUTHORITY_CANON\GATES_INDEX.csv|D:\02_AUTHORITY_CANON\POLICY_INDEX.csv|D:\01_GOVERNANCE_REGISTRY\FRONTIER_MATRIX.csv","pending_validator_run_2026-06-01","gate_missing|rollback_missing|postcheck_missing|identity_unclear","2026-06-08"
"purpose.rey.governance_registrar","agent_surface_capability","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","Mantener inventario de universos, torres, repos, activos, owners y relaciones.","D:\01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","metadata_normalization|registry_draft_update|classification_report","moving_assets|deleting_assets|claiming_unknown_owner_as_confirmed","rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment|superpowers:verification-before-completion","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.agent_workpaper_operation","tool.csv_registry_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","registry_delta|owner_gap|classification_readback","D:\.agents\codex\workpapers\rey.governance_registrar","copy_adapt_required_before_new_content","D:\01_GOVERNANCE_REGISTRY\UNIVERSES.csv|D:\01_GOVERNANCE_REGISTRY\CONTROL_TOWERS.csv|D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\01_GOVERNANCE_REGISTRY\OWNER_MATRIX.csv","pending_validator_run_2026-06-01","asset_without_metadata|owner_conflict|universe_conflict","2026-06-08"
"purpose.rey.authority_canonist","agent_surface_capability","rey.authority_canonist","01_AUTORIDAD_Y_GATES","Cuidar el canon activo, decisiones rectoras, gates y ordenes gobernadas.","D:\02_AUTHORITY_CANON|gates policies orders","CABINA_UNIVERSAL","ROOT","rey.authority_canonist","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","canon_alignment|decision_draft|governed_order_draft","changing_institutional_authority|approving_legal_criterion|removing_history_without_archive","rey-modo-gobernador-capacidades|repo-agent-tool-governance|superpowers:verification-before-completion","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation","tool.canon_index_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","canon_readback|decision_draft|order_text","D:\.agents\codex\workpapers\rey.authority_canonist","copy_adapt_required_before_new_content","D:\02_AUTHORITY_CANON\CURRENT_STATE.md|D:\02_AUTHORITY_CANON\ACTIVE_CANON.csv|D:\02_AUTHORITY_CANON\DECISION_LOG.csv|D:\02_AUTHORITY_CANON\GOVERNED_ORDERS_INDEX.csv","pending_validator_run_2026-06-01","conflicting_canon|missing_decision_owner|legal_or_institutional_authority_needed","2026-06-08"
"purpose.rey.repo_cartographer","agent_surface_capability","rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","Mapear clones, repos vecinos, ramas, remotos y relacion con universos sin modificar Git.","D:\01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","read_only_git_status|remote_inventory|migration_plan_draft","git_add|git_commit|git_push|moving_clone_without_order","github:github|superpowers:verification-before-completion","recipe.registry_enrichment|recipe.agent_workpaper_operation","tool.git_status_readonly|tool.gh_remote_readonly|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|GitHub","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","repo_inventory|repo_hierarchy_map|migration_candidate_list","D:\.agents\codex\workpapers\rey.repo_cartographer","copy_adapt_required_before_new_content","D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\01_GOVERNANCE_REGISTRY\RELATIONSHIP_GRAPH.json|D:\10_UNIVERSOS|D:\80_REFERENCIAS_TECNICAS","pending_validator_run_2026-06-01","dirty_repo_requires_owner_decision|unknown_remote|universe_assignment_unclear","2026-06-08"
"purpose.court.openai_dispatcher","agent_surface_capability","court.openai_dispatcher","03_CORTE_EJECUTORA","Preparar prompts, recetas, evals y activaciones locales para agentes OpenAI, Seshat y SDU.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","ROOT","court.openai_dispatcher","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","prompt_pack_draft|recipe_draft|synthetic_eval_plan","openai_api_live_without_order|remote_agent_persistence|external_vector_store|cost_incurred_without_order","openai-developers:agents-sdk|superpowers:verification-before-completion","recipe.openai_prompt_pack_json_short|recipe.agent_workpaper_operation","tool.synthetic_eval_manifest|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|OpenAI Developers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","prompt_pack|recipe|eval_harness_draft|activation_readback","D:\.agents\codex\workpapers\court.openai_dispatcher","copy_adapt_required_before_new_content","D:\03_CORTE_EJECUTORA_DEL_REY\MANIFEST.yaml|D:\03_CORTE_EJECUTORA_DEL_REY\04_PROMPTS|D:\03_CORTE_EJECUTORA_DEL_REY\05_RECETAS|D:\03_CORTE_EJECUTORA_DEL_REY\07_EVALS","pending_validator_run_2026-06-01","live_api_needed|secret_needed|data_boundary_unclear","2026-06-08"
"purpose.universe.escribania_tower","agent_surface_capability","universe.escribania_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Escribania, incluyendo TGE, cumplimiento, evidencia y SharePoint aprobado cuando exista orden.","D:\10_UNIVERSOS\ESCRIBANIA|TGE tenant surfaces governed","ESCRIBANIA","TGE","universe.escribania_tower","04_TORRES_DE_UNIVERSO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","local_escribania_inventory|tge_alignment_draft|sharepoint_order_draft","sharepoint_write_without_order|tenant_write_without_order|regulated_data_broad_read|legal_criterion_finalization","sharepoint:sharepoint-site-discovery|superpowers:verification-before-completion","recipe.universe_tower_handoff|recipe.agent_workpaper_operation","tool.surface_order_builder|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|SharePoint","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","escribania_readback|tge_plan|governed_surface_order","D:\.agents\codex\workpapers\universe.escribania_tower","copy_adapt_required_before_new_content","D:\10_UNIVERSOS\ESCRIBANIA\MANIFEST.yaml|D:\10_UNIVERSOS\ESCRIBANIA\ROUTING.md|D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\02_AUTHORITY_CANON\CURRENT_STATE.md","pending_validator_run_2026-06-01","regulated_boundary_unclear|tenant_identity_missing|institutional_decision_needed","2026-06-08"
"purpose.universe.modo_on_tower","agent_surface_capability","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","Gobernar el universo Modo ON y ubicar CDF, Jara y activos proveedores bajo control trazable.","D:\10_UNIVERSOS\MODO_ON|CDF Jara provider surfaces governed","MODO_ON","CDF_JARA","universe.modo_on_tower","04_TORRES_DE_UNIVERSO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","local_modo_on_inventory|cdf_jara_classification|provider_boundary_draft","using_modo_on_as_escribania_runtime_without_order|tenant_write_without_order|provider_control_without_trace","rey-modo-normalizador-sistema-modo-on|superpowers:verification-before-completion","recipe.universe_tower_handoff|recipe.agent_workpaper_operation","tool.provider_boundary_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|SharePoint","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","modo_on_readback|provider_boundary_map|cdf_jara_assignment","D:\.agents\codex\workpapers\universe.modo_on_tower","copy_adapt_required_before_new_content","D:\10_UNIVERSOS\MODO_ON\MANIFEST.yaml|D:\10_UNIVERSOS\MODO_ON\ROUTING.md|D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\01_GOVERNANCE_REGISTRY\OWNER_MATRIX.csv","pending_validator_run_2026-06-01","provider_boundary_unclear|owner_conflict|surface_crosses_universe_without_order","2026-06-08"
"purpose.court.seshat_evidence","agent_surface_capability","court.seshat_evidence","03_CORTE_EJECUTORA","Registrar evidencia, readbacks, actas y trazabilidad de decisiones sin sustituir autoridad humana.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","SDU_SESHAT","court.seshat_evidence","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","evidence_indexing|readback_draft|acta_draft","fabricating_evidence|writing_external_records_without_order|storing_secrets","rey-modo-evidencia-riesgo-handoff|governed-readback-closeout|superpowers:verification-before-completion","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation","tool.readback_builder|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|SharePoint","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","evidence_readback|acta|trace_index","D:\.agents\codex\workpapers\court.seshat_evidence","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\02_AUTHORITY_CANON\CURRENT_STATE.md|D:\02_AUTHORITY_CANON\DECISION_LOG.csv|D:\.agents\codex\readbacks","pending_validator_run_2026-06-01","evidence_source_missing|authority_conflict|regulated_data_exposure_risk","2026-06-08"
"purpose.court.sdu_gate","agent_surface_capability","court.sdu_gate","01_AUTORIDAD_Y_GATES","Aplicar criterio SDU sobre gates, stop conditions, escalamiento y coherencia de ordenes.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","SDU_SESHAT","court.sdu_gate","01_AUTORIDAD_Y_GATES","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","microsoft_live_or_tenant_action","gate_review|stop_condition_review|escalation_draft","self_approving_gate|live_execution|legal_final_decision","tcu-harness-evals-agentes|superpowers:verification-before-completion","recipe.gate_decision_packet|recipe.agent_workpaper_operation","tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|SharePoint","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","gate_decision_draft|escalation_path|stop_condition","D:\.agents\codex\workpapers\court.sdu_gate","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\02_AUTHORITY_CANON\GATES_INDEX.csv|D:\02_AUTHORITY_CANON\ACTIVE_CANON.csv|D:\01_GOVERNANCE_REGISTRY\FRONTIER_MATRIX.csv","pending_validator_run_2026-06-01","missing_governed_order|rollback_missing|postcheck_missing|human_authority_needed","2026-06-08"
"purpose.court.thot_schema","agent_surface_capability","court.thot_schema","03_CORTE_EJECUTORA","Traducir narrativa, canon y ordenes a campos, schemas, matrices, tools y eventos verificables.","D:\03_CORTE_EJECUTORA_DEL_REY|SDU Seshat Corte surfaces","CORTE_EJECUTORA","ROOT","court.thot_schema","03_CORTE_EJECUTORA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","schema_draft|matrix_contract_draft|validator_spec_draft","tool_live_execution_without_order|schema_overwriting_without_readback|secret_materialization","tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion","recipe.schema_tool_contract|recipe.matrix_recipe_skill_sync|recipe.agent_workpaper_operation","tool.local_validate_agent_levels|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","schema|field_map|validator_contract","D:\.agents\codex\workpapers\court.thot_schema","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\01_GOVERNANCE_REGISTRY|D:\02_AUTHORITY_CANON|D:\03_CORTE_EJECUTORA_DEL_REY\06_TOOLS","pending_validator_run_2026-06-01","source_canon_conflict|field_semantics_unclear|live_tool_required","2026-06-08"
"purpose.rey.migration_planner","agent_surface_capability","rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","Preparar migracion local de clones, herramientas y activos al disco D sin mover nada hasta orden gobernada.","D:\01_GOVERNANCE_REGISTRY|repo local remote metadata","CABINA_UNIVERSAL","ROOT","rey.migration_planner","02_REGISTRO_Y_CARTOGRAFIA","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","migration_plan_draft|rollback_plan_draft|preflight_checklist","moving_files|deleting_files|changing_repo_remotes|updating_ide_paths_without_order","tcu-planificador-con-archivos|superpowers:verification-before-completion","recipe.migration_preflight|recipe.agent_workpaper_operation","tool.path_conflict_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","migration_plan|preflight|rollback|postcheck","D:\.agents\codex\workpapers\rey.migration_planner","copy_adapt_required_before_new_content","D:\01_GOVERNANCE_REGISTRY\MIGRATION_MAP_D.csv|D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\10_UNIVERSOS|D:\80_REFERENCIAS_TECNICAS","pending_validator_run_2026-06-01","dirty_worktree|unknown_owner|target_path_conflict|rollback_missing","2026-06-08"
"purpose.tech.reference_librarian","agent_surface_capability","tech.reference_librarian","05_SOPORTE_TECNICO","Separar referencias tecnicas Microsoft, OpenAI, devcontainers y tooling de canon rector vivo.","D:\.agents\codex|D:\80_REFERENCIAS_TECNICAS","CABINA_UNIVERSAL","ROOT","tech.reference_librarian","05_SOPORTE_TECNICO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","reference_classification|source_summary|technical_gap_report","treating_reference_as_canon|vendor_live_execution_without_order|license_change","rey-modo-gobernador-capacidades|superpowers:verification-before-completion","recipe.workspace_reference_audit|recipe.agent_workpaper_operation","tool.reference_classifier|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","reference_index|technical_summary|canon_boundary_note","D:\.agents\codex\workpapers\tech.reference_librarian","copy_adapt_required_before_new_content","D:\80_REFERENCIAS_TECNICAS|D:\01_GOVERNANCE_REGISTRY\REPOSITORIES.csv|D:\02_AUTHORITY_CANON\ACTIVE_CANON.csv","pending_validator_run_2026-06-01","source_uncertain|license_unclear|current_vendor_state_required","2026-06-08"
"purpose.codex.workspace_guardian","agent_surface_capability","codex.workspace_guardian","05_SOPORTE_TECNICO","Auditar configuracion local de Codex, AGENTS.md, rutas y workspaces sin tocar secretos ni ajustes live sin orden.","D:\.agents\codex|D:\80_REFERENCIAS_TECNICAS","CABINA_UNIVERSAL","ROOT","codex.workspace_guardian","05_SOPORTE_TECNICO","02_ACTIVE","LOCAL_GOVERNED_WORKPAPERS_ACTIVE","yes","remote_write_or_production","workspace_read_only_audit|routing_drift_report|codex_project_opening_checklist","editing_codex_global_config_without_order|reading_secret_files|changing_default_workspace|deleting_worktrees","rey-modo-auditor-vscode-insiders|superpowers:verification-before-completion","recipe.workspace_reference_audit|recipe.agent_workpaper_operation","tool.codex_workspace_audit|tool.workpaper_index_check|tool.local_validate_agent_workpapers","Superpowers|Operativa Guardian","tool.local_validate_agent_workpapers|tool.local_validate_agent_layer","workspace_readback|routing_drift_report|opening_checklist","D:\.agents\codex\workpapers\codex.workspace_guardian","copy_adapt_required_before_new_content","D:\AGENTS.md|D:\.agents\codex|D:\MANIFEST.yaml|D:\MAPA_HUMANO.md","pending_validator_run_2026-06-01","secret_boundary_risk|global_config_change_needed|worktree_owner_unclear","2026-06-08"
