"execution_order","list_batch_order","list_name","priority_band","row_span","active_front","status","source_backlog_order","source_backlog_id","mapped_file","mapping_kind","next_action","notes"
"1","1","WB_Decisiones","P0","1-7","MW/SDU","active","1","SD-BL-001","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GOVERNANCE_PACKAGE.md","closest_readback","review_current_decisions","Decisiones MW/SDU actuales; la evidencia exacta vive en el paquete de gobernanza y su tree readback"
"2","1","WB_Decisiones","P0","8-9","MW cabina","active","2","SD-BL-002","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","anchor_cabina_visible","Cabina operativa visible y confirmacion de configuracion del sitio"
"3","1","WB_Decisiones","P0","10-12","SDU gate","active","3","SD-BL-003","readbacks/sharepoint/ACTA_TGE_SDU_CN_AGENT_ACTIVATION_20260531.md","acta","keep_sdu_gate_governed","Gate SDU, protocolo de mando y cierre soberano SDU"
"4","2","SYS_EstadoOperativo","P1","1-7","MW","active","4","SD-BL-004","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIB_GOBIERNO_SISTEMAS_TREE.md","closest_readback","maintain_operational_state_map","Estado operativo MW actual; el tree del paquete identifica los bundles activos"
"5","2","SYS_EstadoOperativo","P1","8-12","site/base","active","5","SD-BL-005","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","maintain_site_base_alignment","Cabina visible, evidencias y elementos base del sitio"
"6","3","WB_Riesgos","P2","1-2","MW Power Platform","active","6","SD-BL-006","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_WB_RIESGOS_CONTROLADO.md","acta","track_controlled_power_platform_risks","Items 13 y 14 quedaron en Controlado; readback exacto disponible"
"7","3","WB_Riesgos","P2","3-15","MW live risks","active","7","SD-BL-007","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","closest_readback","monitor_live_risks_and_drift","Riesgos MW/SDU actuales sin acta 1:1 en este subárbol; usar working paper como referencia viva actual"
"8","3","WB_Riesgos","P2","16","SDU drift","active","8","SD-BL-008","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GAP_MAP.md","closest_readback","monitor_canon_vs_live_drift","Drift entre canon y nombres vivos; gap map y list live confirmation son el mejor ancla"
"9","4","WB_AprendizajesOperativos","P3","1-5","SDU operativo","active","9","SD-BL-009","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIST_DATAVERSE_BRIDGE.md","closest_readback","preserve_operating_rules","Reglas operativas del frente SDU; el bridge deja el rol exacto de la lista"
"10","4","WB_AprendizajesOperativos","P3","6","SDU cierre","active","10","SD-BL-010","readbacks/sharepoint/ACTA_TGE_SDU_CN_COPILOT_SESHAT_NORMATIVA_EN_US_DRAFT_TEXT_ENRICHMENT_20260531.md","acta","keep_soberanous_closeout_rule","Cierre soberano y requerimiento de login interactivo visible"
"11","5","WB_CapacidadesOperativas","P4","none current MW/SDU rows","n/a","deferred","11","SD-BL-011","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","summary","defer_until_current_rows_exist","No current MW/SDU rows matched in this pass; no active row-to-file map to maintain here"
