"Id","Title","Backlog_ID","SD_Codigo","Estado","EjeEstrategico","Iniciativa","SD_Dominio","SD_Macroproceso","ResultadoEsperado","EvidenciaDocumentoBase","Dependencias","CadenciaFecha"
"1","01 P0 WB_Decisiones 1-7","SD-BL-001","01","active","WB_Decisiones","MW/SDU","P0","1-7","Decisiones MW/SDU actuales; la evidencia exacta vive en el paquete de gobernanza y su tree readback","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GOVERNANCE_PACKAGE.md",,
"2","02 P0 WB_Decisiones 8-9","SD-BL-002","02","active","WB_Decisiones","MW cabina","P0","8-9","Cabina operativa visible y confirmacion de configuracion del sitio","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md",,
"3","03 P0 WB_Decisiones 10-12","SD-BL-003","03","active","WB_Decisiones","SDU gate","P0","10-12","Gate SDU, protocolo de mando y cierre soberano SDU","readbacks/sharepoint/ACTA_TGE_SDU_CN_AGENT_ACTIVATION_20260531.md",,
"4","04 P1 SYS_EstadoOperativo 1-7","SD-BL-004","04","active","SYS_EstadoOperativo","MW","P1","1-7","Estado operativo MW actual; el tree del paquete identifica los bundles activos","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIB_GOBIERNO_SISTEMAS_TREE.md",,
"5","05 P1 SYS_EstadoOperativo 8-12","SD-BL-005","05","active","SYS_EstadoOperativo","site/base","P1","8-12","Cabina visible, evidencias y elementos base del sitio","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md",,
"6","06 P2 WB_Riesgos 1-2","SD-BL-006","06","active","WB_Riesgos","MW Power Platform","P2","1-2","Items 13 y 14 quedaron en Controlado; readback exacto disponible","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_WB_RIESGOS_CONTROLADO.md",,
"7","07 P2 WB_Riesgos 3-15","SD-BL-007","07","active","WB_Riesgos","MW live risks","P2","3-15","Riesgos MW/SDU actuales sin acta 1:1 en este subárbol; usar working paper como referencia viva actual","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md",,
"8","08 P2 WB_Riesgos 16","SD-BL-008","08","active","WB_Riesgos","SDU drift","P2","16","Drift entre canon y nombres vivos; gap map y list live confirmation son el mejor ancla","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GAP_MAP.md",,
"9","09 P3 WB_AprendizajesOperativos 1-5","SD-BL-009","09","active","WB_AprendizajesOperativos","SDU operativo","P3","1-5","Reglas operativas del frente SDU; el bridge deja el rol exacto de la lista","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIST_DATAVERSE_BRIDGE.md",,
"10","10 P3 WB_AprendizajesOperativos 6","SD-BL-010","10","active","WB_AprendizajesOperativos","SDU cierre","P3","6","Cierre soberano y requerimiento de login interactivo visible","readbacks/sharepoint/ACTA_TGE_SDU_CN_COPILOT_SESHAT_NORMATIVA_EN_US_DRAFT_TEXT_ENRICHMENT_20260531.md",,
"11","11 P4 WB_CapacidadesOperativas none current MW/SDU rows","SD-BL-011","11","deferred","WB_CapacidadesOperativas","n/a","P4","none current MW/SDU rows","No current MW/SDU rows matched in this pass; no active row-to-file map to maintain here","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md",,
