source_repo,universe_id,source_path,target_path,asset_type,copy_status,live_boundary,notes
ORGANIZACION,ROOT_CONTROL_PLANE,05_AGENTES/D_DRIVE_CODEX_AGENT_LAYER,.agents/codex,agent_layer_mirror,VERIFIED_IDENTICAL,local_only,"root repo uses source as baseline but organizacion stays separate"
ORGANIZACION,ROOT_CONTROL_PLANE,registry/agents.yml,.agents/codex/agents/SOURCE_ORGANIZACION_registry.agents.yml,agent_registry,COPIED,local_only,"root control plane registry reference"
TCU_AGENTIC_RUNTIME,COURT,03_AGENTS/AGENT_CONTRACTS.md,.agents/codex/agents/SOURCE_TCU_RUNTIME_AGENT_CONTRACTS.md,agent_contracts,ALREADY_PRESENT,local_only,"safe harness and eval contracts"
TGE_AGENTIC_RUNTIME,ESCRIBANIA,03_AGENTS/AGENT_CONTRACTS.md,.agents/codex/agents/SOURCE_TGE_RUNTIME_AGENT_CONTRACTS.md,agent_contracts,COPIED,governed_before_live,"Escribania runtime boundary contracts"
SESHAT_BOOTSTRAP,COURT,matrices/sdu_cn/SDU_CN_AGENT_REGISTRY.csv,.agents/codex/agents/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_AGENT_REGISTRY.csv,agent_registry,COPIED,governed_before_live,"current SDU-CN court agent registry"
TORRE_GEMELA_ESCRIBANIA,ESCRIBANIA,00_CONTEXT/SDU_CN_AGENT_REGISTRY.csv,.agents/codex/agents/SOURCE_TGE_SDU_CN_AGENT_REGISTRY.csv,agent_registry,COPIED,governed_before_live,"TGE contextual registry for drift and alignment"
SESHAT_BOOTSTRAP,COURT,matrices/sdu_cn/SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,.agents/codex/matrices/SOURCE_SESHAT_BOOTSTRAP_SDU_CN_CONSOLE_TOOLING_CAPABILITY_MATRIX_20260527.csv,tooling_matrix,COPIED,local_only,"console tooling capability map"
TORRE_GEMELA_ESCRIBANIA,ESCRIBANIA,00_CONTEXT/TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,.agents/codex/matrices/SOURCE_TGE_SDU_CN_SHAREPOINT_GITHUB_CAPABILITY_MATRIX_20260527.csv,capability_matrix,COPIED,governed_before_live,"SharePoint and GitHub capability gates for TGE"
CDF_SOLUCIONES,MODO_ON,04_AGENTS_SDK/AGENT_TEAMS.md,.agents/codex/agents/SOURCE_CDF_AGENT_TEAMS.md,agent_team_contract,COPIED,local_only,"provider team design and local dry-run boundary"
CDF_SOLUCIONES,MODO_ON,03_OPERACION/AGENT_VERSIONING/CDF_AGENT_VERSION_REGISTRY.csv,.agents/codex/agents/SOURCE_CDF_AGENT_VERSION_REGISTRY.csv,agent_registry,COPIED,local_only,"provider agent version coverage"
CDF_SOLUCIONES,MODO_ON,03_OPERACION/AGENT_VERSIONING/CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_AGENT_SKILL_RECIPE_TOOL_PLUGIN_MATRIX.csv,skill_recipe_tool_plugin_matrix,COPIED,local_only,"provider capability mapping"
CDF_SOLUCIONES,MODO_ON,03_OPERACION/AGENT_RUNTIME_CAPABILITY_ALIGNMENT/CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_AGENT_RUNTIME_RECIPES_SKILLS_ALIGNMENT_MATRIX.csv,runtime_alignment_matrix,COPIED,local_only,"dry-run runtime alignment"
CDF_SOLUCIONES,MODO_ON,03_OPERACION/SHAREPOINT_SPECIALIZATION/CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,.agents/codex/matrices/SOURCE_CDF_SHAREPOINT_PLUGIN_SKILL_ADOPTION_MATRIX.csv,sharepoint_skill_matrix,COPIED,governed_before_live,"SharePoint specialist plugin mapping"
