"lane","objetivo","agentes","superficie","estado","observacion"
"lane.standard_agent_chain","rutar toda orden por cadena estandar","rey.control_plane_orchestrator|court.openai_dispatcher|sdu-triage-agent|court.sdu_gate|court.seshat_evidence","repo|github|openai governed|codex cloud governed","OK","STANDARD_AGENT_CHAIN_ACTIVE"
"lane.repo_governance_assignment","asignar owner por repo/superficie","rey.repo_cartographer|rey.governance_registrar|court.seshat_evidence","13 repos registrados","OK","REPO_GOVERNANCE_ASSIGNMENT_MATRIX y registry cruzados"
"lane.parallel_readonly_scouts","exploracion paralela sin writes","rey.control_plane_orchestrator|explorer_agents|court.seshat_evidence",".agents/codex|01_GOVERNANCE_REGISTRY","OK","max_parallel=3; read_only"
"lane.parallel_disjoint_workers","trabajo paralelo por file set declarado","rey.control_plane_orchestrator|rey.frontier_guardian|court.thot_schema",".agents/codex/matrices|.github","OK","requiere locks/file owners/rollback"
"lane.github_pr_lifecycle","branch codex, commit, push, PR, checks, merge gateado","rey.repo_cartographer|court.seshat_evidence","GitHub repo-scoped","OK","merge main requiere gate, HEAD fijo, checks verdes"
"lane.change_aware_full_coverage","validacion productiva por riesgo sin reducir cobertura","court.thot_schema|court.seshat_evidence","GitHub Actions|local validators","OK","orquestador change-aware full coverage"
"lane.codex_cloud_governed","smoke/read-only/CI mock en repos seleccionados","court.openai_dispatcher|rey.frontier_guardian|court.seshat_evidence","Codex Cloud","OK","codex cloud apply bloqueado sin review/gate"
"lane.openai_agents_sdk","runtime SDU triage con OpenAI/Responses/Agents SDK","court.openai_dispatcher|sdu-triage-agent|court.sdu_gate","OpenAI live governed","OK","costos/secrets/tools externas requieren GATE_OPENAI_LIVE/GATE_AGENTS_SDK_LIVE"
"lane.microsoft_next","Teams/SharePoint/Planner/Graph seleccionados","rey.frontier_guardian|court.sdu_gate|court.seshat_evidence","Microsoft live write/read","OK","issue-scoped; writes requieren objeto exacto"
"lane.production_tenant_activation","primera alta gobernada de agente en tenant institucional","seshat-normativa|maat-cumplimiento|horus-riesgo|agente-sharepoint|agente-power-platform","SharePoint|Power Platform|Dataverse","SIN_GOBIERNO","hay preflight y payload draft, pero write queda PENDING_TARGET_ONLY por falta de target exacto/rollback/postcheck"
"lane.power_platform_desktop_local","smoke local y dry-run sin conectores","maat-cumplimiento|sdu-triage-agent|court.sdu_gate","Power Automate Desktop|pac local","OK","permitido local/dry-run; publish/import/applies gateados"
"lane.sharepoint_memory","usar SharePoint como memoria viva con evidencia saneada","seshat-normativa|cdf.sharepoint_information_architect|court.seshat_evidence","SharePoint read/write gated","OK","read-only permitido con limite; write requiere target/owner/rollback/postcheck"
"lane.vsi_aac_mother_board","operar tablero principal VSI/Agile Agent Canvas","codex.workspace_guardian|court.seshat_evidence|court.thot_schema|rey.repo_cartographer","VS Code Insiders Agile Agent Canvas","OK","S-6.1 drafted/revisada; S-6.2..S-6.5 ejecutadas localmente segun readbacks"
"lane.aac_native_team","aprovechar agentes nativos AAC dentro del tablero","master|canvas-integrator|analyst|architect|dev|qa|pm|sm|agent-builder","AAC extension native","OK","disponibles pero no invocables directamente desde Codex; trabajan subordinados al gobierno Cabina"
"lane.cabina_governance_for_vsi","gobernar trabajo del tablero con agentes Cabina","rey.control_plane_orchestrator|codex.workspace_guardian|court.seshat_evidence|court.thot_schema|rey.repo_cartographer|court.sdu_gate|rey.frontier_guardian","repo-local board governance","OK","separa AAC_NATIVE_AGENTS de CABINA_GOVERNANCE_AGENTS"
"lane.remote_branch_closeout","cerrar ramas remotas reconciliadas","thot-tecnico|seshat-normativa|maat-cumplimiento|cdf.evidence_validator","GitHub remote branch mutation","OK","ejecutado previamente; 11 deletes PASS, rollback matrix disponible"
"lane.related_repo_native_work","trabajo en repos relacionados sin absorcion root","repo-native AGENTS.md owners|SDU-CN counterparts","TGE|Seshat|CDF|runtime repos","INCONSISTENTE","algunos repos relacionados tienen dirty/draft propio; requiere carril repo-nativo antes de cualquier stage"
"lane.workpaper_evidence","evidencia local audit-ready para decisiones","court.seshat_evidence|cdf.evidence_validator",".agents/codex/workpapers","OK","este paquete se emite sin stage/commit"
