"agent_id","level_id","purpose_short","default_skill_refs","default_recipe_refs","default_tool_refs","default_plugin_refs","runtime_alignment_mode","selection_rule","blocked_without_order","validator","stop_condition"
"rey.control_plane_orchestrator","00_ROUTER","entrada clasificacion derivacion","rey-modo-gobernador-capacidades|tcu-descubridor-capacidades|tcu-redactor-planes-operativos|tcu-desarrollo-con-subagentes|tcu-planificador-con-archivos|superpowers:dispatching-parallel-agents|superpowers:subagent-driven-development|superpowers:writing-plans|superpowers:verification-before-completion|parallel-order-governance","recipe.router_intake_classification|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.local_inventory|tool.repo_alignment_runtime|tool.routing_readback|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","local_only","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"rey.frontier_guardian","01_AUTORIDAD_Y_GATES","fronteras gates stop conditions","rey-modo-gobernador-capacidades|tcu-redactor-planes-operativos|superpowers:writing-plans|repo-agent-tool-governance|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.boundary_check|tool.secret_scan|tool.stop_condition_check|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","local_only","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"rey.governance_registrar","02_REGISTRO_Y_CARTOGRAFIA","registro universos repos owners","rey-modo-gobernador-capacidades|d-drive-agent-layer-enrichment|matrix-recipe-skill-sync|cabina-naming-analyzer|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.d_drive_agent_layer_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.csv_registry_check|tool.repo_alignment_runtime|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","local_only","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"rey.authority_canonist","01_AUTORIDAD_Y_GATES","canon decisiones autoridad","rey-modo-gobernador-capacidades|repo-agent-tool-governance|governed-readback-closeout|cabina-agent-md-refactor|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.repo_agent_tool_governance|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.canon_index_check|tool.stop_condition_check|tool.local_validate_agent_layer|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers","local_only","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"rey.repo_cartographer","02_REGISTRO_Y_CARTOGRAFIA","repos remotos ramas inventario","github:github|github:yeet|repo-agent-tool-governance|cabina-commit-work|cabina-github-actions-templates|superpowers:using-git-worktrees|superpowers:verification-before-completion|parallel-order-governance","recipe.registry_enrichment|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.git_status_readonly|tool.gh_remote_readonly|tool.github_versioning_flow|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub","github_read_write_governed","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"court.openai_dispatcher","03_CORTE_EJECUTORA","prompts agents sdk evals locales","openai-developers:agents-sdk|skill-creator|mcp-builder|superpowers:writing-skills|tcu-harness-evals-agentes|matrix-recipe-skill-sync|superpowers:verification-before-completion|parallel-order-governance","recipe.openai_prompt_pack_json_short|recipe.repo_universe_alignment_runtime|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.synthetic_eval_manifest|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|OpenAI Developers","local_only_until_order","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"universe.escribania_tower","04_TORRES_DE_UNIVERSO","universo escribania tge cumplimiento","sharepoint:sharepoint-site-discovery|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","local_only_until_order","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"universe.modo_on_tower","04_TORRES_DE_UNIVERSO","universo modo on cdf jara","tcu-normalizador-sistema-modo-on|sharepoint:sharepoint|rey-modo-gobernador-capacidades|governed-readback-closeout|superpowers:verification-before-completion|parallel-order-governance","recipe.universe_tower_handoff|recipe.agent_surface_capability_assignment|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.provider_boundary_check|tool.surface_order_builder|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint|GitHub","local_only_until_order","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"court.seshat_evidence","03_CORTE_EJECUTORA","evidencia readbacks actas","rey-modo-evidencia-riesgo-handoff|tcu-planificador-con-archivos|governed-readback-closeout|github:yeet|cabina-session-handoff|cabina-commit-work|superpowers:verification-before-completion|parallel-order-governance","recipe.evidence_acta_closeout|recipe.governed_readback_closeout|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.readback_builder|tool.github_versioning_flow|tool.local_validate_agent_layer|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|GitHub|SharePoint","local_only_until_order","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
"court.sdu_gate","01_AUTORIDAD_Y_GATES","sdu gates coherencia escalamiento","tcu-harness-evals-agentes|sdu-ejecutor-gates|repo-agent-tool-governance|superpowers:verification-before-completion|parallel-order-governance","recipe.gate_decision_packet|recipe.sharepoint_complete_read_order|recipe.agent_workpaper_operation|recipe.parallel_agent_operation|recipe.governed_order_preparation|recipe.openai_local_agent_design","tool.stop_condition_check|tool.boundary_check|tool.repo_alignment_runtime|tool.workpaper_index_check|tool.local_validate_agent_workpapers|tool.parallel_dispatch_policy_check|tool.governed_order_packet_builder","Superpowers|SharePoint","local_only_until_order","defaults_by_agent_purpose","openai_api_live|microsoft_live|production|permissions|secrets|force_push|merge","D:/.agents/codex/tools/local_validate_operational_chain.ps1","operational_chain_missing"
