"skill_id","decision","reason","artifact","index_update","next_gate"
"skill.dataverse-metadata-only-provisioning","CANONIZE_NOW","No duplicate repo-local skill and repeated DEV metadata-only pattern","D:/.agents/skills/dataverse-metadata-only-provisioning/SKILL.md","SKILL_USAGE_MATRIX|SKILL_METADATA_QUALITY_MATRIX","review PR"
"skill.connection-registry-dedup","DEFER","Covered by matrices and connection validators but no dedicated skill yet","NO_APLICA","candidate matrix only","reconcile with connection owner"
"skill.powerautomate-workqueue-binding","DEFER","Needs separate Power Automate operator skill before canonization","NO_APLICA","candidate matrix only","review flow/operator boundary"
"skill.openai-metadata-only-classification","DEFER","Requires OpenAI live/cost gate wording review","NO_APLICA","candidate matrix only","review with frontier guardian"
"skill.github-grouped-versioning","COVERED_BY_EXISTING","Covered by cabina-commit-work","D:/.agents/skills/cabina-commit-work/SKILL.md","none","none"
"skill.postmerge-evidence-canonization","DEFER","Closeout pattern exists but postmerge specialization should stay candidate","NO_APLICA","candidate matrix only","review after PR"
"skill.dev-runtime-controlled-activation","DEFER","Live action skill needs stricter owner approval","NO_APLICA","candidate matrix only","separate runtime order"
"skill.secret-safe-api-key-handling","DEFER","Secret handling needs dedicated policy review","NO_APLICA","candidate matrix only","security review"
"skill.change-aware-governance-validation","COVERED_BY_EXISTING","Gate and validator already exist","D:/.agents/codex/tools/local_run_change_aware_full_coverage_orchestrator.ps1","none","none"
"skill.agent-retrospective-learning","CANONIZE_NOW","This PR is a local no-live retrospective lane","D:/.agents/skills/agent-retrospective-learning/SKILL.md","SKILL_USAGE_MATRIX|SKILL_METADATA_QUALITY_MATRIX","review PR"
"skill.dataverse-workqueue-backreference-mapping","CANONIZE_NOW","PR #68 established reusable exact-mapping behavior","D:/.agents/skills/dataverse-workqueue-backreference-mapping/SKILL.md","SKILL_USAGE_MATRIX|SKILL_METADATA_QUALITY_MATRIX","review PR"
"skill.no-inference-runtime-write-guard","CANONIZE_NOW","Core safety invariant applies globally and is local-only","D:/.agents/skills/no-inference-runtime-write-guard/SKILL.md","SKILL_USAGE_MATRIX|SKILL_METADATA_QUALITY_MATRIX","review PR"
