domain,surface,status,execution_allowed,required_gate,required_target,required_owner,required_rollback,required_postcheck,required_evidence,secrets_policy,current_execution_state,next_gate
OpenAI,OpenAI API,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_api_operation_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_smoke_or_readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_exact_openai_operation
OpenAI,Responses API,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_response_operation_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_smoke_or_readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_exact_responses_operation
OpenAI,Agents SDK Runtime,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_runtime_task_required,owner_agent_required,rollback_or_stop_required,postcheck_required,sanitized_runner_evidence_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_exact_agents_sdk_task
Codex,Codex Cloud,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_repo_branch_task_required,owner_agent_required,rollback_or_no_apply_required,postcheck_diff_required,codex_task_readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_exact_codex_cloud_repo_task
GitHub,GitHub,ACTIVE_LIVE,yes_for_current_repo_scoped_intent,github_pr_lifecycle_governed,exact_repo_branch_pr_required,owner_agent_required,revert_commit_or_close_pr_required,checks_or_postcheck_required,pr_readback_required,never_print_never_persist,EXECUTED_FOR_THIS_CANON_PR_ONLY,next_pr_checks
Microsoft,Microsoft Graph,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_tenant_object_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_graph_object_order
Microsoft,SharePoint,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_site_list_item_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_sharepoint_object_order
Microsoft,Teams,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_team_channel_message_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_teams_object_order
Microsoft,Planner,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_plan_bucket_task_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_planner_object_order
Microsoft,Power Platform,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,current_authority_exact_live_binding,exact_environment_solution_flow_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_power_platform_object_order
Production,Production,ACTIVE_BY_EXACT_BINDING,yes_when_current_authority_and_exact_binding,exact_production_authority,exact_production_target_required,owner_agent_required,rollback_required,postcheck_required,readback_required,never_print_never_persist,LIVE_AVAILABLE_NOT_INVOKED_IN_THIS_CHANGE,next_production_target_order
Propagation,Multi-repo propagation,ACTIVE_BY_EXACT_BINDING,yes_repo_by_repo_when_current_authority_and_exact_binding,current_authority_repo_scoped_binding,exact_repo_branch_file_scope_required,owner_agent_required,rollback_required,postcheck_required,repo_pr_readback_required,never_print_never_persist,PROPAGATION_ACTIVE_BY_EXACT_BINDING_NOT_EXECUTED,next_exact_repo_propagation_target
