allow_id,path_regex,context_regex,classification,justification,blocked_use,status
allowlist_self_reference,"^\.agents/codex/matrices/C_ROOT_LEGACY_D_REFERENCE_ALLOWLIST_20260605\.csv$","D:|D:\\","ALLOWLIST_SELF","The allowlist itself must describe D legacy reference patterns so the validator can classify them.","operational_root_dependency","ACTIVE_ALLOWED"
legacy_root_boundary_docs,"^(AGENTS\.md|REPO_SCOPE\.md|\.agents/codex/maps/AGENTS_INSTRUCTION_HIERARCHY\.md|80_REFERENCIAS_TECNICAS/README\.md|00_CONTEXT/CABINA_REPO_ROOT_CANONICAL_CONFIG_20260605\.md|08_READBACKS/GATE_CABINA_REPO_ROOT_MIGRATION_READBACK\.md)$","D:|D:\\|legacy|read-only|core\.worktree","LEGACY_BOUNDARY","D root is retained only as governed legacy/read-only surface evidence after C root reconciliation.","operational_root_dependency","ACTIVE_ALLOWED"
historical_readbacks,"^(08_READBACKS|readbacks|\.agents/codex/readbacks)/.*","D:|D:\\","HISTORICAL_EVIDENCE","Historical readbacks preserve prior command and validator evidence without authorizing D root execution.","operational_root_dependency","ACTIVE_ALLOWED"
historical_orders,"^\.agents/codex/orders/.*","D:|D:\\","HISTORICAL_GATE_PACKET","Historical order packets may cite the former D root as evidence or gate context only.","operational_root_dependency","ACTIVE_ALLOWED"
workpaper_evidence,"^C:\\Users\\enzo1\\.codex\\workpapers\\.*","D:|D:\\","WORKPAPER_HISTORY","Generated workpapers may preserve prior root evidence while new operations resolve to C root.","operational_root_dependency","ACTIVE_ALLOWED"
current_state_history,"^02_AUTHORITY_CANON/CURRENT_STATE\.md$","D:|D:\\","CANONICAL_HISTORY","Current state includes historical milestones and legacy/gated surface references.","operational_root_dependency","ACTIVE_ALLOWED"
legacy_matrix_history,"^\.agents/codex/matrices/(CABINA_CURRENT_STATE_REVIEW_20260603|CANON_PATCH_EXTENDED_RECONCILIATION_20260603|CANONICAL_STATE_SUPERSESSION_20260603|CAPABILITY_IMPORT_DECISION_MATRIX|CODEX_CLOUD_LIVE_LANE_FINALIZATION_20260602|CAPABILITY_GRAPH_CANON_20260603)\.csv$","D:|D:\\","HISTORICAL_MATRIX_EVIDENCE","Historical matrices preserve prior branch evidence, secret-local markers, and superseded D root states.","operational_root_dependency","ACTIVE_ALLOWED"
validator_legacy_path_normalizer,"^\.agents/codex/tools/.*\.ps1$","Substring\(""D:\\|StartsWith\(""D:\\|Contains\(""D:|sin convertir|no inicializar","LEGACY_PATH_COMPATIBILITY","Validators may translate legacy D-scoped tokens into repo-root paths or detect obsolete D rules; default execution root must not be D.","default_repo_root_d","ACTIVE_ALLOWED"
legacy_inventory_records,"^01_GOVERNANCE_REGISTRY/.*","D:|D:\\","LEGACY_INVENTORY","Registry records may retain legacy source labels and migration inventory evidence.","operational_root_dependency","ACTIVE_ALLOWED"
legacy_package_references,"^(docs|validation|matrices|dataverse|governance|retrospectives|scripts)/.*","D:|D:\\","HISTORICAL_PACKAGE_REFERENCE","Operational packages and reports may preserve historical paths as evidence when not used as active execution roots.","operational_root_dependency","ACTIVE_ALLOWED"
