"blueprint_agent","plane","cabina_family","authority_level","schema_table","surface","surface_status","queue","queue_item_type","flow_status","canonical_gate_family","proposed_gate","gate_catalog_status","canonical_stop_condition","proposed_stop_condition","stop_condition_glossary_status","decision","risk","owner_agent","reviewer_agent","required_skill","required_recipe","required_tool","required_validator","validation_coverage_class","order_class","allowed_actions","blocked_actions","required_artifacts","source_matrix_refs","target_repository","target_local_path","target_cabina","target_universe","distribution_decision","dataverse_mode","environment_url","environment_id","environment_type","tenant_id","solution_unique_name","publisher_prefix","table_or_queue","queue_id","workqueuekey","observed_count","duplicate_count","record_scope_required","idempotency_key_required","candidate_count_required","rollback_required","postcheck_required","evidence_freshness","write_authorization_state","evidence_path","readback_path","source_artifact","sanitization_status","evidence_hash","retention_scope","notes"
"order-intake","operation","rey.control_plane_orchestrator","00_ROUTER","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_ORDER_PACKET_INTAKE","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","order_packet_missing_required_fields","surface_or_tenant_ambiguous","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","low","rey.control_plane_orchestrator","court.seshat_evidence","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","normalizes raw order into governed order packet without dispatch queue until fields complete"
"intent-classifier","operation","court.thot_schema","03_CORTE_EJECUTORA","sdu_agent","cabina_model_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_INTENT_CLASSIFICATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","intent_classification_missing|taxonomy_unmapped","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","low","court.thot_schema","court.sdu_gate","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","not_applicable","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TBD_NOT_PRINTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NO","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","classifies intent domain and task type as local metadata"
"risk-arbiter","operation","rey.frontier_guardian","01_AUTORIDAD_Y_GATES","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_SECRET_USE|GATE_DATA_REGULATED","GATE_LIVE_RISK_ARBITRATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","secret_detected","live_surface_detected|production_unapproved|regulated_data_scope_ambiguous|rollback_missing|postcheck_missing","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","high","rey.frontier_guardian","court.sdu_gate","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","risk privilege and sensitive data decision with cumulative stops"
"context-router","operation","rey.control_plane_orchestrator","00_ROUTER","mon_sdu_agent_connection_mapping","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_CONTEXT_ROUTING_RESOLUTION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","context_route_ambiguous|surface_or_tenant_ambiguous|target_identity_ambiguous","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","rey.control_plane_orchestrator","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_agent_connection_mapping","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","YES","YES","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","routes context only after exact surface is resolved"
"authority-resolver","operation","court.sdu_gate","01_AUTORIDAD_Y_GATES","mon_sdu_validation_gate","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_AUTHORITY_CANON_SOURCE_RESOLUTION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","authority_source_missing|authority_conflict_unresolved","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","high","court.sdu_gate","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","resolves authority before read execute or proposal"
"task-graph-builder","operation","court.thot_schema","03_CORTE_EJECUTORA","sdu_agent","cabina_model_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_TASK_GRAPH_RECONCILIATION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","task_graph_missing_dependencies|dependency_graph_unbounded","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","court.thot_schema","codex.workspace_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","not_applicable","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TBD_NOT_PRINTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NO","NO","NO","NO","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","builds atomic task graph as local metadata"
"capability-selector","operation","court.thot_schema","03_CORTE_EJECUTORA","mon_sdu_agent_connection_mapping","dataverse_dev_metadata","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_CAPABILITY_SELECTION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","capability_use_preflight_missing|skill_without_catalog_or_assignment","NONE","ALL_CANONICAL","MAP_TO_EXISTING_AGENT","medium","court.thot_schema","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agent_layer.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_agent_connection_mapping","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","selects skills tools recipes and agents as capability mapping not identity"
"workspace-router","operation","codex.workspace_guardian","05_SOPORTE_TECNICO","sdu_agent","local_workspace","LOCAL_METADATA_ONLY","NO_QUEUE_METADATA_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_WORKSPACE_TARGET_RESOLUTION","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","workspace_target_ambiguous|path_outside_allowed_roots|nested_repo_boundary_unmapped|d_drive_legacy_write_attempt","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","codex.workspace_guardian","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","not_applicable","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","TBD_NOT_PRINTED","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","assigns permitted workspace and blocks legacy or nested repo ambiguity"
"parallel-agent-dispatcher","operation","rey.control_plane_orchestrator","00_ROUTER","mon_sdu_agent_connection_mapping","dataverse_dev_metadata","LOCAL_METADATA_ONLY","SDU.Agent.Dispatch.Queue","agent_dispatch_metadata_only","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_REPO_NATIVE_WRITE","GATE_PARALLEL_ORDER_GOVERNANCE","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","parallel_lane_without_validator|candidate_count_not_one","lock_key_missing|target_identity_ambiguous","MIXED_CANONICAL_AND_PROPOSED","MAP_TO_EXISTING_AGENT","medium","rey.control_plane_orchestrator","rey.frontier_guardian","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_parallel_order_governance.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","backreference_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","SDU.Agent.Dispatch.Queue","310d36ee-3f5f-f111-a826-00224805f8f9","SDU.Agent.Dispatch.Queue","1","0","YES","YES","YES","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","dispatch queue is reference only until lock key scopes validator and exact item exist"
"dependency-checker","operation","codex.workspace_guardian","05_SOPORTE_TECNICO","mon_sdu_validation_gate","local_workspace","LOCAL_METADATA_ONLY","NO_QUEUE_GATE_ONLY","NOT_APPLICABLE","DESIGNED_NOT_CREATED_NOT_ACTIVE","GATE_DATAVERSE_APPLY","GATE_WORKSPACE_DEPENDENCY_PREFLIGHT","PROPOSED_GATE_NEEDS_CATALOG_OR_FAMILY_MAPPING","NO_CANONICAL_STOP_MATCH","dependency_or_permission_missing|validator_unavailable|admin_required_without_gate|live_tool_auth_ambiguous","PROPOSED_NEEDS_GLOSSARY_RECONCILIATION","MAP_TO_EXISTING_AGENT","medium","codex.workspace_guardian","court.sdu_gate","tcu-descubridor-capacidades|parallel-order-governance","recipe.parallel_agent_operation|recipe.governed_order_preparation","tool.parallel_dispatch_policy_check|tool.local_validator",".agents/codex/tools/local_validate_capability_use_hardening.ps1|.agents/codex/tools/local_validate_order_packets.ps1|.agents/codex/tools/local_validate_backreference_runtime_closure.ps1|.agents/codex/tools/local_validate_agents_instruction_hierarchy.ps1","LOCAL_READONLY_MODEL_VALIDATION","parallel_agent_work","read|classify|prepare_model|prepare_gate_packet","repo_write|checkout|push|pr|microsoft_live|dataverse_live|openai_api_live|runtime_activation|production|secret_materialization","evidence_path|readback_path|rollback|postcheck|validator|target_matrix_before_write","09_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION.csv|10_BLUEPRINT_AGENT_RECONCILIATION_PANEL_REVIEW.md|11_CODEX_EVOLUTIONARY_BLUEPRINT_AGENT_RECONCILIATION_V2.csv","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","PENDING_TARGET_ONLY","metadata_only","https://org084965d9.crm.dynamics.com","7f65fc04-c27a-ea0d-bd2d-266aa9203c1e","Sandbox_DEV","TBD_NOT_PRINTED","SDUCapabilityControlPlane","mon","mon_sdu_validation_gate","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","YES","NO","NO","YES","YES","CURRENT_WORKPAPER_WITH_BRANCH_EVIDENCE_REFERENCES","METADATA_ONLY_NO_WRITE","TBD","TBD","CODEX_AGENT_NETWORK_MATRIX.csv","REQUIRED_NOT_ATTACHED","TBD","LOCAL_WORKPAPER","checks prereqs paths modules permissions and auth ambiguity"
