"backlog_order","priority_band","list_name","row_span","active_front","status","mapped_file","mapping_kind","next_action","notes"
"1","P0","WB_Decisiones","1-7","MW/SDU","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GOVERNANCE_PACKAGE.md","closest_readback","review_current_decisions","Decisiones MW/SDU actuales; la evidencia exacta vive en el paquete de gobernanza y su tree readback"
"2","P0","WB_Decisiones","8-9","MW cabina","active","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","anchor_cabina_visible","Cabina operativa visible y confirmacion de configuracion del sitio"
"3","P0","WB_Decisiones","10-12","SDU gate","active","readbacks/sharepoint/ACTA_TGE_SDU_CN_AGENT_ACTIVATION_20260531.md","acta","keep_sdu_gate_governed","Gate SDU, protocolo de mando y cierre soberano SDU"
"4","P1","SYS_EstadoOperativo","1-7","MW","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIB_GOBIERNO_SISTEMAS_TREE.md","closest_readback","maintain_operational_state_map","Estado operativo MW actual; el tree del paquete identifica los bundles activos"
"5","P1","SYS_EstadoOperativo","8-12","site/base","active","readbacks/sharepoint/ACTA_SYS_GOBIERNOOPERATIVO_PILOTO_YA_CONFIGURADO.md","acta","maintain_site_base_alignment","Cabina visible, evidencias y elementos base del sitio"
"6","P2","WB_Riesgos","1-2","MW Power Platform","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_WB_RIESGOS_CONTROLADO.md","acta","track_controlled_power_platform_risks","Items 13 y 14 quedaron en Controlado; readback exacto disponible"
"7","P2","WB_Riesgos","3-15","MW live risks","active","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","closest_readback","monitor_live_risks_and_drift","Riesgos MW/SDU actuales sin acta 1:1 en este subárbol; usar working paper como referencia viva actual"
"8","P2","WB_Riesgos","16","SDU drift","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_GAP_MAP.md","closest_readback","monitor_canon_vs_live_drift","Drift entre canon y nombres vivos; gap map y list live confirmation son el mejor ancla"
"9","P3","WB_AprendizajesOperativos","1-5","SDU operativo","active","readbacks/sharepoint/READBACK_SYS_GOBIERNOOPERATIVO_PILOTO_LIST_DATAVERSE_BRIDGE.md","closest_readback","preserve_operating_rules","Reglas operativas del frente SDU; el bridge deja el rol exacto de la lista"
"10","P3","WB_AprendizajesOperativos","6","SDU cierre","active","readbacks/sharepoint/ACTA_TGE_SDU_CN_COPILOT_SESHAT_NORMATIVA_EN_US_DRAFT_TEXT_ENRICHMENT_20260531.md","acta","keep_soberanous_closeout_rule","Cierre soberano y requerimiento de login interactivo visible"
"11","P4","WB_CapacidadesOperativas","none current MW/SDU rows","n/a","deferred","readbacks/sharepoint/WORKING_PAPER_SYS_GOBIERNOOPERATIVO_PILOTO_2026-06-11.md","summary","defer_until_current_rows_exist","No current MW/SDU rows matched in this pass; no active row-to-file map to maintain here"
