"gate_id","check","expected","observed","status","evidence"
"GATE_WQ_OP_01_ENVIRONMENT_CONFIRMED","environment_url","https://org084965d9.crm.dynamics.com","https://org084965d9.crm.dynamics.com","PASS","Dataverse token and PAC binding available"
"GATE_WQ_OP_02_NOT_DEFAULT","not_default","not Default","HUBDesarrollo","PASS","target selected by exact URL/environment ID, not default"
"GATE_WQ_OP_03_NOT_PROD","not_prod","not Production","Sandbox","PASS","pac admin list environment type"
"GATE_WQ_OP_04_NOT_TEST","not_test","not TEST","Sandbox","PASS","pac admin list environment type"
"GATE_WQ_OP_05_SOLUTION_CONFIRMED","solution","SDUCapabilityControlPlane","SDUCapabilityControlPlane","PASS","Dataverse solutions query"
"GATE_WQ_OP_06_22_TABLES_CONFIRMED","tables","22","22","PASS","applied table model and schema snapshot"
"GATE_WQ_OP_07_SEED_BATCH_CONFIRMED","seed_batch","20260603_connection_seed_dev_v1","20260603_connection_seed_dev_v1","PASS","freeze/readback/drift report"
"GATE_WQ_OP_08_NO_DRIFT_OPEN","drift","0","0","PASS","DATAVERSE_DEV_CONNECTION_SEED_DRIFT_REPORT.csv"
"GATE_WQ_OP_09_NO_SECRETS","secret_policy","no secrets","no secrets printed or persisted","PASS","sanitized scripts only"
"GATE_WQ_OP_10_NO_PERSONAL_DATA","personal_data_policy","metadata-only","metadata-only","PASS","payload sources exclude PII/docs/tasks/items/dumps"
