capability_id,surface,current_status,active_status,execute_now,execution_mode,required_target,required_identity,required_owner,required_secret,required_secret_condition,cost_boundary,data_scope,approval_ref,required_rollback,required_postcheck,required_evidence,command_or_workflow,fallback_if_missing,stop_condition,validator,canonical_status
teams.identity.dev,Teams DEV identity,DEV_TEMPLATE_READY,EXECUTE_DEV_NOW,yes,validator_preflight,[TEAMS_APP_ID]|[BOT_ID]|[TENANT_ID],operador_microsoft,operador_microsoft,no,not_required,no_external_cost,local_metadata_only,not_required_for_local,revert_pr_or_delete_dev_app_if_later_created,placeholder_values_remain_unmaterialized,SDU_TEAMS_IDENTITY_DEV_ACTIVATION_VALIDATOR=PASS,python scripts/validators/sdu_teams_identity_dev_activation_validator.py,PENDING_TARGET_ONLY with exact app/bot/tenant ids,DRAFT_PR_OR_SECRET_DETECTED,scripts/validators/sdu_teams_identity_dev_activation_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
teams.app.package.dev,Teams app package DEV,DEV_TEMPLATE_READY,EXECUTE_DEV_NOW,yes,manifest_validation,[TEAMS_APP_ID],operador_microsoft,operador_microsoft,no,not_required,no_external_cost,local_metadata_only,not_required_for_local,revert_pr_or_delete_dev_app_if_later_created,manifest_template_validated,teams-app/sdu-agent-chat/dev-package/manifest.dev.template.json,python tests/sdu-agent-runtime/test_dev_activation_contract.py,PENDING_TARGET_ONLY with exact app package id,SECRET_DETECTED,scripts/validators/sdu_teams_identity_dev_activation_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
teams.app.install.dev,Teams app install DEV,READY_FOR_HUMAN_APPROVAL,PENDING_TARGET_ONLY,no,live_write_gated,[TARGET_TEAM_OR_CHAT_ID],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,selected_dev_team_or_chat_only,required_live_write_gate,uninstall_dev_app_or_revert_pr,confirm_app_not_installed_or_installed_in_dev_only,install_postcheck_screenshot_or_connector_result,python scripts/validators/gated_pending_action_validator.py --capability teams.app.install.dev --required-target [TARGET_TEAM_OR_CHAT_ID] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition TEAMS_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; keep manifest/package validated and do not install,TEAMS_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
teams.first_message.dev,Teams first internal message DEV,READY_FOR_HUMAN_APPROVAL,PENDING_TARGET_ONLY,no,live_write_gated,[TARGET_CHAT_OR_CHANNEL_ID],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,selected_dev_chat_or_channel_only,required_live_write_gate,delete_message_if_sent_to_wrong_dev_target,confirm_single_message_id_or_no_send,Teams connector response or dry-run proof,python scripts/validators/gated_pending_action_validator.py --capability teams.first_message.dev --required-target [TARGET_CHAT_OR_CHANNEL_ID] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition TEAMS_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; keep dry-run plan and mark exact missing target,TEAMS_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
graph.read.dev,Microsoft Graph DEV read,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,live_read_gated,[TENANT_ID]|[OBJECT_ID],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,selected_object_metadata_only,required_live_read_gate,no_mutation_rollback_needed,read_result_limited_to_selected_object,Graph read response metadata only,python scripts/validators/gated_pending_action_validator.py --capability graph.read.dev --required-target [GRAPH_READ_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition GRAPH_TARGET_MISSING --no-live,PENDING_TARGET_ONLY with object path,GRAPH_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
graph.write.dev,Microsoft Graph DEV write,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,live_write_gated,[TENANT_ID]|[OBJECT_ID]|[ACTION],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,selected_dev_object_only,required_live_write_gate,reverse_graph_mutation_or_delete_created_dev_object,Graph postcheck on exact object,Graph write response metadata only,python scripts/validators/gated_pending_action_validator.py --capability graph.write.dev --required-target [GRAPH_WRITE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition GRAPH_WRITE_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; do Graph read precheck only,GRAPH_WRITE_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
sharepoint.evidence.write.dev,SharePoint evidence write DEV,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,live_write_gated,[SITE_ID]|[LIBRARY]|[FOLDER]|[FILE],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,sanitized_evidence_file_only,required_live_write_gate,delete_created_dev_file_or_restore_previous_version,SharePoint item exists with sanitized evidence,SharePoint item id and path,python scripts/validators/gated_pending_action_validator.py --capability sharepoint.evidence.write.dev --required-target [SHAREPOINT_EVIDENCE_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition SHAREPOINT_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; keep local readback only,SHAREPOINT_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
planner.task.write.dev,Planner task write DEV,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,live_write_gated,[PLAN_ID]|[BUCKET_ID]|[TASK_TITLE],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,no_external_cost,selected_dev_task_metadata_only,required_live_write_gate,delete_created_dev_task,Planner task id confirmed in DEV,Planner task id and postcheck,python scripts/validators/gated_pending_action_validator.py --capability planner.task.write.dev --required-target [PLANNER_TASK_TARGET] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition PLANNER_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; keep task draft in readback,PLANNER_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
dataverse.dev.sync,Dataverse DEV sync,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,dev_apply_gated,[DATAVERSE_ENVIRONMENT_URL],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,explicit_dev_apply_cost_or_no_external_cost_declared,metadata_only_no_regulated_rows,required_dev_apply_gate,solution rollback or delete created metadata,solution checker and metadata postcheck,Dataverse DEV apply result,python scripts/validators/gated_pending_action_validator.py --capability dataverse.dev.sync --required-target [DATAVERSE_ENVIRONMENT_URL] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition DATAVERSE_DEV_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; run package validators only,DATAVERSE_DEV_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
power_platform.dev.alm,Power Platform DEV ALM,ENABLED_GOVERNED_GATED,PENDING_TARGET_ONLY,no,dev_apply_gated,[POWER_PLATFORM_ENVIRONMENT],efigueroa@registronotarial8tdf.com.ar,operador_microsoft,no,not_required,explicit_dev_apply_cost_or_no_external_cost_declared,metadata_only_no_regulated_rows,required_dev_apply_gate,solution version rollback,ALM pack/unpack/import postcheck,Power Platform command result,python scripts/validators/gated_pending_action_validator.py --capability power_platform.dev.alm --required-target [POWER_PLATFORM_ENVIRONMENT] --approval-ref [APPROVAL_REF] --rollback [ROLLBACK_PLAN] --postcheck [POSTCHECK] --stop-condition POWER_PLATFORM_DEV_TARGET_MISSING --no-live,PENDING_TARGET_ONLY; run local pack/check only,POWER_PLATFORM_DEV_TARGET_MISSING,scripts/validators/dev_execution_attempt_validator.py,ACTIVE_GOVERNED_EXECUTION_BY_DEFAULT
